page 1	展望英國的財政
page 2	國大一讀修改憲法提案追加授權條款似成定局張知本等提議擴大國大職權
page 2	大會繼續檢討政治經濟豪門官僚資本大受抨擊一代表說國家瘦了他們肥了
page 2	總統候選人提名蔣主席居正在內
page 2	星洲普選以後
page 2	國營事業加價領導物價上漲
page 2	國代孔憲榮自殺上午還開會下午自縊身死
page 2	看看積石山央航機昨自滬出發機上並沒有科學家
page 2	平津配糧有摻假者買的人不多
page 2	張篤倫視事
page 2	揮手助勢弄倒檯燈拍攝電鈕臨時表演
page 2	漢冶萍公司從此消滅了全部檔案等都已點交
page 2	滬房屋獎券甲種今天下午開獎
page 2	川大教授緊急會議商討營救被捕學生要求食米並非共黨活動希望當局速作合理解決
page 2	前首都警察廳長韓文煥被控貪污
page 2	中大一學生跳長江自殺原因是無錢繳伙食費
page 2	一位台灣國代捐錢幫助學生
page 2	蔣主席召開軍事會議羅卓英等出席
page 2	加價纔半月廣九票價又漲三等八十八萬九千元穗公用事業一律加價
page 2	海南實業公司即可籌備成立
page 2	鄭州戰況轉穩新鄭許昌大戰方酣濰縣垂危臨汾仍緊
page 2	沙面英領館正動工修葺
page 2	羅慶祥抵穗視察緝私工作
page 2	粵保安團缺額仍多
page 2	湛江廉江發生鼠疫
page 2	本月調整待遇辦法行政院例會昨決定全國共分八區兩特區京滬廿四萬倍平津廿八萬倍
page 2	父親當縣長兒子被斬殺穗泰康路發生仇殺案
page 2	入春以來兩量少春耕不易旱象成粵建廳防旱辦法擬定
page 3	安理會將強迫阿猶停戰即通過遏止聖地衝突計劃並擬組特別委會監督執行
page 3	土地問題四本報滬版時事問題座談會
page 3	義國後日普選將發出選票七千餘萬張羅馬法西斯分子高歌街頭
page 3	南韓拖欠電費北韓要停供電
page 3	美國共產黨員要向政府登記非美委會通過法案
page 3	德局以有轉機傳英美放棄設西德政府計劃蘇重申四強共商改革德貨幣
page 3	南美神經緊張智利也怕叛變
page 3	美貸款一千萬救濟哥倫比亞
page 3	西德要求分享美援討價四億九千萬鎊佔全部數額百分之三十以上羅勃森將代表出席巴黎會議
page 3	西歐十六國謀經濟合作各外長今會商籌組機構有成立初級聯合國計劃
page 3	菲總統動氣傷身慶祝生辰檢閱美空軍罵蘇聯後心臟病發作
page 3	中美航務條約美參院將考慮批准
page 3	美艦訪希臘
page 3	英國展覽鑽石日本發現古錢
page 3	美軍事援歐有待政府尚未打算提出國會
page 3	日輪越境捕魚花樣層出不窮
