page 2	社評但澤與歐局
page 3	浙閩沿海形勢加緊Ｘ軍在熨斗登陸被我擊退北江奏捷我軍入廣州近郊
page 3	一週戰況自廿三日至二十九日軍事委員會發表
page 3	白主任發表抗戰回顧與前瞻希望同胞奮鬥到底清算中日間之血賑
page 3	中華民族之形成中在衡山鄉村師範學校講演
page 3	黔人踴躍從戎省黨部努力宣傳在各地收效極宏
page 3	潮汕我軍索得代價後撤退
page 3	東戰場軍民通電原文對天津租界同胞
page 3	李主席返粵赴渝結果極為圓滿Ｘ人造謠不值一笑
page 3	陳璧君到滬新政府名稱決定將由汪出任主席
page 3	英議員質問汕頭扯旗事件福州封鎖宣告延期Ｘ機炸燬美國財產
page 3	六月下半月我軍戰果斃Ｘ官兵二萬餘名擊沉Ｘ艦十有一艘
page 3	我延期償付債欵英輿論諒解謂以往曾盡最大之努力今之出此係為時勢所逼
page 3	滬西不靖日兵槍擊英婦
page 4	英外相發表演說警告極權國家再有侵略必予抵抗建立和平此志不渝
page 4	英法輿論一致贊許德國官方表示不滿
page 4	德謀但澤益急波積極準備陸海兩方均有新佈置
page 4	英日東京談判預料將於六日舉行日方企圖擴大範圍
page 4	蒙偽邊境衝突情形甚為嚴重大批日傷兵運抵哈爾濱
page 4	英對蘇建議幾全部接受政府授權莫斯科代表儘可能迅速成立協定
page 4	希特勒養精蓄銳圖大舉今日演說已取消
page 4	對英國備忘錄德將予答覆德政界人士大言恫嚇希望英根本改變政策
page 4	陳依範在倫敦演說稱望勿對日讓步
page 4	美兩院聯席會議重要決議案恢復總統購買白銀等權眾院部分表決中立法案
page 4	我勞工界邀英人來華視察
page 4	滬銀錢業辦理半年決算
page 4	赫爾謁羅斯福報告國際情勢尤重中國及但澤問題克萊格提新國防計劃
page 4	無窮的兵源
page 4	荷內閣辭職哥連受命組閣
page 4	Ｘ機多架轟炸川東梁山
page 5	新會前晚奏捷我軍突擊會城江門先鋒隊衝入西北兩門殘Ｘ混亂便衣兵擊斃偽總隊長偽軍動搖
page 5	粵省行信託部揆巨資經營運輸已撥國幣七百萬元調劑中外貨品流通
page 5	南鵬島Ｘ有久據意陽江電白均緊張鎢礦被奪漁民受困南路沿海Ｘ艦蠢動
page 5	三灶Ｘ減中山穩定
page 5	第囗戰區購糧會中央地方分擔資金工作人員已經委定
page 5	嘉積Ｘ軍進犯被創保安團英勇殺Ｘ
page 5	南洋瓊僑救濟難胞匯到十萬至廣州灣辦事處已調查備賑
page 5	馬來亞華僑救亡工作兩隊在嶺東打游擊
page 5	回到淪陷區去續完
page 5	四會難童抵韶
page 5	遂溪考學生隊
page 6	七七紀念花發出二十二萬朶賑聯會售花主任昨聲明全港各僑團須統一辦理
page 6	立案學校座談會提供研究心得促進教育明日在大華酒家首次會
page 6	粵劇協會義演籌款
page 6	黃埔船廠機工素食
page 6	西廚工會素食捐款
page 6	港府籌設統計署
page 6	港華救傷班定本月四日開課
page 6	暹羅華僑救護隊第二隊昨抵港携暹僑捐助藥品十二箱在港稍逗留即首途赴韶
page 6	歌伶義唱張月兒擔任勸銷入塲券千二百張
page 6	廣州大學增設大學教育推廣部內分政治經濟等共六科兩月畢業報名者已百人
page 6	香港公司西書課本各校採用課本均可大量供給
page 6	運蘇藝展品在港開始徵集規定範圍十項
page 6	華人登記昨日結束總數約二千人
page 6	袍笏登場平安今日起演
page 6	粵衛生處
page 6	本月四日美國國慶
page 7	溫布爾頓網球賽女雙打展開血戰種子球員馬修夫人組首戰即遭慘敗南斯拉夫名將氣走蔡惠全
page 7	下季足球聯賽昨夜截止報名甲乙丙組共三十五隊週年大會前仍可參加
page 7	公開棒球聯賽中華對西洋下午二時半起在嘉山雙方勢均力敵有惡戰
