page 2	社評日本一定失望
page 3	宜昌附近繼續激戰日軍殲滅近兩千人
page 3	泰越雙方軍隊互採攻勢泰企圖毀滅越艦隊法報申言維護越領土
page 3	日人野心未戢仍圖加緊南侵
page 3	德艦偽裝日船在太平洋活動由英輪中脫險之菲人報告
page 3	戰時英國的國債倫敦十二月十日航訊
page 3	美國撤僑態度未變
page 3	伊盟軍民電最高領袖致敬沙王等一致通電討汪
page 3	汪行滬店開門手紙無人一顧商店寧白賠決不收廢紙匯豐銀行亦表示決不收
page 3	中緬商談聞內容頗關重要初步進行甚順利緬商長宇巴丹已返仰
page 3	董俞斃命在滬法租界過刺
page 3	蘇省推動淪陷區教育動員會舉行書畫義賣
page 3	桂省擬就建設計劃
page 3	日議會今日重開選舉法改正案決提出近衛宣讀大政方針要點決定
page 3	陪都各界公祭胡元倓
page 3	滬不動產轉讓總額去年達到最高紀錄
page 4	羅斯福總統三屆聯任舉行就職典禮副總統華萊斯就任威爾基謁羅斯福赫爾
page 4	西西里德義機再炸馬爾泰被英空軍擊落十五架東非英軍再克復要點
page 4	怎樣加強中緬合作
page 4	希墨會見證實意見傳獲一致里賓特羅甫齊亞諾亦與會對戰局會有詳細討論
page 4	美艦一隊開新根據地增強巴拿馬外團防務
page 4	印度緬甸商務談判下月一日舉行
page 4	勞合喬治喪偶
page 4	法國政局又有新變化貝當曾接見拉伐爾謂一切誤會已消除
page 4	美與赤道國締根據地協定美在加拉巴哥斯島將建立海軍根據地
page 4	義黨政人員將加入軍役
page 4	馬來亞開徵膠錫稅以裕戰時財政
page 4	加爾各答反法西斯會議勞工領袖主張助英
page 4	威爾基與甘納第
page 4	蘇聯音樂定期對華廣播
page 4	舊金山撕毀德旗事件美已向德道歉
page 5	中山附日軍蠢動圖犯虎坑被擊退第三九兩區災情慘重江門市郊游擊隊活躍
page 5	粵南海面日艦窺伺北海冠頭嶺欽防當局積極增加生產
page 5	龍章造紙廠已正式出貨一段艱苦奮鬥的經過
page 5	嶺東僑匯激增粵省銀行計劃發展金融每隔三十里設一辦事處
page 5	西康日記二二一第十一編木裏永寧途中
page 5	開發川西實業界組中農公司從事開發各地寶藏
page 5	南獄延壽寺附近建忠烈祠墓今年上半年可完成
page 5	公務員子弟不准逃避兵役
page 5	博羅械鬥陳驥調停解決
page 5	惠博河三縣繼續疏散夜間營業延長時間
page 6	廢曆年關在邇近日食糧價格略漲中山廣州灣來源均阻梗預料最近有牛羊荒之虞
page 6	年貨市況冷淡
page 6	旅館酒樓業多受移民例影響外埠旅客率多觀望不前宴會既少商務亦形減少
page 6	英國海軍傳統的榮譽昨日下午六時英國遠東情報局播講
page 6	澳門賽馬首場騎師一死一傷
page 6	國貨實業服務社致函南洋各商會促進國貨產銷共策進行並為我海外各僑胞服務
page 6	商品攝展參加者多開幕期近
page 6	農業實驗區經費由港庫撥支預算建設費約十五萬元主任人選將聘專家來港
page 6	小販義學昨舉行散學禮
page 6	稅務專校下月招考學員
page 6	嶺東本港間井洲航線暢通揚帆來港僅需兩日一夜沿途安全商旅多信賴之
page 6	振聯會
page 6	港教育當局調查教育人員履歷特發表格着令各校填報各校開始招收春季學生
page 7	星島隊籌備征菲定下月底出發預定在菲有比賽四場南華東方兩隊將於三月動程
page 7	足球總會公布最近新訂秩序明日旭和盃賽改期舉行甲組賽週末警察對星島
page 7	再談壁上乒乓
page 7	協會小組委會展期開會
page 7	滬西青籃球賽百樂門挫麥紅
page 7	德權鼎小球賽廿三抽籖
