page 2	社評論近衛聲明
page 3	近衛聲明發表後我政府表示嚴正態度日本一貫侵略政策未變孔院長談英美借欵感想
page 3	湘粵前綫平靜西江方面有小接觸
page 3	郭大使談國際援華形勢轉好勝利在望中國人民益自振奮
page 3	怪現象滬Ｘ公開運毒
page 3	潼關形勢仍緊我河防工事已增強Ｘ砲轟擊晝夜不停
page 3	華北人民信任法幣Ｘ圖禁其流通
page 3	一幕醜劇漢奸妄論修改關稅偽中央組織已擱置
page 3	偽蒙群逆謁西園寺碰壁
page 3	青陽鏖戰
page 3	津英法租界將受新限制日方業經對外公布
page 3	魯旅渝同鄉追悼范築先等聊城一役壯烈犧牲將士奮勇可歌可泣
page 3	大批汽車將由美運華
page 3	陰森氣罩京市下關變成焚屍場民房多被Ｘ沒收
page 3	監察院昨開會通過工作計劃方案
page 3	滬字林西報詳論近衛聲明之矛盾中國民眾熱烈擁護領袖蔣委員長絕難變更决心
page 3	汪副總裁展期返渝
page 3	葉秀峯抵雅安談開發西康富源
page 4	Ｘ旗所到之處毒品跟隨前進豈能仍稱文明國家英議員弗萊齊陳詞
page 4	美德關係尖銳化韋爾斯對德強硬表示嚴詞拒絕對德國道歉
page 4	保衛在華利益法與英美一致對九國公約信守不渝片面修改均不能接受
page 4	美紅十字會救濟我國難民
page 4	法義協定義認為已無效通告法駐義大使龐賽法政界表示不能同意
page 4	中國桐油問題題內題外的縱橫談
page 4	歐洲奇寒
page 4	畢德門談話美不喜德日
page 4	要求冬賬
page 4	西叛軍致牒英國譴責法艦行動供給西政府軍予彈等顯明破壞不干涉協定
page 4	蘇聯與德貿易協定協議延長一年
page 4	英國籌設地下防空壕入地約四十五英尺質料係用鋼板做成
page 4	英眾議院開始耶誕休假明年一月三十一日止特別事故行隨時召集
page 4	拿破崙停棺處火警
page 4	最近自殺之藥材大王遺書猶自稱向上
page 4	僑波鳥人獨立案不成立
page 4	法眾院通過財政法案僅七票之差前所未有明年度預算案亦通過
page 4	蘇聯之政策使日本難於捉摸日抽調軍隊頗為狼狽傳日將召回駐蘇大使
page 4	西政府問諜綱已為叛軍發覺密秘文件案有新線索西叛軍變更進攻計劃
page 4	中國勿接納和平如圖苟安將不免被誘美中國情報社之讜論
page 4	毒物隨著國旗前進
page 4	一元還債運動
page 5	滬渝桂民眾愛國發起一元還債運動償清英美貸款四萬餘萬祗消國民每人捐出一元孤島獻金踴躍各地聞風響應
page 5	粵整理國省稅收預征地稅彌補戰費
page 5	中山縣政府佈告禁止出入口物品計軍用品等三十種
page 5	蔡廷鍇召集南路自衛會議
page 5	呂超擬集資百萬開發川西南組中國抗建墾殖社大舉墾殖雷馬屏峨
page 5	澳門學生聖誕節演劇籌賬得款救濟留澳難民
page 5	閩南走私又猖獗奸民運糧往廈資Ｘ同安境內發現仇貨
page 5	陽江籌集棉衣
page 5	廣州灣救濟難民
page 6	當局遷新界難民集中深圳救濟華民司表示當續繼庇護賬聯會昨决議將予合作
page 6	航駛港澳九輸貨客運漸減少日派輪船行走省澳一事因未能領得出口紙作罷
page 6	趙洪文國老太太今晨離港赴南洋
page 6	農歷新年後廢用銀輔幣庫務司昨向記者談便利年底金融流通
page 6	中央獎勵華僑開發經濟事業訂定投資獎勵辦法給予華僑種種優待
page 6	滬痘症流行居民宜種痘醫務總監表示
page 6	華商總會電賀李漢魂將軍昨經吳菊芳夫人轉發
page 6	義勇軍總部徵求輸血望自動參加報名
page 6	大陸通訊社今日成立社址設廣東銀行
page 6	歐亞航綫訂新時間定元旦日實行
page 6	英駐港海軍舉行週年檢閱期定明年一月四日格拉薩查勘港防務
page 6	星洲青年團體組回國服務團進行即就緒後過港歸國馬華四僑胞已動程入滇
page 6	中環警笛大鳴域多利小火
page 7	今日甲組足球聯賽南華南三戰米杜息雙方勢不兩立一場惡戰難免雛鳳光華分頭迎拒警察海軍
page 7	今日足球共十四場
page 7	昨日排球義賽紅灰戰勝綠白結果三比零賽來生動有趣二塲門票收入約有千餘元
page 7	重慶球類籌款賽名將盡皆出席籃足網球實力均雄厚元旦日起共比賽三天
page 7	女子籃球糾紛事件聯會决議處罰知行
page 7	滑稽化裝足球義賽的前瞻
page 7	中西田徑義賽今日開始角逐上午十一時起在嘉山舉行男女選手共一百四十五人
page 7	廿八日起照常比賽
page 7	世界田徑霸權美國感覺憂慮歐洲成績猛進且多傑出人材
page 7	美菲荷德滙價回漲英匯轉寂美匯市尚淡申匯趨緊銀行多售出
page 7	英金再跌英金均漲
page 7	八九金市仍屬不振較前微漲九仙五厘
page 7	本週股票市況形勢異常堅穩賣家堅持成交稀微匯豐銀行股價大漲
page 7	上海匯豐銀行外匯行市大長由於中日戰局我國益見有利
page 7	本年滬貿易入超四千餘萬
