page 1	社評國內工業的南遷
page 2	副總統選舉無最後結果六候選人得票都不過半李孫程三人佔優勢今天決賽
page 2	立院討論選舉補充辦法多數立委反對這樣遷就會議無決定今天再開會商討
page 2	保護華僑國大通過議案多起
page 2	張君勱曾琦電賀蔣主席蔣主席已覆電致謝
page 2	李宗仁春風滿面于右任寫字討票
page 2	蔣墳席訪于右任未遇
page 2	萬福麟就職張作相即赴任
page 2	陳誠發牢騷
page 2	粵國代毀救國日報該報攻訐孫科引起不滿雙方衝突張發奎等三人受傷
page 2	美進行設立援華機構手續完成後開始行動在華美商對援華躍躍欲試
page 2	論動員戡亂時期臨時條款國大代表黃令通
page 2	前三名候補國代將得到當選證書
page 2	孫立人抵京
page 2	高普考試延期報名
page 2	台監輸日萬噸即啟運
page 2	蘇駐華大使羅申即來華
page 2	營利事業所得稅財政部嚴格追繳
page 2	徵兵很難進行今年徵兵總額百五十萬各省徵到的不足二十萬國防部特派員王時抵穗督導
page 2	粵軍管區開座談會
page 2	新兵強駐民房廣州百姓頭痛
page 2	為學校裏苦悶著的學生請命
page 2	查核壯丁安家費穗市府組委員會
page 2	粵漢車險被劫車箱被射擊七人受傷
page 2	豬仔兵賣來賣去因為腳微跛有人要剛巧遇到姐姐纔得救悲慘故事發生在廣州
page 2	蕉嶺縣長李秋谷前被扣留已保釋
page 2	粵穗簡訊
page 2	粵省府裁員說不會成為事實青年幹訓班即成立
page 2	西安西北有戰事濰縣激戰復起田馬國軍撤守
page 3	英上院通過撤離聖地案巴力斯坦正醞釀大廝殺阿拉伯聯軍準備三路進攻敘利亞並主張先下手為強
page 3	決定喀什米爾歸屬準備舉行公民投票安理會組斡旋委會監督實行
page 3	東歐六流亡領袖向安理會控蘇聯
page 3	英國清共記續昨
page 3	美空軍力量眾院批准七十大隊杜魯門主張略減少
page 3	捷保締結軍事同盟簽訂二十年同盟協定保證互助防禦被攻擊
page 3	史達林如到華府杜魯門說願見他
page 3	沙伊爾繼長美商務部
page 3	響應路易士號召美煤礦工人復工
page 3	德法國際列車蘇境禁止通過
page 3	義國普選餘波陶里亞蒂繼續指控選舉舞弊喀斯貝里替教會和美國解釋那不勒斯發生流血事件
page 3	英王明春出巡將在澳洲勾留十週
page 3	韓人團結可期平壤會議將商全韓憲法金九號召組織統一政府
page 3	英皇稱號將更改日人道德漸退化
page 3	菲新總統外交辭令說市場菲化只是小問題暗示願與日本恢復友好
page 3	華萊士論義普選美國壓力未換得義人友誼義大利政府必須實行改革
page 3	星洲罷工擴大總工會下令罷工一晝夜抗議警察強捕工會領袖
page 3	美洲反共步伐一致泛美會議通過清除共黨議案
page 3	麥克阿瑟六月返美度假
page 3	新聞自由會議完成議程閉幕
page 3	日艦隊的處置六十萬噸成廢鐵二百餘艘易國旗一百餘艘沉海底
page 3	想遊成功湖請撰寫論文
page 3	助日紡織業復興美參院通過撥款批准擬週轉金一億五千萬
page 4	港督葛量洪檢閱聖約翰救傷隊發給有功隊員各項獎章
page 4	受獎人員名單
page 4	港督演說
page 4	東華三院聯席會議昨在華民政務司署舉行東莞福隆圍竣工東華派員騐收
page 4	僱主聯合會會員增加
page 4	續審引渡徐繼莊案何嘉裕在庭陳述商店買外匯辦法徐繼莊在獄打碎了眼鏡
page 4	立達買外匯卻未交國幣
page 4	購物證下月底換發
page 4	殺妻案突變妻子說丈夫是好人但仍被判四年苦獄老母聞判當庭搥胸痛哭
page 4	養狗主人注意
page 4	廿載夫妻一旦反目丈夫不養家妻子請離異法庭判押候兩月
page 4	二萬餘元三月賠光
page 4	十幾張當票
page 4	劫萬福士輪疑犯已有四名被認出搜出珠寶無數港幣五萬元
page 4	人力車減租談判無結果
page 4	女偷母錢法官申誡保釋
page 4	渡輪扒手將近百人羅牛賣死牛肉被罰木屋藏春判令拆毀
page 4	電車稽查員被控騙車資
page 4	兩個少婦服毒遇救
page 5	馬歇爾計劃還不足阻止英國黃金準備消耗著名銀行家白蘭德在上院如是說
page 5	市面外商盛傳恢復比貨外匯
page 5	英商外匯原來如此
page 5	法國鋼條啟運來港
page 5	黃金美匯市態沉滯滬穗均無變動澳門休假無市
page 5	來金數量恐不會多
page 5	期鈔價高逾現鈔空方交出多方吸進
page 5	昨日股市稍有變化三厘與四厘債券漲價
page 5	申匯盤低省匯上升
page 5	國貨輸星洲入口辦法改善領證後准照公價押匯國貨難與日美貨競銷
page 5	中紡公司供應香港棉紗洽妥分期供紗九千二百包
page 5	中紡售紗萬三千包
page 5	紗廠遷港國內損失
page 5	輸管會辦事處公布外商辦貨須具證明
page 5	對日本貨兩種態度
page 5	熱水瓶價降低競爭
page 5	牙膏牙刷難敵美貨
page 5	港日貿易困難尚多審核日貨外匯限於物物交換性質
page 5	同英貨競爭核准外匯難
page 5	日貨星鐵到貨有限
page 5	馬來亞商爭定日貨
page 5	海南僑匯迭有增加
page 5	美貨領證出口第一批指定物品四百種
page 5	勞資糾紛
page 5	工業蕭條
page 5	港幣上升百物齊漲
page 5	金鈔領導下廈門漲風厲米價跟著金鈔狂漲工廠倒閉前途黯淡
page 5	川絲貸款四千餘億
page 5	梧州經濟一週銀根依然鬆弛
page 5	三月出口結匯統計
page 5	越米部分解禁商人#採辦來港主要的是次米和碎米
page 6	全運足球員今天試賽世運選手隊初露鋒芒是中國足球實力的總檢閱下午四時半在快活谷會師
page 6	預選隊用突擊戰略可威脅世運隊後防
page 6	容啟兆抵港張嚴謝高四將同來球員號碼已經編定馮張退出僅屬傳聞
page 6	女子選手佔大多數
page 6	全運會與世運會三
page 6	粵穗代表九十六人廿七日起分批飛滬為經費所限選手裁員一半
page 6	各隊實力預測
page 6	全運球類比賽編排陳掌諤貢獻意見各單位不致自相淘汰
page 6	全運會報到四十九單位
page 6	週末排球戰事南乙碰嶺南無異冠軍準決鬥其他數場亦可觀
page 6	六路健兒名單
page 6	華僑工商學院舉行游藝會
page 6	國民體育委會擬定保送體育生辦法七月十日前造冊函報
page 6	第七屆全運會開幕閉幕秩序
page 6	國民黨港澳總支部歡送足球選手昨在大華飯店舉行
page 6	學籃賽今天三場昨天初級組兩場結果
page 6	馮景祥退讓之謎他本人雖有放棄的暗示但今天足球賽仍做隊長
page 6	協會宴球員
page 7	韶關米價飛漲街頭出現餓莩西廂鄉貧民吃草樹皮大埔之米每石九百萬元
page 7	為了不願當兵東莞有人詐死
page 7	開平各鄉演戲開賭流言涉及縣參議會議員書面質問議員
page 7	廣韶路橋斷車覆乘客二死三重傷
page 7	昆明新聞黃金印報
page 7	深圳私梟漏夜工作
page 7	龍州將設國際警局邊防督辦處即改組
page 7	聯合國的會員國
page 7	大埔卸任縣長對人自稱不肖
page 7	西安逆倫案從軍廿年未回家異鄉姘上親生女
page 7	交上王排長到西安結婚
page 7	瑞芳與乾哥關係不乾淨
page 7	長安城中少年擁着專員遊街十多個學生一度被捕西京運城聯中鬧糾紛
page 7	各科函授學校國內很少恢復
page 7	越來越少了東北國軍控制區只有四十八鄉鎮
page 7	眼下發現黑痣姘夫原是父親
