page 2	英日關係係現階段
page 3	岳陽日艦集結滋擾被我砲兵擊沉多艘晉日軍夏季掃蕩完全粉碎 
page 3	日人在故意留難下在華外商航運大受打擊外輪七十餘艘泊滬無法領得卸貨證
page 3	工作競賽蘭市積極推動成立指導委會
page 3	三青中大分團西北訪問團後日出發為期一月
page 3	今後十日內滬宵禁加嚴預防八一三紀念發生事端
page 3	蒙藏會發展蒙旗教育籌設圖書館及學校
page 3	塔王抵蘭日內首途返旗
page 3	松岡政策的透視本文作者ＣＩＶＩＧ君在本港最高學府執教暇時並為本港各西報撰文立論警惕正確頗為讀者所歡迎茲承惠寄本文盛情可感特為　譯發表如左以　讀者
page 3	桂林各界隆重公祭鐘毅靈櫬停七星岩擇期安葬
page 3	內地汽油暫弛禁令商人得自由運售規定以三月為期
page 3	銓聚部注意行政人員效率正審查公務員考績表冊
page 3	陝參議會參議員任期延長一年 
page 3	回教救國協會桂林分會選出下屆職員
page 3	我十四海關春季稅收三萬二千餘萬元全數被日人截留 
page 3	滇北續發現沙金礦多處
page 3	發揚國醫中央國醫川分館籌備設國醫學校
page 3	華北連年災荒物產遠不如昔
page 3	滬西夕土匪徒竟目無法紀被綁之徐懋棠獲釋代價為美金五十萬
page 3	英使卡爾安抵威海衛 
page 3	桂林兒童教養院參觀記苦兒的樂園一
page 3	乍配林返滬已到郵局辦公
page 3	桂南痛殲頑日 
page 3	襄西日軍受創
page 4	重光葵訪英外相提出強硬抗議日本故作威脅姿態傳松岡或將飛德義 
page 4	日方之叫囂
page 4	英首相促國人繼續準備勿懈德國進攻可能並未消滅
page 4	羅鐵衛軍組織反對屈服促國人覺悟目前禍患希總理表示決不參戰
page 4	蘇外長演說義報表讚許
page 4	英機轟炸德義機場港口德機飛英散發傳單
page 4	美海軍最高統帥部認日不堪一擊議會擁護關島設防案實施禁運日竟提抗議
page 4	法嚴格執行糧食統制並竭力節省汽油
page 4	摩洛哥總督飛抵維希 
page 4	美報論日經濟今後愈趨困難
page 4	荷蘭近狀人民多不願與德軍交往
page 4	日圖南進愈亟籌設會社作經濟侵略英正促進對荷印關係 
page 4	蘇聯最高會議通過立加入蘇聯案立國共黨舉行慶祝
page 4	國際汽車工聯斥責日侵略並決議反對美參戰
page 4	德國猶人不准使用電話
page 4	日機跌落與汽油無涉
page 4	不合時宜
page 4	憑什麽抗議
page 4	外交環境的分析與運用二
page 4	華盛頓觀察
page 4	羅馬所傳之軸心新計劃組織四角經濟集團排斥英美商業勢力
page 5	日軍揚言犯斗門中山當局赴前線中新邊境我已增兵嚴防
page 5	柱教育用品力謀自給擴大教育用品製造所
page 5	南遊蠡見下
page 5	桂林鱗爪
page 5	曲江新女性三個月中完成組訓工作動員婦女從事生產建設
page 5	中山大學全部遷粵許崇清已在韶商洽
page 5	泰國政府將取消通譯員僑民受不需要驅逐者頗多洛府人民代表呈請當局注意
page 5	粵注意衛生訂定各級組織大綱
page 5	南僑團代表兩人南返 
page 5	日艦艇窺伺坭灣門
page 5	新會團隊增援邊境
page 5	四邑交通被迫斷絕 
page 6	八一三將屆各僑團籌備紀念方法不同無非各盡所能儀式何關都應注重實際
page 6	佛山輪返港日期各方頗多忖測南泰公司稱今日可返港一說一二日內不能解決
page 6	華南廣告社初創伊始取費低廉
page 6	紀念魯迅木刻展覽尚有今日一天
page 6	中央振委會秘書孫亞夫昨晨飛渝暢談各省救濟行政近況粵桂兩省各撥款百萬元 
page 6	大埔墟塌屋慘劇昨始着手發掘事前由棚匠搭架支危樓受傷備婦未脫險時期
page 6	魚菜價格略見低落昨有大幫糧食運港
page 6	世界語學會舉行同志聯歡會
page 6	合義慈善社昨日開幕葉蘭泉主持剪綵
page 6	港大大禮堂將闢為試驗醫院設收容二三十人之病房九龍臨時醫院成績美滿
page 6	代督電賀英后壽辰
page 6	輔助消防隊尖沙嘴設消防局置備救火車可出而服務其他各區亦將設立分局 
page 6	九廣路英段今日可望恢復直通
page 6	港府貫澈疏散婦孺政策英人請願撤銷結果無效婦女服裝等業大受打擊
page 6	七旬老翁五次結婚白頭新郎兒孫滿膝
page 6	港區統考試卷初步審訂完竣各優良試卷將呈送總處預料在十日內即可揭曉
page 6	僑港回教同胞慶祝聖女誕辰各回教領袖述聖女事蹟協助抗戰兩子卒以身殉
page 7	美艦調動頻繁影響棒球義賽意外之意外昨日臨時又變卦本屆聯賽冠軍港啤希望增厚 
page 7	昨日棒球聯賽港啤大勝南華
page 7	東方遠征追記
page 7	小球友誼賽住聯勝半島
page 7	學界籃球今日南華對光華
page 7	二度到星洲
page 7	援英議賽大勝華巫聯隊
page 7	本港英籍拳師威震爪哇榮獲中量級遠東冠軍
page 7	夏令籃球昨賽結果高級仿林勝駝青究級洪流克知行
page 7	滬合眾杯籃球幕幕不失精彩滬青逢戰豈凡大受威脅最後五分鐘內苦盡甘來 
page 7	星島歸鴻
page 7	外運陷入停頓顏料漲勢稍戢來源尚豐本港內銷狹窄德貨絕跡英美佔據市場
page 7	日人在港搜羅廢鐵價格猛漲每月出口達五千擔以上
page 7	公開乙組籃球冠軍決賽培英對保羅定後日舉行
