page 2	黎明前之太平洋
page 3	宜昌日軍偷渡長江經我迎擊全部殲滅江北我軍正向當陽附近進擊南昌東郊桃竹筒一帶激戰中
page 3	桂南深入日軍續向越邊竄擾
page 3	葡萄牙總統電謝林主席
page 3	蘇南我軍活躍日軍迭遭重創
page 3	蘇聯報紙注視越南問題日本檢查員已抵達河內
page 3	日人趕築邕欽鐵路由小董向大塘擴展軍
page 3	陝省推進合作事業成立合作協會陝分會
page 3	滬法日雙方仍在續商中租界人心稍見安定能甬人邵虛白被狙擊身死
page 3	宋子文氏在美與各要人晤商
page 3	在日機濫炸下渝市救護災民成績斐然許世英曾親臨慰問並宣達中央之德意
page 3	偽蘇主席高逆冠吾在蘇州登場
page 3	關中苦旱喜降甘　
page 3	滬食糧問題米業與租　當局繼續商救濟辦法
page 3	滇參議會開幕龍主席致詞時局嚴重決心應付萬一日人如來犯必予以　　
page 3	改進考績標準銓聚部轉呈國民政府通令全國各機關遵照 
page 3	渝國民月會各界分別舉行
page 3	遺產稅開徵後遺產評價規則全文
page 3	晉西沿河各據點經反攻均告克復
page 3	開封仍在巷戰中豫東各路俱報捷
page 4	美艦隊開回夏威夷以事實答覆有田無理聲明日陸軍首腦會議鼓噪強硬外交
page 4	孤注一擲
page 4	依賴海道
page 4	大見增強
page 4	與彼血戰 
page 4	美議會開會討論國防案外交政策將有重要辯論新海陸長任命可獲通過
page 4	信不信由你德對日提供盟約英報如此記載
page 4	德法休戰代表團舉行首次會議雙方代表達四十人商履行協定之辦法
page 4	東南歐謠言仍熾蘇羅兩軍曾發生衝突匈牙利各軍管區動員
page 4	皖立煌各界勞軍團出發 
page 4	巴爾波戰死之謎義方公報疑竇孔多英情報處揭露真相
page 4	僑胞需要鎮靜
page 4	日圖犯鄂西  
page 4	英眾議院擬定今日開幕聆聽首相報告
page 4	馬爾幹印象記上
page 4	寧為玉碎 
page 4	張伯倫廣播繼續作戰求勝閣僚內部意見極一致德機襲英擲重燒夷彈
page 5	寶安反攻軍事我軍已佈置就緒惠淡情勢好轉秩序恢復
page 5	沙深路上收復黎圍
page 5	港惠交通迭遭騷擾 
page 5	四邑河道交通受阻
page 5	蘇省保安隊重創日軍鼎山完全克復乘勝衝過太湖
page 5	新會團隊反攻睦洲
page 5	由滬至川滇最近之交通情形
page 5	從化方面
page 5	西康日記一一二
page 5	滬西徐家匯鎮法捕房撤退經過難民區居民亦均紛紛遷移
page 5	滬郊日軍防務空虛
page 5	越界築路情況安謐
page 5	滇省發展蠶桑事業將訓練大批人材
page 5	新街日偽軍反撲兩龍已被我軍擊退 
page 5	浙省各縣糧食力謀自給自足
page 5	限制栽種糯穀
page 5	整理倉儲桂省繼續訓練積穀技術人員
page 5	中山白蕉鄉再度被侵擾我增兵斗門加緊戒備
page 5	日機偵察中英邊境
page 6	人心惶惶後港府解釋疏散原因軍人眷屬昨日首批離港銀行大忙英國學校停課
page 6	官方解釋疏散步驟
page 6	荷挪法僑奉令疏散
page 6	有功華人眷屬今日辦理登記將來實行時擬送小呂宋張公勇談相信香港安全
page 6	一般情形尚稱平靜 
page 6	婦女節制分會黃啟明夫人任會長昨開委員大會報告收支並討論難民安全等問題
page 6	邊界昨日開放難民回鄉者不多三外總計尚不足七百人多謂寧死也不回去
page 6	人口疏散住客請業主減租
page 6	麵粉黃荳
page 6	防空處
page 6	兒童保育會召開緊急會議議決覓地遷回九龍市區早有內遷之議實行困難
page 6	一號風球
page 6	記聯會
page 6	救傷隊
page 6	富華茶葉業務昨移交中茶接辦駱清華壽景偉等均來港各職員工作定明日派定
page 6	肥料漲價新界農民大受打擊
page 6	援英捐款
page 6	學生學校
page 6	娛樂場所
page 6	銀行銀舖
page 6	輪船飛機
page 6	香港安全
page 6	動盪的香港有人來有人去一樣擁擠有人樂有愁兩樣心情 
page 6	美僑多數暫不離港
page 6	首批難民昨日疏散
page 6	難民的去處馬尼拉籌商安置辦法禁屋主乘機加租牟利
page 7	協會挽留六團體昨已發出五函措詞懇切盼各會繼續合作另致中青會函明日可發出
page 7	星島足球南遊與星接洽經過
page 7	生鬼泰由海防歸來
page 7	同奏凱歌 
page 7	青支會友網球廿七開賽昨日開始報名
page 7	學界籃球昨因雨阻今日兩場
page 7	滬中青排球賽英華獲冠軍二比一擊走勁旅復旦隊中青球房客滿盛況空前
page 7	竿跳出色
page 7	夏令籃球賽開始度身今晚在華雄會
page 7	港圓外匯牌價續縮美匯申匯市況沉寂
page 7	八九金市復趨下游
page 7	股票市況冷淡各股價格仍多低跌
page 7	本年上半年度港金融清況八九金趨漲國幣穩定
page 7	滬麵粉廠決定照常開車專供市內實銷
page 7	國幣繼續上漲現貨到達二七三
page 7	南華泳場開二次水藝會
page 7	記者體特會去函協會辭宣傳部主任
page 7	游泳與美容
page 7	致中華足球會原函
