page 2	社評太平洋風暴前的緬甸
page 3	美國態度冷靜堅決對日決不安撫妥協東京繼續叫囂圖鬆弛美經濟壓力
page 3	我軍事發言人談日軍麕集越邊侵滇或攻泰動向未明
page 3	婦女慰勞會慰勞豫省戰士
page 3	今後日本唯一企圖全力解決所謂事變陪都方面觀察日閥之動態
page 3	倫敦一般感覺日本不敢冒險
page 3	夕照譚夕陽無限好只是近黃昏三
page 3	星洲人士觀察日閥必將南侵
page 3	日本議會將開東條草擬演詞
page 3	滬工部局規定零售價格強迫商人遵守
page 3	電政會議開幕分電林主席蔣委長致敬
page 3	韶關改市設市政籌備處朱瑞元任處長
page 3	政院會議
page 3	晋敵開始蠢動企圖渡河犯陝豫敵勢窮力蹙我加緊圍殲
page 3	河津殘敵肅清禹門附近激戰
page 3	白寶山病逝
page 3	寧偽組織群奸互鬨又有改組消息
page 3	東京廣播恫嚇泰國
page 4	納粹增兵進攻圖拉戰事猛烈克里米亞繼續爭奪戰
page 4	芬軍繼續侵蘇美提最後警告如欲維持友誼必須即行停戰英對蘇要求即將決定
page 4	美總統演說斥新秩序侵略者之夢幻必被粉碎
page 4	蘇聯的戰時首都奎比歇夫
page 4	美如續採懦怯政策被侵威脅行見日增格爾奈主廢除中立法
page 4	德屠殺未已南人百名遭槍決法人質續遭毒手
page 4	美潛艇兩艘移交英國並代英建船五十艘
page 4	大西洋風雲險惡美油船又遭襲擊大西洋射擊戰情首次披露
page 4	美海軍轟炸機在大西洋失事經過實情不詳疑係被擊落
page 4	羅賓摩爾事件勢將成為懸案
page 4	美紅十字會輪定期駛馬賽接濟淪陷區孩童
page 4	倍文要求工人不斷努力生產辛勤工作以備來春
page 4	敵軍將攻陝
page 4	倍立厦主張在地中海反攻以緩和德國對蘇壓迫
page 5	工程學會專題討論貴陽拆城築路問題專家貢獻意見認為應該拆除三篇論文詳述城後之設計
page 5	工程師學會對貴州水利研究結果航運灌溉水力三方面的具體計劃
page 5	華僑在美合股資金可不受凍結令限制
page 5	桂省各級教育突飛猛進充實教育經費提高待遇培養師資人才救濟失業
page 5	經淪陷區出國飽受敵人虐待百般留難更肆意剝削僑胞切勿作冒險嘗試
page 5	柳州苦力工人爭奪挑運工作一度發生毆鬭受傷四人調解結果重新劃清界限
page 5	湘桂鐵路改訂行車時間
page 6	僑民事業輔導委員會加強接待回僑機構指定各當地機關負責招待並指示返國路線四條
page 6	公平糶米會積極推動食衛生米運動該會擬發慈善券賀咭九龍飯堂建築圖則畫妥
page 6	談嘉年華盛會拉丁民族最好此種玩意菲游藝團全套器械運港
page 6	燕大同學會開餐舞會籌集吳雷川獎學金
page 6	港督昨巡視各醫院並參觀兩政府醫務機關最後視察東華醫院各部
page 6	防空工程案續訊史柏堅劉美美昨均出庭鄭植之解釋各支票用處
page 6	商會主席董仲偉昨談改善柴薪供應問題曾謁當局請求消滅黑市補發柴店牌照未獲允許
page 6	學習駕駛汽車領駕駛私家車執照者多警察頒學習駕車新條例
page 6	上水一農女死而復生
page 6	各民眾部隊男女青年踴躍應徵民眾防衛部隊聯合招募
page 6	市政衛生局昨日例會請領牌照均未獲准
page 7	鐵城杯三角對抗十日揭開戰幕一連三日在九龍青支會球場第一日民大迎鬥中青
page 7	銀牌籃球決賽民大對抗黑灰定七日晚在青支場交鋒同時舉行頒獎禮
page 7	國際長途跑報名參加踴躍
page 7	南華桌球部桌球讓賽今日開始報名
page 7	澳門足球聯賽無畏真無畏四比一良友力戰不敵謝華生連中三元
page 7	星特別杯淘汰賽華人踢倒高登三比一連得兩隻自由球一躍而入第二圈
page 7	外匯牌價俱無變更申匯黑市仍淡成交二百餘萬英美匯市況仍乏生氣
page 7	股票市況仍欠靈活人心傾淡成交不多
page 7	國幣穩定價格起跌不大
