page 2	社評大西洋戰爭的展望
page 3	英海軍創光輝戰績俾斯麥號終被擊沉威爾士親王為荷德號報仇
page 3	窮追六十餘時德艦終沉海底
page 3	柏林最後公報承認海戰失敗
page 3	中英貸款五百萬鎊已商定用途
page 3	荷印與澳洲進行聯防新加坡防務益見鞏固
page 3	美使呈遞國書禮節極為隆重定今日謁蔣委長致敬
page 3	中國週圓滿閉幕美援華情緒空前熱烈全國各教堂均為中國祈禱華盛頓學生舉行盛大遊行
page 3	泰國總理傳將赴日日擬派經濟團赴泰
page 3	日本海軍日及川強調聲稱求人不如求已
page 3	詹森過夏威夷重申對中國勝利信心
page 3	美記者遊日歸國談日本不敢冒險南進蘇日協定未能消除對蘇之敵意
page 3	瑞典瑞京日報論日本之苦悶
page 3	我漢代漆器英收買珍藏
page 3	俞鴻鈞繼任財次行政院會議昨通過
page 3	浙東我軍克上虞中條山日軍負創南竄晉中晉西我紛起襲擊
page 3	國府命令褒揚陳善同
page 3	葉企孫將任中研究總幹事
page 3	中樞紀念週由陳果夫報告
page 4	美總統演說前夕華府空氣緊張演辭用六種方言廣播
page 4	赫爾嚴辭駁斥德國恫嚇聲明美海長諾拉克斯要求國會核准各艦隊司令能使用廣泛權力
page 4	我國際廣播電台轉播美總統演說今晨十時半本港即可接獲
page 4	南愛總理反對英擴大徵兵強調維持有異議中立決心國會舉行會議情形熱烈
page 4	美將訂造商輪百餘艘價值三萬萬餘元
page 4	德國續派大批傘兵在克里特著陸英方亦準備派兵增援海空戰激烈英艦數艘受傷
page 4	馬里米區戰事激烈
page 4	英機活躍屢施突襲
page 4	克里特島之戰影響近東形勢
page 4	希政府所在地將不設在埃及
page 4	烏克蘭轉讓說柏林亦加否認
page 4	拉佛爾無恥公然承認德國之侵略戰為法國復與繁榮之革命
page 4	荷外長抵夏威夷談荷印防務鞏固
page 4	澳總理孟席斯籲請工黨合作各黨各派團結一致方能正視歷史危機
page 4	阿根廷收買義輪五萬噸條件已商妥
page 4	美壯丁第二次登記人數將達百萬人
page 4	納粹當局迫荷人服役表年男女須服役六月
page 4	美財長出遊大西洋為上將金氏貴賓
page 4	美城市首次燈火管制演習在紐華克城舉行
page 4	希青年被處死刑前因行刺義王被捕
page 4	巴勒斯丁法領被要求即離境
page 4	俾斯麥號擊沉
page 5	粵北警報頻仍韶關緊急疏散中規定疏散時間派警嚴厲執行增掘防空壕洞大部業已完成
page 5	茂名信宜教育有待切實改進一般情況腐敗視辦學為圖利督學黃繼植談視察觀感
page 5	國府公布滇頃鐵路金公債條例定額美金一千萬元七月一日開始發行
page 5	韶關陳水雲案將提起公訴法院尚在秘密搜集證據
page 5	日敗兵一部開回中山
page 6	教團募債百萬元提早於三日出發吳涵真分函嘉勉各教團婦女青年團體募債積極進行
page 6	港府決定貯存罐頭洋酒食品實行統制防止操縱囤積罐頭洋酒商昨成立商會
page 6	油豆入口商呈請當局改善生油出口辦法
page 6	青年會服務團定期出發桂粵服務該團已有五年服務歷史昨午招待報界報告經過
page 6	糧食統制專員談官營米業政策穀米官營辦法絕不改變決定直接售米與零售商
page 6	隕星昨晨狂風暴雨一顆墜落海上
page 6	中青救護團選出四屆理事孫哲生夫人等四十六人昨在溫莎舉行團員大會
page 6	導遊娘酒店中被劫兩客尋歡見金飾起惡念搶劫事敗兩先後被捕
page 6	濟南輪來港觸礁遇險經太原輪趕到援救得獲安全駛返上海
page 6	鍾魯齋校長談南院內遷計劃在梅縣建有新校舍港校下學期起結束
page 6	杜月笙王曉籟二氏調解國貨簽證糾紛翁部長對此項糾紛表示遺憾
page 6	港學生團體發起組織香港學生總會現向各有關方面接洽中
page 6	貯魚計劃昨開始昨祗收得百餘斤
page 7	五校女子排球聯賽仿林榮膺冠軍香江實力脆弱淨輸三局明天全部比賽結束即日頒獎品
page 7	溜冰籃球比賽下月十四舉行比賽詳細規則昨公布
page 7	夏令籃球賽下月底開幕華雄體育會主辦之全港
page 7	騎馬經驗談騎馬是女子的理想運動膽怯的人每成優秀騎士
page 7	學界排球隊西南大勝皇仁輸三比零
page 7	鍾聲風箏比賽不日開始報名
page 7	星島女籃征菲行期更改
page 7	南華歌詠班報名參加踴躍
