page 2	美國如何
page 3	蔣委員長泛論國內外大勢遠東前途已經決定抗戰勝利完成期近歐戰任何變化於我決無害處
page 3	滬謠言孔多人心極不安領團對租界前途
page 3	政府當局設法為僑胞謀安全歸國僑胞將安置滇南俾繼續從事生產事業
page 3	奧北四縣實施新縣制
page 3	傳英日簽訂天津協定封鎖有於今日撤除說
page 3	影佐攜回亡華條款交阿部與汪執行
page 3	雷嗚遠神甫在渝病勢沉重
page 3	蘇中國藝展參觀者仍極踴躍邵大使觀光蘇農展
page 3	沙市方面日軍大部潰退江陵宜昌市郊加緊殲滅戰 
page 3	貪污者戒蔡繼倫汪宣和浮報同被槍決
page 3	丹麥公使呈遞國書
page 3	黔省募款救濟冀魯水災
page 3	揚州偽軍譁變現與日軍激戰中
page 3	蘇文協會長慰問渝各界
page 3	王外長報告國際形勢當局注意歐局發展
page 3	桂參議會閉幕通過要案五十件並選出駐會委員
page 3	法幣堅挺外幣近變動太劇投機家不敢購進
page 3	歐戰註腳一英國通信
page 3	日人唯有再在軍事上冒險孤注一擲
page 3	襄河西岸日倖進部隊將整個被殲滅
page 4	德義招降條件送出法內閣正研究答覆任命全權代表團進行談判
page 4	法國呼籲和平德軍依然推進
page 4	希特勒的專車裝有高射砲與聽音器
page 4	邱吉爾報告英國必須繼續作戰最後勝利並非無望
page 4	英自治領擁護作戰
page 4	日對越南垂涎欲滴將向德義請予方便
page 4	美國計劃加強美洲經濟聯繫預防德國得勢之後完全操縱歐洲大陸 
page 4	英機飛德轟炸堆棧交通皆被轟炸機場軍營多處起火
page 4	羅內閣辭職
page 4	美參院否決停購白銀案
page 4	德機襲英東岸英方所受損失甚少
page 4	英國閣員將有變動路易喬治被邀任要職
page 4	久原倒閣失敗內閣黨員戀棧不去
page 4	王曉籟來港湘粵贛之行作罷
page 4	高抬貴手
page 4	未必可靠 
page 4	土耳其態度轉變視三國協定已失卻效用 
page 4	美眾院海委會提議興建世界最強海軍海軍實力將增加百分之七十其力量將超過英日艦隊之和
page 4	希墨會商完畢分返德義首都
page 4	西班牙與教廷分別出任斡旋
page 5	粵省參議會通過重要議案共有六十五件對教育經濟民政興革事項均有確定改進對策
page 5	改進教育
page 5	整飭民政
page 5	其他方面
page 5	日軍侵擾三江全鄉遭浩劫龍泉睦洲得失數次古井形勢又告吃緊
page 5	李宗仁報告豫鄂會戰經過掃蕩殘日已胸有成竹
page 5	花縣壯丁英勇抗戰組織殺日隊屢建殊功俘獲日電輪駛抵粵北
page 5	駐會委員
page 5	菲律賓僑胞籌備七七紀念決定擴大勸募慰勞金  
page 5	西康日記一○五第四編康定及其附近西康風俗概述
page 5	經濟建設
page 6	僑務委員會考選清貧僑生辦法新聞教育等科共十四名保送專科以上學校肄業
page 6	考試科目
page 6	投考資格
page 6	考試程序
page 6	解釋數點
page 6	港幣法幣出口不受限制外幣限五百元亦非絕對歹徒散播謠言從中取利
page 6	記者圖書館
page 6	四萬五千元 
page 6	廣州大學
page 6	汎美機離港
page 6	音專同學 
page 6	西報募款
page 6	潛艇阻塞網
page 6	港府公債開始發售購者極為踴躍
page 6	港府頒令禁米出口昨日裝輪米石臨時起回本港存米充足供應無虞
page 6	出口米石臨時起回
page 6	米商晉謁糧食專員
page 6	立法局今日會議羅文錦將質問校舍新例問題財政監理官提請核准再捐獻英政府十萬鎊
page 6	廣東對外貿易
page 6	本港糧食供應無虞
page 6	青年會學生部昨歡迎穆勵知報告視察我國學生經過希望中美學生切實合作
page 6	關於廣東叢書第一集書目之解答
page 7	九龍學界籃球賽裁判減費問題裁判會議決停止派員服務李振中自願幫忙竟遭否決
page 7	學界籃球美爾頓光華勝
page 7	學界初級排球後天爭奪錦標
page 7	四屆夏令籃球參加熱烈高初級十六隊
page 7	湘舉行全運會乃係誤傳因未奉到明令
page 7	港法間停止匯兌英匯黯淡美匯趨緊
page 7	八九金市尚稱堅穩
page 7	股票市況傾疲價格繼續下跌
page 7	國幣價格昨續趨高漲
page 7	星工商籃球隊爪遊載譽歸義演凡三十五場但僅負一次收入二萬餘盾匯賑祖國災黎
page 7	昨夜籃球劇戰廣大打坍華僑五十四比三十三相當有看頭晨鐘奮勇克青職
page 7	南華戲劇股招收學員本月卅日結束
page 7	營養與運動
