page 2	社評日臨時議會將開幕
page 3	德夫古柏在澳宣布英主力艦開來遠東美總統保證援華政策不變諾克斯演說對日不再容忍
page 3	美海長諾克斯
page 3	美籍義勇空軍抵渝謁蔣委長致敬傳日在南太平洋設空軍總部
page 3	顧大使演說日太窮兵黷武威脅世界和平戰時中國努力建設民主政治
page 3	太平洋和戰展望
page 3	前線慰勞團定下月分五團出發居院長擔任總團長
page 3	泰總理宣稱嚴守中立否認英泰訂聯防協定青年應徵受軍事訓練
page 3	麥格魯德抵達仰光
page 3	日方造謠幼稚可笑蘇聯已予否認
page 3	馮玉祥明日六十壽辰文化界著文祝賀
page 3	我軍圍攻中牟已攻佔外圍馮莊孟莊總浙東我軍曾衝入寧波
page 3	日騎虎難下英首相之保證適合時機美輿論界之觀察與反響
page 3	忍受侮辱等待時機日報自招口供
page 3	來栖擱淺仍滯留中途島
page 3	食鹽專賣定明年元旦起實行鹽政機構不擬變更
page 3	紀念國父誕辰全國各地熱烈慶祝
page 3	馬占山抵桂謂東北必能收復
page 4	歐戰和平紀念日羅斯福氏演說為保衛自由不惜一戰
page 4	莫斯科前線蘇軍把握有利形勢德軍報自承難獲進展羅斯托夫戰況仍猛烈
page 4	黑海狂風中部冰雪德軍士氣已趨衰落
page 4	波蘭十萬大軍加入頓河前線
page 4	芬蘭已成軸心傀儡拒絕美國停戰要求
page 4	蘇德戰事與外高加索
page 4	里比亞外援斷絕軸心軍用品大批被沉海底北非義南港口皆屢遭猛炸
page 4	歐人積怨已深勢將公開抗德納粹屠殺行為日有所聞
page 4	南斯拉夫義軍被投彈死傷數十人
page 4	菲競選進行中阿爾俾第三區親日分子慘敗
page 4	馬夏爾警告國人防範軸心陰謀工廠運輸均成破壞目標民眾皆應參加防衛工作
page 4	沙拉育魯有任土總理說
page 4	蓋達造謠謂地中海有美潛艇
page 4	英議院復會英王首相分別致辭
page 4	英主力艦東來
page 4	日報無常識
page 4	美新式戰機裝有機槍十五門速度達四百公里
page 5	敵機增加速率加快韶關促市民注意老弱婦孺團體學校加緊疏散六日遇難人員業已照章給卹
page 5	他山之石三位工合國際友人在替我們減少漏巵
page 5	關於泰政府第二次劃定外僑禁區事件為泰國三百萬僑胞呼籲
page 5	粵擇定十二縣推廣優良稻種明年推廣十萬畝增產四萬擔
page 5	韶關市政力謀發展分區設立警察分局現有人口達十餘萬
page 5	余漢謀報告粵省軍事
page 5	驛運處派員調查曲三線
page 5	貴陽一週
page 6	中英美三國金融會議上週末全部結束財次顧翊群明日返陪都華商總會今日招待顧氏
page 6	嘉年華會國產品三
page 6	疏散往澳英婦孺未獲准許返港殖民部次長在下院宣布港丈夫團代表發表感想
page 6	留港參政員飛渝出席張一麐十二人
page 6	嘉年華會昨逢國父誕辰參觀者萬餘人
page 6	平糶會再籲請政府減低下級米價引述上次大戰津貼情形要求將衛生米減售十元
page 6	物料統制安德臣向山打根辦柴來港柴薪供應數量按月遞減港九柴業公會發表聲明
page 6	南海同鄉會第三屆會員大會
page 6	罷工的士司機多數報到復工料今晨各的士將可開出
page 7	督憲杯足球初賽今日舉行抽籤下午五時半足球總會開會議港滬埠際賽事一併提出討論
page 7	七七杯乒乓賽今晚揭開戰幕
page 7	雨大學田徑對抗港大勝嶺大昨日功德圓滿歡呼散場節目精采頗能惹人注目
page 7	萬公尺越野跑管友文榮獲本屆冠軍
page 7	南華遊藝部週末旅行南灣
page 7	滬助學金籃球賽藍白輸得慘廿四比廿五敗於百樂門影星勝伶友友中克同仁
page 7	星足球特別杯賽空軍奪獲錦標二比零魯耶只得低頭
page 7	九龍溜冰場考選十傑定月底舉行
page 7	申匯市況依然靜穩英匯美匯仍屬沉寂
page 7	股票市況不振昨日成交僅四萬餘元
