page 2	日閥又發動閩浙海疆戰事
page 3	滬Ｘ海軍通知各國日進犯福州溫州閩江口玉環洋冇發生戰事潮汕戰局緊潮安激烈巷戰
page 3	我封鎖閩並口
page 3	落殘Ｘ肅清
page 3	贛鄂Ｘ我相持
page 3	抗戰建國的先驅學術機關在昆明恩源二十三日寄自昆明
page 3	魯Ｘ銳氣頓挫萊蕪Ｘ圖竄擾不逞安邱Ｘ犯沭河受創
page 3	粵省府紀念週胡銘藻報告潮汕戰事顧翊群報告稅收情形潮汕陷落後有法弭補
page 3	留贛傷兵捐獻慰勞金
page 3	技術人員訓練所下月九日招生
page 3	嘉興Ｘ增加圖掃蕩我游擊隊
page 3	行政院會議獎勵豫陝熱心公益紳民任命呂競存為桂省府委
page 3	滬金融情形益見好轉財政部限制提存證明為賢明措施
page 3	我進擊安慶掃蕩安合路殘Ｘ
page 3	朱世明任外部情報司長
page 3	晉境一週戰況中條山我軍大捷西北兩線較沉寂
page 3	蒙偽邊境仍有激烈空戰蘇空軍飛貝爾湖轟炸日方死傷損失極重大
page 3	晉南我軍擊落Ｘ機一架
page 3	被扣英武官釋放仍無確期
page 3	陳儀視察防務
page 3	華北偽銀行擬減低匯率
page 3	雷鳴遠明日離滇飛渝徵募成績極佳
page 4	英日天津事件將移東京談判克萊琪再訪有田會商英美政府正密切聯絡
page 4	泰晤士報評論日要求節外生枝談判方法難解決現局
page 4	美國重視津局雅納爾乘艦赴烟報紙討論派艦來遠東
page 4	對日報復方法莫過於援華英報一致主張
page 4	津租界被封鎖情形仍嚴重英軍糧受留難
page 4	日方窮思極慮作反英運動德報助紂為虐
page 4	英內閣外委會討論英蘇談判新訓令俟決定後發出各報希望能早日成功
page 4	英法遠東聯防聲中新村加坡軍港的全貌根室新著亞洲的內幕之一章二楊歷樵譯
page 4	歐局再趨緊德義軍事極活躍但澤形勢漸危迫
page 4	暹羅正式更改國名仍用舊名賽
page 4	英美法在遠東應聯合對日歐斯波恩謂英日如戰中國將自動為英同盟
page 4	英本部艦將提前休假俾從容準備八月大演習政府注意遠東海軍實力
page 4	義國陸軍將大演習
page 4	美參院通過停購白銀案與眾院決議案相牴觸將組聯席委員會討論
page 4	美五年來購銀總值
page 4	陰謀破壞法根據地
page 4	澳日商約期滿後不再繼續法日商約已改訂
page 4	Ｘ黃金枯竭向民間搜刮全國存金登記下月一日實行
page 4	英報的正確認識
page 4	慢性的天津事件
page 4	敘利亞反對散嘉克併土已致牒國聯申訴土軍開入散嘉克
page 5	外僑捐助卅餘萬三江防務力量大增Ｘ偽增兵仍有進犯企圖我正規軍游擊隊均赴援
page 5	余漢謀中央准辭粵省黨委遺缺派李鶴齡接充
page 5	瓊崖捷報澄邁我軍獲勝
page 5	回到淪陷區去二周少重
page 5	八一三獻金廣東共捐九十二萬餘元李漢魂親呈賬目交中央
page 5	肇慶勞動報務
page 5	中山走私糾紛
page 6	Ｘ人滋擾下各輪暫時停航福廈縱使航行客貨亦必極少濟南輪今日仍照舊開汕
page 6	婦女兵災會今晨出發贈旗新靚就質去戲服響應該會聘為贈旗總領隊
page 6	增加差餉又多一增租藉口
page 6	文園酒家天台七七義唱募捐由歌星張月兒首先發起參加者有小燕飛等多人
page 6	中賬會撥款二萬賬濟潮汕難民林子豐昨往謁許世英將首先購運糧食接濟
page 6	中美文協分會今日聚餐盛會港督羅富國將出席演講我外交各流多人均興會
page 6	中國救亡劇團臨別義演期近趕排三大名劇特製佈景由下月開始演期共三日
page 6	Ｘ謀恢復省港電報刻與英方進行商洽
page 6	會計師王蘊玉港府特許為核數師
page 6	糖商總會長期義捐轉匯國府
page 6	中藝第六次公演感言
page 6	婦女慰勞會舉辦水上游藝會已定七月二十九日舉行推伍朝樞夫人等為籌委
page 6	工務局改良路燈施於橫街窄巷間接可戢匪風
page 6	學賑會舉辦抗戰成績展覽會由即日起徵收各種材料徵收處為德輔道該會所
page 6	國華藝術社義展改期七七舉行
page 6	華人登記定本月底結束
page 6	英文選讀合訂本已出版
page 6	中大報務團出版戰地叢書
page 6	時症季告
page 7	溫布爾頓男子單打第一週進行順利八種子球員安然渡過頭關蔡惠全退強敵晉入第二週
page 7	南華青雲有路力克仰光冠軍三比二景祥兆榮有靈光雙方勢均力敵演出奇佳
page 7	褐色轟炸機喬路易今日戰加倫圖
page 7	希特勒下令擴充冬季世運會籌建世界最大滑冰場奧林匹克村在計劃中
page 7	南會人夏令足球賽七九開戰
page 7	叻匯牌價再回縮英美匯市況穩而靜申匯市況略好轉買賣亦較多匯豐銀行吸進申鈔一百萬元
page 7	倫敦金不動英印銀暴跌
page 7	股票市況轉旺存戶索價仍高成交尚少昨日成交不過七萬餘元
page 7	八九金市仍甚沉寂買賣俱屬寥寥無幾
