page 2	日本的新政治體制
page 3	日對越南窺伺益亟我國正予密切注視東京灣附近日艦集結頗多日又向荷印加緊經濟壓迫
page 3	全國驛站運輸積極籌辦中將由交部設總管理處統籌主持薛光前談驛運價值
page 3	贛省府設立工業實驗處派張澤蕘為處長
page 3	滬恐怖行為竟愈演愈烈兩小時內被綁六人
page 3	慰勞空軍定期分五地舉行
page 3	關麟徵昨在渝招待外籍記者對戰局前途抱無限樂觀
page 3	皖省新政槍決舞弊人員加重徵筵席捐
page 3	李漢魂升任某軍職蔣光鼐將繼粵主席余漢謀已真除司令長官
page 3	日人來華源源不絕總數已達四十餘萬人
page 3	滬浙航運外國商輪雖獲允恢復惟事先須領許可證
page 3	中央決定褒揚馬君武
page 3	上海民食暫可無虞麵粉小麥價格均下跌
page 3	川省府撥款救濟災民
page 3	戰區青年學生赴渝升學就業教部設指導處妥予安排
page 3	中央軍校成立晉綏分校
page 3	滬我正當商人潔身自愛拒絕參加非法交易所
page 3	新體制運動近衛大做文章將先設準備委員會以便解決各項難題 
page 3	我軍需儲備可供三年用某高級參謀之表示
page 3	豫省贋軍不堪壓迫續起反正
page 3	洛陽降雪陝中喜雨
page 3	中緬文協名譽理事德欽努傳被捕
page 3	粵省當局謀改革毫券價值將規定為國幣七角現正呈請財政部核准中
page 3	豫鄂殲日經過記四
page 3	美國密切關注
page 4	扶南日軍蠢動不逞我軍向邕欽路襲擊龍州以西日軍全擊潰
page 4	格林伍德論戰時經濟現代戰爭涉及全體人民必須人人努力方克有濟
page 4	德繼續舉辦東方展覽會
page 4	羅特使波希訪晤匈總理商調整兩國領土問題羅對保作有條件讓步
page 4	日使天羽向義送秋波曾訪義外相
page 4	英向美購買坦克車大砲
page 4	德派員統轄阿爾薩斯羅蘭盧森堡亦入統轄範圍
page 4	英屬索馬利蘭義軍佔領齊拉英軍退守南部山岳區紅海交通勢將受影響
page 4	英駐蘇大使訪莫洛托夫並曾晤米高陽
page 4	泰戈爾接受牛津學位
page 4	法最高法庭正式開始審判審查對德宣戰責任
page 4	蘇聯會議休會並委出伏羅希洛夫為人民委會副主席 
page 4	英在新加坡設大無線電台專向遠東廣播
page 4	只有一條路
page 4	成何世界
page 4	何致鬧窮
page 4	哈桑湖擊敗日軍蘇報特撰文紀念
page 4	戰時小工業的利器
page 4	美國船隻可開往戰區但祗能裝運難童 
page 4	德國儲糧幾及千萬噸英認歐洲如有饑荒納粹當局應負全責
page 5	粵嚴考行政效率促進會開始辦公公布中心工作考核辦法報告不盡不實須受懲處
page 5	上海等淪陷區寄桂匯票仍舊可以兌付冀魯等區停兌
page 5	白蕉雜牌軍快艇被日扣四艘拖回前山至今未放日艦窺伺乾霧等處
page 5	我回教南洋訪問團訪問馬來成功各埠備受歡迎募得藥款卅萬巫人決組赴華訪問團來我國
page 5	桂林老人舉行民族英雄秋祭岳飛張自忠等受享
page 5	上海日軍圖控制電信中外各界為免受檢依然使用洋商水電
page 5	經濟部督導工商團體督導辦法呈核中
page 5	西康日記一四○第七編由梭坡到九龍
page 5	重慶點滴
page 5	粵桂聯運十月一日實行韶興交通即復
page 5	滬大學教授投筆從戎記王渭溪棄職組軍程維新為國忘家
page 5	梁寒操辭戰區政治部主任徐會之陞任已就職
page 5	粵省籌組憲政協進會十七日開會籌備
page 6	戰稅局長談限期清繳兩種戰稅本月底清繳產業薪俸稅盈利稅亦著手準備開徵
page 6	廣州英日談判因枝節問題擱置俟領港費案解決後重開傳佛山輪今日由粵開返 
page 6	中區防空演習結果成績甚佳晚六時舉行為考試性質防空處副總監親蒞視察
page 6	全港愛國舞女響應售花已向婦女兵災會領花預料將來成績必可觀
page 6	外人遊日觀感日用品極為缺少每人每月用糖半磅日用火柴五枝旅日美國婦女多赴滬購辦日用品
page 6	英庚款公費生赴加拿大就學接洽就緒四人今日離港尚有二十人由上海啟行
page 6	廠商聯會昨開例會擬款紀念八一三
page 6	港九小販聯會舉行戶內義賣前晚集會決定沿門送果所得款項送華商會保管
page 6	中國經濟學社徵求經濟論文紀念馬寅初六十壽辰集印中國經濟六十年 
page 6	發現浮雷
page 6	貯水池工竣
page 6	本年雨量
page 6	陳慶雲抵美大受僑胞歡迎紛紛認購航空救國券美人左班拿捐一千元
page 6	旅居海外留學生得用通訊登記可將證件郵寄教育部合格後分別予以工作
page 6	本年七月內魚翅進口數量四十四萬餘元總數共達七千一百餘擔印度運來最多日本次之
page 6	討論接濟英國印督召集會議蘇彝士以東英領土被邀並討論各領土間之聯絡
page 6	古巴華僑慰勞代表周瑞裕由美抵港昨已飛桂轉粵慰勞將士古僑擬購機兩架獻祖國
page 7	棒球聯賽錦標關鍵岷甸奴嚴陣以待主將延期離港決心背城一戰後天好戲連台義賽正式上演
page 7	東方遠征追記
page 7	星島南遊足球隊在檳再獲勝利三比二力克馬來亞聯隊
page 7	足球聯賽行將開始各會積極整頓陣容
page 7	夏令籃球鷺星敗於印警相差祗有一球
page 7	星島歸鴻
page 7	遠東時局影響外匯牌價昨回縮美匯需求眾多市況再度趨緊英匯市況沉寂申匯續略傾淡
page 7	股票市況呆滯昨日成交僅三萬餘元
page 7	國幣市況先淡後穩
page 7	八九金市先堅挺後回淡
page 7	今天學界籃球思思決戰南華高級學界籃球亞軍決賽 
page 7	球國見聞錄
page 7	仰光第一戰大勝海關隊
