page 1	"社評世界運動會開幕了"
page 2	"莫干山上要員雲集翁文灝等相繼前往"
page 2	"霍寶樹談新外匯辦法旨在補充生產工具暨原料限額仍保持手續力求簡便"
page 2	"安定物價必須給人民以一種保存購買力的工具上"
page 2	"董顯光答問申述新外匯辦法意義說也是自助計劃之一"
page 2	"萊普漢飛來飛去昨赴太原一行然後赴瀋在平申言中國必須自助"
page 2	"漢宜段夜航下月起開放"
page 2	"監院各委會召集人選出"
page 2	"七五血案拖而未決東北各界表示憤慨衛立煌請谷鳳翔晉京報告死難學生家屬控告陳繼承等"
page 2	"國民黨黨員多少已登記的一百零八萬黨務檢討會會期仍未定"
page 2	"中太平洋有新颶風"
page 2	"太原軍續出擊鄂北國軍傳進入襄陽平保路徐水一帶戰事北移"
page 2	"重慶通訊考場的風波"
page 2	"飛機一架失事地點在青島上空十九人死於非命"
page 2	"贛災情嚴重盼減徵糧數額省參會副議長等抵京請願"
page 2	"豫魯學生困處徐州徘徊街頭無所適從教育部不讓他們去南京剿總却想把他們送到南京去"
page 3	"麥帥行動引起軒然大波日人反對禁止罷工措置教授罷教公務員工潮醞釀中盟總勞工組高級官員紛辭職"
page 3	"以麥帥函件作武器蘆田決心繼續執政將勞工置於管制之下"
page 3	"國民黨暹羅支部被暹方禁止活動"
page 3	"倫敦通信一個愛國的共產主義者狄托被排斥經過"
page 3	"盟國人員專車吳港附近出軌可能是日勞工反抗行動"
page 3	"日本政海百象"
page 3	"小型聯大壽命各國決議延長"
page 3	"解決德國僵局四強會商可期美大使等已返抵莫斯科英表示可凍結倫敦協議"
page 3	"希魔幫兇無罪德廿四名工榮大亭獲釋"
page 3	"一個柏林市兩個警局長"
page 3	"美要向成功湖調查間諜聯合國不滿馬歇爾聲明代理秘書長拒絕調閱卷宗"
page 3	"北韓籌備總選呼籲南韓人民參加"
page 3	"戰後歐洲最大的災禍西德一化學工廠爆炸火煙騰空兩哩死傷二千餘人"
page 3	"多惱的多瑙河十國會議即舉行英外交人士懷疑能獲協議"
page 3	"關員欣賞會督禮物小偷盜竊遜后的珠寶"
page 3	"南國指摘英美兩國圖將特港西區併義南共宣布不脫離情報局"
page 3	"歐美聯防談判據說頗有進展"
page 3	"芬人多贊成歸併加拿大"
page 3	"追求和平反對戰爭華萊士獲美人支持無黨無派人士多擁護他"
page 3	"快開對日和會澳外長在英重申主張"
page 3	"印度獨立週年發行紀念郵票"
page 4	"防止空中劫案再生警察檢查機場旅客澳門小姐唯一生還者昨已向警署招出口供"
page 4	"廣九鐵路明天恢復兩天來輪船巴士生意好碼頭上又有人炒買船票"
page 4	"港督設宴招待我海軍兩艦長"
page 4	"多事的沙魚涌機槍走火守兵六人受傷"
page 4	"全港溜冰比賽下月中旬舉行"
page 4	"講通英國和香港布勒克勃招待記者報告這次來港目的"
page 4	"初級工業學校公布及格學生"
page 4	"卓少文淩忍揚舉行聯合歌唱"
page 4	"法庭附近破獲電台"
page 4	"主控在法庭追敘半山血案經過律師可能說凶手有瘋病"
page 4	"許世英在港談話中國對蒙藏的政策順應人心維持現狀以求安定"
page 4	"宋子文來港"
page 4	"改善輸管制度是華商會當前工作中心內部組織已擬定新系統"
page 4	"一老一少被控非禮婦女"
page 4	"華僑無旅行證件百餘名被拒登陸"
page 4	"三盜劫孕婦脫不下戒指"
page 4	"陶淑中學招生"
page 4	"漆匠被控污兩幼女中央裁判署昨初審"
page 4	"西婦服毒未死"
page 4	"群興鐵扒被風吹翻水手遺體發現一具八人生還尚有一人失蹤"
page 4	"軍車失事翻下山坡"
page 5	"建築季節將臨五金貨品陸續到港目前市價穩交易極稀疏"
page 5	"民營紗廠自辦外銷籌組公司尚有問題工商部主張同聯合籌組民營廠認官方不能參加"
page 5	"味粉工業難樂觀美貨日貨是大威脅"
page 5	"穗大鈔出籠後市場一度波動小鈔價仍值七八成"
page 5	"股市疲淡成交三四萬餘元"
page 5	"淡友見利大量拋售"
page 5	"曼谷金市昨告回醒"
page 5	"滬中國工礦銀行經營違法業務財部令停業候判處"
page 5	"談經濟政策"
page 5	"南京金鈔昨晨回升"
page 5	"來源稀少米價高漲"
page 5	"暹供盟國米尚欠十萬噸運我國二萬餘噸"
page 5	"星洲八月內恢復布疋入口分配各國棉貨競爭激烈布市動盪起落互見"
page 5	"滬麵紗布上揚穗米桐油價升"
page 5	"滬布在暹仍旺珠布盤價再告堅秀棉紗市勢益呈萎靡"
page 5	"國布市場價趨上揚"
page 5	"美國布疋暢銷一時"
page 5	"英國產布價高難銷"
page 5	"出口桐油估價按美國市價計輸管會穗處口頭通知海關"
page 5	"春茶上市輸出銳減市價低影響所致"
page 5	"華南華北調劑游資央行商解決辦法"
page 5	"日本布疋洶湧登場"
page 5	"滬進出口公會請維持結匯證價格"
page 6	"奧林匹克火炬照耀下世運會昨隆重揭幕英王親臨主持並向大會致詞五十九國六千健兒繞場巡行會場四週觀眾雲集通宵不寐"
page 6	"七千白鴿飛翔空際選手代表宣讀誓詞"
page 6	"百公尺自由式預賽吳傳玉今日試身手游泳節目昨晚已開始舉行美自信可獲三項游泳錦標"
page 6	"美籃球隊保持冷靜初步施行神經戰略"
page 6	"我長跑健將樓文敖今日跑萬米西方人士意中的決勝者將是捷克與芬蘭的競爭"
page 6	"四百公尺跨欄競賽黃兩正希望進入複賽非破本人紀錄不可"
page 6	"樓文敖參加五千公尺跑明日下午分組舉行"
page 6	"羅馬尼亞退出世運狂風一陣吹滅火炬"
page 6	"前日籃球練習賽我連勝兩仗瑞士匈牙利先後敗北包松圓右眼曾受輕傷"
page 6	"利便中國聽眾特設華語廣播"
page 6	"曲棍球賽印度首逢奧國"
page 6	"足球賽明天開始八月二日我戰土耳其"
page 6	"英王駙馬發表談話中韓代表爭決賽權"
page 7	"新會械鬥和平解決雙方具結不再打了武器都繳交第一清剿部並共同賠償天翔艦損失"
page 7	"兩鄉情形已經安定鄉民開始下田收割"
page 7	"賠償撫卹獻械江門和會詳情"
page 7	"簽結以後雙方代表握手"
page 7	"息爭辦法共有七點"
page 7	"談到獻械"
page 7	"全部械鬥中傷亡四十人獺山房屋燒掉七成"
page 7	"汕頭通信喻英奇與潮汕士紳由吳履遜被扣說起"
page 7	"社會部派專員到粵視察水災陳榮輝已到廣州將籌設一營養站"
page 7	"吳履遜案新發展有人醞釀罷免陳偉烈汕十八參議員駁陳述經"
page 7	"穗又傳宋子文內調據說繼任人選可能是薛岳"
page 7	"青年輔導班昨天口試今天放榜"
page 7	"廣九中的運費明天起又漲價"
page 7	"汕頭地院看守所裏有所謂十大魔王因欺新犯被加判刑十年"
page 7	"兌換小鈔依然擁擠穗央行續發大鈔"
page 7	"徵實徵到即繳宋子文嚴令各縣遵辦本年度徵實表冊已發各縣"
page 7	"漁民鄉農鋌而走險澄海饒平海盜復多"
page 7	"中飽安家費被送去當兵"
page 7	"恩平沿河碼頭密佈武裝同志檢查來往船隻有沒有租穀"
page 7	"大便用小鈔"
page 7	"杜魯門的批判上"
