page 2	日南進陰險謀不容忽視
page 3	開封仍在我控制中城內殘日殲滅過半新鄉歸德日援兵亦被我堵擊
page 3	南昌日軍孤立屢次向我反撲均不獲逞洞庭湖日艦又不斷騷擾
page 3	綏西民眾英勇五原之役協助國軍作戰造成不少可敬可佩事蹟
page 3	閩省各方面情形均轉佳財政寬裕教育發達建設進步工廠勃興 
page 3	日機兩度襲川並竄滇境投彈
page 3	川公路黨部下月一日成立
page 3	渝各報聯委會歡送邵大使邵謂將以言忠信行篤敬為此行外交之基本精神
page 3	粵省政彙聞
page 3	偽綏靖軍拒不受汪指揮汪屬偽軍被迫遷地訓練服裝怪誕純係烏合之眾
page 3	滇緬鐵路積極興工建築限明年年底全線通車
page 3	古巴僑胞捐輸成績極佳
page 3	文藝獎助金管理委員聘定
page 3	青祥泰木行失慎被焚損失極鉅
page 3	尼赫魯姊應蔣夫人之邀下月來華訪問
page 3	滬煤球業開會商市價問題市商會勸告勿任高漲
page 3	比飛行家在渝表演滑翔機成績極佳打破本人紀錄 
page 3	保衛祖國領空的華僑空軍勇士二
page 3	晋東南日軍再南犯被我痛殲傷亡慘重
page 4	東南歐動湯中德羅簽新商約傳德將向瑞典侵擾蘇對此訊甚為注意
page 4	德開軍事會議討論瑞典問題
page 4	郭大使演講今後遠東之領導權實操諸新興之中國
page 4	英蘇商約問題仍在接洽中傳蘇不願減少對德貿易商約尚無立即成立希望
page 4	英情報部更調與軍部外部密切聯絡
page 4	摩賽爾河東發生遭遇戰法軍佔優勢
page 4	林語堂抵菲致電菲前鋒報備述海行感想
page 4	英法赴美代表草擬節略內容聞分三要點
page 4	英法實力雄厚英帝國軍人達二百萬法軍火出產十倍於前
page 4	英挪兩軍漸迫近那維克物隆哈姆前線激戰中德軍猛烈轟炸交通線
page 4	荷蘭軍隊仍可請假惟手續加嚴
page 4	奧斯陸區德軍前進已被堵截
page 4	英機續炸德根據地
page 4	麥剛森已由德返義並晤齊亞諾
page 4	挪王表示抵抗到底
page 4	丹人願助英國作戰反抗德國侵略
page 4	德運輸繁忙勸人民停止旅行
page 4	西班牙決中立英外次在眾院表示
page 4	卡列利亞芬蘭共和邦最近經巳成立
page 4	偽滿缺乏外匯物資各項建設多停頓
page 4	日在東京築大機場經費一千萬元 
page 4	美陸軍演習決定五月間舉行不招待外國武官
page 4	德羅商約簽字
page 4	蘇聯的遠東政策三
page 5	嶺東展開殲滅戰我一度攻入澄海
page 5	滬西游擊戰接觸三次趙巷日軍受重創四鄉農民遭荼毒
page 5	景昇輪沉沒後又一大慘劇日商輪由定海駛滬觸礁沉沒搭客溺斃百餘人
page 5	中山日軍封鎖水陸交通澳門物價高漲
page 5	激發兒童航空興趣桂飭令各校自製模型挑選最優者送渝展覽
page 5	中藥戒煙實驗良方閩民政廳曉導煙民依方自戒配置簡易特奏奇效
page 5	三澳輪渡中山海面被劫
page 5	僑民教育函授學校延長報名期限改定七月開學
page 5	西康日記七六
page 6	昨日立法局會議通過戰稅徵收法案四月一日起一年內之評價為標準羅文錦述禁止吐痰意見
page 6	通過新例嚴禁吐痰
page 6	五一勞動節某工團發起獻金
page 6	立例示禁猶冀自悟
page 6	戰稅法案三讀通過
page 6	港大副校長史羅斯返港
page 6	港名流籌組節建儲運委會下月初旬舉行成立大會節建儲券港代售處二十三家
page 6	優生學會昨舉行年會去年請求指導婦女千餘人開支多收入少希各界捐助
page 6	節育醫藥所共三處
page 6	生產多者夭折及半
page 6	林語堂下月初可抵港
page 6	港澳紐名流昨循奉紐軍紀念日
page 6	丹麥輪由滬來港日艦阻止船長置之不理另一丹輪現被阻於烟台
page 6	省港澳輪船公司去年虧十七萬元羅文錦稱時局仍在動盪營業前途未可遽抱樂觀
page 6	抗戰中的中國基督教大學昨晚在本港播音台講詞
page 7	明夜女子籃球賽協會重戰中華打法決計採用男子例
page 7	征越埠際代表隊定後日首途球員護照手續昨經辦妥左右兩翼同時正式選出
page 7	學運籌賑大會議決要案多宗
page 7	美拳賽主持人傑可勃暴卒
page 7	東方對抗依戈零比一受挫記
page 7	乒乓聯合會明晚選舉委員
page 7	外匯牌價昨略低縮英匯美匯市況穩定申匯微見好轉下午轉趨沉寂
page 7	股票市況沉寂香港電燈股價略見低跌各股成交共十四萬餘元 
page 7	八九金市尚稱穩定美匯穩定價少趨跌
page 7	東方南遊下月十六動員
page 7	滬足球臨別紀念麗都隊受屈別記
page 7	球房雜景
