page 2	歐局的演進
page 3	各戰場有激戰南萬公路展開惡戰信陽岳陽均在我控制中晉南Ｘ圖犯茅津渡不逞
page 3	Ｘ機炸西安投下燃燒彈數枚北大街損失慘重
page 3	英外交十三問
page 3	黨政軍應協調粵省各官員宣誓就職
page 3	津物價飛漲係受偽幣影響
page 3	長沙民眾獻金成績美滿
page 3	回胞朝聖團返國抵昆明在麥加解釋我抗戰情形Ｘ派冒牌代表計不得售
page 3	烽烟遍地話綏遠我游擊隊在各處活躍偽軍熱烈懷念着祖國民革社綏北通信
page 3	張自忠有功蔣委員長嘉獎
page 3	綏境蒙政會召開臨時會議
page 3	偽軍兩師在綏北反正
page 3	蔣委員長電慰呂苾籌家屬
page 3	松岡洋右抵滬說未證實
page 3	請纓殺Ｘ各地民眾奮起
page 3	贛北方面Ｘ軍攻犯高安
page 3	豫鄂方面信陽Ｘ軍恐慌
page 3	晉省方面南部漸趨穩定
page 4	希特勒大言不慚妄責英國違約企圖廢棄海軍協定英法認為意在恫嚇
page 4	德壓迫波蘭義國不表贊同如希特勒仍一意孤行德義軸心將為之削弱
page 4	法報傳德空軍集中波邊境德宣傳波境德領館員被毆
page 4	波外長柏克昨啟程赴英今日下午可望抵倫敦英波談話程序籌備中
page 4	越南的對外貿易下
page 4	英仍積極進行新和平陣線努力使羅馬尼亞加入畢德門謂美願助民主國
page 4	傳義擬召集七國會議應付歐洲危機
page 4	塔布衣夫人揭發德陰謀內幕英法蘇非成立共同陣線不足以遏阻希特勒野心
page 4	斯巴得來島被佔後法向日提抗議美報謂該島地位重要足威脅英法遠東屬地
page 4	英參謀總長由法返國
page 4	匈斯勘界問題已獲得解決斯方允割讓土地三十哩政界人士不滿德國態度
page 4	美正式承認西國民軍政府並取消軍火禁令
page 4	立陶宛向德抗議違反立德條約壓迫米美爾人
page 4	兩師反正
page 4	希特勒焦躁了
page 5	江門陷後Ｘ軍猛進新會城郊爭奪劇烈禮樂村壯丁數千協助團隊抗戰中山情勢稍弛沿海公路已破壞
page 5	東北江最前線葉肇召軍民開會決定切實準備反攻
page 5	粵戰形勢上
page 5	游擊區人民崛起滬成立動員總會負責人赴渝請備案
page 5	陽廉兩江對鎖海岸禁止糧食輸出
page 5	粵北文化界盛大集會
page 5	澳門修改租例
page 6	學賑會改選大會執委港大等四十三校監委梅芳男校等七校
page 6	本港手電筒業去年出口幾達二百萬元一月份較去年同期減少
page 6	一個有意義的集會業餘聯誼社交誼會
page 6	江門難民三千人昨來港江澳間交通刻仍不通本港貨物運往者極少
page 6	港僑救護團明日出發今晚舉行授旗禮
page 6	拔萃擦鞋團將大規模籌款去歲曾籌得三千餘元現每星期赴各校工作
page 6	本港警察華人文員呈請改善等級待遇
page 6	鍾聲社徵求社友昨舉行祝捷大會
page 6	明日兒童節九龍各校紀念會召集街童參與並給予紀念章及恩物梅芳學生定今晚播音
page 6	時人往來
page 6	利群漂白粉廠昨招待織造業出品精良足與外貨相抗漂白之外兼有防毒功用
page 6	回教團體昨接回民救國協會
page 7	埠際隊前鋒銳利星中華又告敗北結果一比三表演不失精彩謝慶福統率有方丰姿娟然
page 7	奧林匹克村建築優美可容選手三千一舉兩得會後改作民房
page 7	開羅網球結束許承基雙打決賽不幸敗北
page 7	今日草地網球賽大徐會戰小林珍
page 7	昨日公開男子籃球賽東方小勝警察國際以一分之差敗於華南華雄大顯威風痛創海光隊
page 7	一二月份土產運港出口逾三千萬元二月份出口以桐油為最多
