page 2	社評湘北大捷之後
page 3	贛北我軍攻克修水岳陽通城指日可下
page 3	湘北大捷蘇報極重視華軍英勇誓死守土日方遭受重大打擊
page 3	日機襲川
page 3	滑稽聲明日軍退出中山係對總理致敬
page 3	紀念國慶全國歡騰蔣委長在蓉檢閱滬市民精神振奮
page 3	中樞紀念國慶林主席致詞由革命創業艱難說到抗戰的必勝
page 3	薛岳張發奎真除戰區司令長官
page 3	廣西大學十日行開學禮
page 3	白主任說明我勝利因素我們獲得了湘北的戰果還要再接再厲打走日人
page 3	龍雲吳鼎昌通電討汪逆矯和平為投降遁辭發表謬論大肆鼓簧
page 3	汪逆爪牙仍作搶報舉動
page 3	豫新主席衛立煌視事
page 3	徵募寒衣總會電各地加緊進行
page 3	我軍進逼壺關晉西戰事激烈進行
page 3	滬被扣外輪塗去國徽引起西商注意
page 3	政院會議褒揚朱松盧聶海帆韓德勤真除蘇主席
page 3	板垣碰壁飛平勸說王逆無功嗒然而返
page 3	汪逆焦灼領不到津貼群醜暗鬥愈加劇連台演唱雙包案
page 4	達拉第發表演說重申英法決心非獲得保證決不停戰
page 4	美負責人士觀察和平恐無望
page 4	希特勒又發狂言將繼續戰爭
page 4	芬蘭派代表赴蘇聯談判政府採緊急措置正撤退邊境居民
page 4	伍德在眾院報告空軍活動情形開戰後已建立不少功續飛機生產率正大量增加
page 4	德軍政起裂痕外交政策造成大錯海軍司令不滿請辭
page 4	蘇立協定業已簽字
page 4	愛沙尼亞內閣辭職
page 4	日耳曼人開始撤退
page 4	蘇土談判傳順利進行英法土亦在商洽中蘇軍集中高加索境
page 4	侵略的代價日本國債數字驚人
page 4	中立國向德提出抗議
page 4	傳希特勒將赴西線親自指揮作戰實行其所謂速戰計劃北海發生海空軍大戰
page 4	日外務省屬僚將採積極行動開會討論個別辭職問題
page 4	英美僑胞熱烈慶祝雙十郭胡兩大使發表演說
page 4	英眾院通過緊急預算案
page 4	顏惠慶抵義
page 4	美中立法修正案影響遠東航運滬美僑將電政府呼籲
page 4	駐日美大使格魯抵東京
page 4	近衛毫無長進
page 4	小心上當
page 4	歐局的關鍵
page 5	石岐重見光明日軍已全部撤退我反攻江會各路獲捷
page 5	廣東省銀行重慶支行成立通匯地點國內外五十一處定今日開始營業
page 5	寶安日軍增援猶作困獸之鬥我軍迭次襲擊深圳南頭
page 5	西大文法學院在抗戰中
page 5	滇茶暢銷南洋展開廣大市場
page 5	瓊島我軍反攻克復文嶺龍發日方認為瓊崖民性慓悍必須屠殺方能永久征服
page 6	明年政費預算創本港最高紀錄須增加稅收四百五十萬今日提立法局會議討論
page 6	男女僑胞慶祝雙十紀盛敬祝祖國早獲光榮勝利可算最後勝利的前奏曲
page 6	香港開埠百周紀念港府籌備慶祝歐洲及遠東雖在戰事
page 6	婦女慰勞會籌備舉辦賣物會得款半數撥英紅十字會函請各大商店捐助物品
page 6	醫藥籌賑會售旗籌款本月十四日舉行為贊助紅十字會
page 6	殷商霍芝庭昨晨因病逝世近患喉症前日割治未愈彌留時猶不忘救濟傷難
page 6	貨運險費最近已告回跌
page 6	港府定期調查人口一九四一年舉行
page 7	國慶日足球義賽華聯氣走西聯三比一阿滔獨建兩功
page 7	海外拳壇
page 7	南遊日記
page 7	週年陸運閉幕各項成績美滿男子有八項創新紀錄宋耀德三鐵稱雄
page 7	本週足球聯賽秩序略有更改
page 7	仿林女籃球隊在澳告捷僑星敗於復旦
page 7	電話室
page 7	英匯靜穩美匯略淡申匯市況續見好轉
page 7	桐油埸銷售價飛漲
page 7	歐局和謠影響股票漸形活躍全日成交總值逾十萬元
