page 2	社評論對日經濟制裁
page 3	劫餘新都再遭轟炸我機迎頭痛擊毀Ｘ機二架粵北亦被空襲死傷極慘重
page 3	中國愈戰愈強危險關頭業已過去胡大使在美之談話
page 3	津商李奎元全家被Ｘ綁扣送致鉅款將女眷釋出李氏父子已解平訊辦
page 3	桂越旅行通信廣西對外貿易
page 3	滬西賭窟警務處令其停閉
page 3	Ｘ援軍千餘開滬杭路增援
page 3	東北漆黑一團Ｘ人統制同胞思想所用方法極為毒辣
page 3	桂學生軍勇戰突圍全團安全退出
page 3	Ｘ俘覺悟今晚在渝播講
page 3	浦東英軍傳已撤退
page 3	紐約婦聯榮譽獎章已授予蔣夫人
page 3	平郊劇戰Ｘ軍遭我痛擊
page 3	應付鼓島事件Ｘ將蠻幹到底外務省發言人作如是宣傳海軍方面竟主續派兵登陸
page 3	英議員督促政府注意日在華行動眾院討論長江通航等問題
page 4	英閣原則上決定與蘇訂立協定包括範圍極為廣泛覆文日內即可送出
page 4	張伯倫在眾院批評德義盟約齊亞諾由德返抵羅馬傳義將廢止英義協定
page 4	國聯開秘密會議討論決議案內容共有五要點請各國繼續援華
page 4	英王發表演說希望和衷共濟歐亞文化現橫被摧殘世人應努力重奠基礎
page 4	暹羅政府擬更改國名向議會提出法案
page 4	中華民族的好兒女贛北反攻戰中的壯烈事跡二中央社戰地特派員范式之
page 4	日本對未來局勢將窮於應付美觀察家認歐局如和緩列強對日將施更大壓力
page 4	荷屬東印度應充實國防羅蒙主增建軍艦以防日積極南侵
page 4	愛沙尼亞發生大火
page 4	對但澤問題德態度仍極頑強竟圖廢止但波間協定波外長晤蘇大使長談
page 4	日圓跌價仍無回復希望
page 4	歐局動盪中英準備萬一首都疏散計劃已擬就詳細內容本月初發表
page 4	息戰乎息抗乎
page 4	一個心理對照
page 4	瑪麗太後目傷已有進步
page 4	米亞迦將軍抵墨西哥
page 5	Ｘ軍圖窮七見竟在新會投毒氣彈風向不正我軍損失尚微將士憤怒仍向會城挺進
page 5	Ｘ機連日瘋狂舉動濫炸中山縣民眾石岐各鄉死傷數百澳埠輪渡搭客傷亡
page 5	澳門童軍服務
page 5	南屏槍殺案鄉長潛逃兇手已解前山
page 5	到農村去下對廣東地方行政部訓練所學員訓詞
page 6	稅則研委會報告書建議試徵所得稅定例以百分之五為適宜每年收入可達五百萬元
page 6	法郵船亞林美士日軍又非法檢查本港口外騷擾歷一小時法當局將提出強硬抗議
page 6	諾貝爾向Ｘ酋抗議
page 6	限制迫遷法例修正案立法局會議通過組織委員會研究應修部分普樂爵士提出恩俸制度意見
page 6	教師會徵求會員教育司允任贊助人
page 6	四婦女團體舉辦跳舞會為工業合作社籌款今晚在大酒店舉行
page 6	中英文化協會香港分會將成立卅一日在馮平山圖書館舉行
page 7	國際草地網球規則對選手國籍問題因歐洲時局關係另有新規定
page 7	蘇聯足球選手開始積極訓練三十四隊參加錦標賽本屆聯賽分春秋兩季
page 7	芬蘭人以沐浴作為一種訓練一
page 7	女子籃球義賽四強實力檢討
page 7	英足球選手隊二比零勝羅馬尼亞
