page 2	社評如何平衡收支
page 3	北江反攻部隊挺進前鋒迫神崗人和佔優先地勢新會克復江門城郊發生激戰閩江口外形勢又緊Ｘ軍犯定海
page 3	張發奎報告潮汕附近Ｘ受重創
page 3	廣州游擊隊一度衝入天河機場
page 3	英日會談聲中東京發生示威游行日報稱天津為遠東之明興天津封鎖較前益嚴厲
page 3	津英水手被捕經過
page 3	北平傀儡作應聲蟲
page 3	日方之陰謀圖策動回民反英大同英醫院被迫議讓
page 3	英教士住宅一再被搗毀
page 3	日俘血淚語希望中國勝利解放日民痛苦
page 3	嶺東難民急待救濟
page 3	汪傀儡夢酣偽組織名單傳已擬就吳佩孚拒絕見汪
page 3	澳門附近Ｘ機成隊低飛
page 3	英援華情緒益濃倫敦將舉行標語游行
page 3	津租界封鎖屢演慘劇同胞受盡酷刑Ｘ兵躊躇滿志
page 3	浙東Ｘ艦滋擾在三頭洞登陸被擊退
page 3	綏東我軍又獲勝戰士李發生手刃Ｘ廿餘
page 3	Ｘ艦起火大型轟炸機僅餘殘骸
page 3	廣州英領向日抗議為英輪被扣事美水兵竟被扣
page 3	滬西槍聲汽車被襲並未傷人開槍原因尚未查明
page 3	財部又公布申請外匯規則凡國內所必需進口貨得向審委會請求核准
page 3	情殺案主角陶思瑾結婚從監獄到天台
page 3	孔院長宣言
page 3	鄂中新捷報京鍾路Ｘ被擊潰鄂南仍膠着於原陣地
page 3	蘇北我軍攻入淮安
page 3	美專家稱中國可勝國際地位已大增強
page 3	東北偽軍紛起反正Ｘ軍反戰份子甚活躍
page 4	張伯倫堅決聲明決心抵抗侵略法總統勒伯倫亦表示對履行諾言義無反顧
page 4	傳波向但澤參議會曾提強硬照會
page 4	納粹黨報大放烟幕柏林故示鎮靜
page 4	但澤外弛內張波方靜待發展
page 4	英地中海艦隊將在東部舉行演習
page 4	但澤納粹領袖竟作狂妄要求
page 4	滬英法僑民關懷歐局認七八兩月難關不易過
page 4	日本政策與列強在華利益之將來王外長對歐廣播全文
page 4	美陸軍追加預算總統簽署成立眾院未撤消軍火禁令議長彭克海亦表不滿
page 4	羅斯福對修正中立法決定繼續奮鬥
page 4	英王檢閱義勇服務隊張伯倫廣播演說並宣讀英王演詞
page 4	英王演詞全文
page 4	首相廣播演說
page 4	英蘇談判經過西慈報告抵倫敦內閣外委會開會研究英法報紙論調均樂觀
page 4	英國訓練女空軍軍官戰時協助衛國
page 4	傳蒙偽邊境有激烈戰事日軍向蘇蒙軍開始總攻
page 4	Ｘ原料恐慌美商務部長稱
page 4	正名
page 4	今後的但澤
page 4	曾養甫來港將轉滇就新職
page 4	英潛艇慘案大法官建議審訊之程式
page 4	德大批軍火由漢堡運華
page 4	英報要求政府採強硬政策主張請邱吉爾入閣
page 5	澳門僑團隆重舉行紀念抗戰建國節募捐慰勞忠勇將士茹素追悼死難同胞
page 5	空軍又著戰功炸三灶Ｘ機場兵營連投七彈Ｘ兵Ｘ艦亂竄我軍犁庭掃穴主攻江門
page 5	軍用鴿海康捕獲一頭腳上帶有文件
page 5	南路特別守備區招考學生隊千名分區考試十五入隊
page 5	隨棗殺Ｘ逾萬李宗仁表揚戰績電桂綏署廣為傳播
page 5	犯瓊東Ｘ被我保安團擊潰
page 5	榮譽大隊川省健兒傷愈再赴前線
page 5	粵教廳核定下年度省中班額徐聞中學已准設立
page 5	粵省府令頒兵役人員考績辦法除軍管區司令外均須舉行考績考績課目以兵額徵撥成績為據
page 5	吳飛有繼長中山消息
page 5	壯丁檢閱團抵達廉江
page 5	澳門撞舟斃人
page 5	蔴章舉辦夜校
page 6	今年紀念七七多注重實際行動動員人力物力貢獻祖國全港僑胞均有熱烈表示
page 6	京士柏難民營廿號木屋被焚久無人住貯藏棉胎等物昨晚九時失火原因不明
page 6	廣聯商會購公債五千元向賬聯會領花二千朶獎勵售花成績最佳者
page 6	兩參茸莊捐出大帮暑藥送婦女慰勞會帶往西江前線
page 6	本港法院判決結束政記公司由原派臨時清算人繼續執行清算職務
page 6	獻劍領袖慰勞將士籌委會昨成立全港青年團體聯合組織選出籌備委員定期開會
page 6	美國慶日美領今日招待外賓
page 6	潮僑賑難會撥款賑濟難胞國幣三萬元賑兵災各縣礐石賑款託領事團代散
page 6	賬聯會常務會議審查今日大會提案
page 7	足球總會工作忙定十日召開年會報告去屆收支及管理經過增聘副秘書共同勷理會務
page 7	世界職業網球賽勃琪榮膺冠軍直落三盤擊走梵恩斯
page 7	華人水球聯賽十一揭開戰幕全部秩序昨日正式公佈南華南對華人華打頭陣
page 7	重量級拳賽希墨林歐洲無敵手
page 7	北美帶台盃澳隊告捷淘汰墨西哥
page 7	英美匯等牌價俱跌市況極沉寂暹匯稍漲申匯昨停市但無變動
page 7	歐洲風雲驟緊股票市況轉呆買户賣户俱寥寥無幾全日成交僅得千餘股
page 7	英金不動銀價參差
page 7	現階段的法幣
page 7	八九金市昨穩而靜買賣俱少價格微漲
