page 2	社評英美協助我統制外匯之意義及其評價
page 3	遠東神經戰白熱化華府空氣機微緊張來栖談話謂未攜有新函件並承認美日妥協可能甚少
page 3	日皇返抵東京親臨議會致詞東條定今晨發表施政演說
page 3	緬甸禁止日貨進口
page 3	蔣委長告緬報界慎防敵南侵日本潰敗僅為時間問題
page 3	胡適大使訪美國務卿並在杜蘭大學演說闡述我抗戰持久力
page 3	國際電台對印緬廣播戴院長致頌詞中印緬有數千年之友誼三國合作創造世界和平
page 3	駐日澳使返抵雪梨談太平洋和戰問題倫敦報紙論英美占海上優勢
page 3	滬銀行界會議商請外商銀行密切合作滬美僑迄未接撤僑新訓令
page 3	改善土地制度土地金融基金一千萬元當局已撥付即開始實施
page 3	敵機肆虐飛贛浙閩等地
page 3	羅家倫談話黔省官民朝氣蓬勃
page 3	皖省黨員築路運動
page 3	美管理外僑國務部再說明幾項例外辦法
page 3	豫興辦水利灌溉受益農田達十四萬餘畝
page 3	大同樂會遷移陳列新製樂器
page 3	豫敵勢窮力蹙我軍攻入中牟正加緊肅清城內殘敵
page 3	蘭州張積仁新製合線機呈請准予專利
page 3	顧翊群抵渝
page 3	遺族學校同學會在渝成立
page 4	頓河盆地紅軍反攻德軍被迫退却羅斯托夫愈趨鞏固
page 4	美海空軍佈置就緒保護商輸駛英哈里曼由紐約飛倫敦
page 4	美政府將行動制止煤礦風潮勞資雙方仍在談判中
page 4	德國自由電台要求天主教徒聯合奮起與希特勒作戰
page 4	美新式機關槍每分鐘射彈千餘發距離射程達三英里
page 4	蘇德戰爭與遠東局勢一
page 4	高爾將軍宣布法國大憲章維護自由平等博愛與英比肩抗戰到底
page 4	英報揭發德國宣傳慣技和平建議純對國內宣傳芬克赴義在討義國歡心
page 4	皇家方舟的沉沒
page 4	英海軍截留維希軍用品
page 4	美財長演說主張以大宗糧食接濟歐亞洲人民
page 4	北非義軍港口續遭英機轟炸邊界區域有小接觸
page 4	印本加勃總督呼籲準備應變
page 4	開羅伊朗之間航空線已完成英美蘇交通能更緊密
page 4	鐵蹄下之南國在過去兩星期中被德槍殺二千人
page 4	荷反德運動仍在擴大中
page 4	歡迎加拿大勁旅
page 4	勅令舉手
page 5	丁文淵過星談話我與德絕交經過我留德學生尚有一百餘人因匯兌斷絕生活甚感困苦
page 5	留德僑胞尚有千餘
page 5	我國與德絕交經過
page 5	東江鹽場豐收各地市價下跌
page 5	英德兩國戰爭目標
page 5	宣慰桂湘粵各地負傷戰士歸來二
page 5	粵省公路汽車限制附搭旅客行李二十公斤以內免收運費
page 5	軍事演習完畢敵軍開放珠江中山方面偽軍續有反正
page 5	廣東體育訪問團遠征湘桂印象期望體育能達到國防大眾化白副總長建議組隊訪問陪都
page 5	粵省立圖書館正式成立藏書　志七十餘種　迴書庫
page 5	中山大學十七週年紀念
page 5	糧食增產本年成績倍於原定數字農部撥款籌劃明年工作
page 5	發展全國工運設立示範工會社會部指定十二縣市曲江已成立開始工作
page 6	加拿大軍增防本港港防務益臻鞏固昨日港督等均新往迎迓
page 6	分批登陸
page 6	金銀貿易場今日恢復開市但限現貨交易即日結算昨晚該場召開大會決定
page 6	嘉年華會國產品五
page 6	肉價回跌約降低三分一
page 6	公務人員奉令參加民防隊
page 6	港文化界昨熱烈慶祝郭沫若五十歲壽辰馬鑑主席報告紀念意義盛譽郭氏在文藝上貢獻
page 6	廣大學生會歡迎美紅人三代表
page 6	譚先酬酢忙各友好均設宴招待
page 6	官柴九萬擔運抵港尚有廿四萬擔陸續運來柴商進行運辦商柴應市
page 6	糖商總會昨選出新董事
page 6	花紗行商請求改善統制辦法
page 7	愉園足球多精采蘇軍打和星島一比一戰至難解難人景祥柯路特表演雙絕博好評
page 7	南華足球隊在澳奏捷二比一勝澳聯
page 7	東方勇破光華三比零淨勝侯澄滔建兩功金海進一球光華前鋒萎靡演出走樣
page 7	鐵城杯籃球三角戰南華戰中青下午八時在青支會舉行得失關係錦標至盼努力
page 7	體育界役團歡迎蔡哈兩氏昨在告羅士打酒店茶聚惠全哈孟均致詞
page 7	七七乒乓賽冠軍爭雄今夕八時舉行
page 7	澳女籃球揭幕協和先克紀中
page 7	上週本港金融行情大洋券以每千元計單位港元
