page 2	社評日軍最近的行動
page 3	日軍續犯防城企沙龍門殘餘就殲北海形勢穩定法維護權益與英美密切合作
page 3	晉東南在苦戰中一
page 3	菲國民黨電蔣總裁致敬
page 3	半月來的戰績各戰場總計作戰三百二十次俘獲日方官兵彈械馬匹無算
page 3	晉西鄂南日軍迭告失利
page 3	湘贛戰地民眾蔣委長明令獎勵協助殺日獲空前戰果全國同胞應聞風奮起
page 3	浙西我軍予日重大打擊
page 3	六中全會續開四次會全體通過拍發兩電慰勞將士嘉勉僑胞
page 3	法幣千萬元安然運滬卸下
page 3	滬偽警槍擊英僑英領提抗議兩路存滬案卷受人覬覦
page 3	日本間諜中央製片擬攝成電影
page 3	美大使抵港將赴滬轉平
page 3	汪兆銘好夢難圓須磨昨日抵滬談偽政權成立無期
page 3	蘇日漁業問題傳將正式談判須磨表示願與美訂約美與論態度仍極堅決
page 3	粵黨政軍人員昨聯合就職張發奎等致訓詞對粵政期許甚殷
page 3	中蘇擬增加兩國貿易數量孔院長蘇大使舉行會談
page 3	我向美購機
page 4	巴爾幹新醞釀義圖伸張勢力德勢將助義阻擋蘇聯義首相演說武裝和平
page 4	莫斯科方面認蘇芬談判破裂芬準備應付神經戰將頒布新金融條例
page 4	英法德軍力比較
page 4	美潛艇開菲增強遠東防務
page 4	德國仍妄想速戰速決冀圖對英大舉空襲英國護航制度生效
page 4	蘇報反美繼續不已
page 4	傳芬邊境紅軍大增
page 4	美中立法細節尚待決定英法訂單現仍擱置商輪停航比受影響
page 4	德拒絕和平建議荷蘭大感失望比方準備邊界防務西門宣布繼續尊重中立
page 4	反德暴動捷克學生舉行示威波蘭民眾襲擊軍警
page 4	西線沉寂
page 4	英王宴波總理
page 4	汛美金融會議在中美正式開會
page 4	英輪擊沉德潛艇法宣布截獲違禁品數量九星期中達五二餘萬噸
page 4	如此淺陋
page 4	安居樂業
page 5	珠江日艦悉調南路江會前線無大戰日軍糧食恐慌到處搶割禾稻我游擊隊進襲市橋沙灣
page 5	東江日軍實施奴化教育我游擊團隊屢予打擊一般民眾亦消極抵制
page 5	湘北勞軍雜記
page 5	籌款二十萬元辦理中山急賑
page 5	楊庶堪唱和近作
page 5	潮汕日偽軍互相猜懼雙方爾虞我詐大有火併之勢
page 5	瓊島捷報頻傳崖佛公路上伏擊日軍車便衣隊擊斃江東偽會長
page 5	省府設實驗縣厲行新政以優秀青年任縣長
page 5	粵省各縣市長調查
page 5	縣政幹訓所昨行開學禮學員千餘人
page 5	鯊魚涌葵涌等地日機昨又狂炸尚幸疏散得宜死傷僅十餘人海關分卡亦落彈四五枚
page 5	粵省二區各縣限年底禁絕烟毒曾憲聖調任省禁烟會主任秘書
page 6	立法局昨復會戰時預算案通過買乃錫少將贊成所得銳港督解釋負擔軍費目的
page 6	青年獻劍慰勞團昨舉行授旗典禮吳鐵城代表授旗並致訓林培生認獻國幣一千元
page 6	帝航機兩機師昨晨抵港向總督報告經過
page 6	十五海賊劫一貨艇劫去大幫火油草蓆
page 6	中國婦女會昨改選新職員
page 6	五婦女團體代表今晨赴中山視察俟視察災情後酌量施賑張縣長來函為難民呼籲
page 6	聖促羅女院慈善賣物會請港督夫人揭幕
page 6	太平劇團明後兩晚天國情鴛
page 6	英海軍尋水雷
page 7	港星女子籃球隊征菲初吃敗仗廿七比廿九不敵菲島冠軍明晚移師對抗華聯軍
page 7	名足球裁判員奧馬有意倦動
page 7	菲遊瑣記
page 7	明天排球戰四路興兵培英陣線堅強
page 7	督憲杯緣起
page 7	孤島中青籃球賽昨日舉行開幕聯賽定後日開始交鋒
page 7	學界籃球華仁打勝皇仁
page 7	明晚公開籃球南華華大戰培英
page 7	股票市仍平淡買戶視線多集中於低價股票全日成交總值四萬餘元
page 7	美菲荷匯牌價均漲英鎊略漲港外匯市較見穩定申匯牌價稍縮市況先緊後靜
page 7	八九金市略淡且靜買賣仍少價格微降
