page 2	社評今後外交的動向
page 3	國際外交戰又一幕蘇日簽訂中立協定松岡功德圓滿已離蘇返國
page 3	郭大使離英前臨別廣播全文
page 3	一角獻金中行國庫局發起
page 3	荷日談判將賡續進行
page 3	美商汽油被日扣留
page 3	敵運輸艦在青擱淺
page 3	日寇企圖在泰北駐兵日間諜竄南洋各地攜有武器陰謀不軌
page 3	泰海軍總司令傳將辭職官方對此不予批評
page 3	正告日本
page 3	出錢勞軍滇各界進行熱烈
page 3	蔣委員長接見丘元榮丘氏向南僑播講
page 3	軍委會政治部電影隊抵晉將赴前線放映影片
page 3	豫參議會二次大會電蔣委員長致敬
page 3	日米荒嚴重石黑勸人鼓起精神以抵銷物質之缺乏
page 3	扎幌煤礦山崩
page 3	滬工潮復熾泥水匠木匠均要求加資旅館工役亦醞釀總罷工
page 3	美國駐滬領事調任使館參贊
page 3	鄂中敵軍又蠢動分三股向我侵擾我軍英勇迎擊劇戰進行中
page 4	德軍侵入希臘腹地摩拿斯提山隘戰事白熱化英希軍奮勇抵抗予敵重創
page 4	北非戰場僅有小接觸德軍企圖東進被阻英澳空軍加緊出動
page 4	英倫海峽的防務
page 4	英德空襲仍大規模進行英倫沿岸空戰激烈一週間德機被毀五十架
page 4	復活節教皇演講將用各種語言廣播
page 4	美派代表赴葡京商購軸心船隻必要時將前赴德義一行
page 4	南非總理發表演說英人之靈魂絕不能征服
page 4	維希所傳之德國新武器坦克車摧毀一切防禦物跳傘部隊用途範圍愈廣
page 4	美正設法促進英愛合作擬以軍火糧食供給愛爾蘭但須與英合作為交換條件
page 4	伊拉克舉出新攝政伊王堂弟卻拉斯獲選
page 4	美空軍司令阿諾特抵英美飛機炸彈將源源運英
page 4	德國授意丹麥政府不承認格林蘭協定
page 4	蘇日簽訂中立協定
page 4	弦外之音
page 5	敵軍竄擾北海東西鎮損失巨重民間損害共值二百八十餘萬
page 5	粵省積極推進軍民合作運動擬定宣傳大綱呼起民眾注意
page 5	西康日記第十五編由麗江返昆明
page 5	滇緬公路臘戍至昆明煤油車試行記
page 5	穩定滬民食當局決採標本兼施疏通米源整頓買賣
page 5	偽鈔流通困難日方勢力範圍拒絕使用流通區域僅限南京蘇杭
page 5	華南敵軍調動繁忙廣州江門大舉拉伕
page 6	米價日趨高漲政府磋商補救辦法羅旭龢談一週後可實行大量運米來港制裁黑市
page 6	中國文協主辦歌詠比賽結果昨日揭曉每組取三名加特獎一名參加藝術界獻機音樂會
page 6	博羅同鄉會昨舉行會員大會
page 6	購機彩票印警得頭獎
page 6	普益商會同人響應勞軍運動郭泉等組織勸捐委員會各大公司商店紛紛損輸
page 6	昨晨大雷雨刻字老人觸電斃命總警署著火被淋熄
page 6	來港巴僑痛述被迫返國經過定七五工例發健康證強迫房東收回華商屋宇
page 6	港大興建新理學院定十六日奠基由港督羅富國主持典禮預計今年八九月間完成
page 6	港府否認扣留法輪指斥日越各方造謠
page 6	柴門霍夫廿四周年忌辰紀念世界語會昨日開會
page 6	移民大嶼山西貢勘得地點十二處先開墾五區每區容千人李佐臣昨赴大嶼山視察
page 6	聯業工會解釋工人不登記原因
page 6	東江難民麕集坪洲不獲進入本港善團搭棚收容
page 6	撲滅燒夷彈舉行巡迴表演十七日晚燈火管制演習將不施放空襲警報信號
page 6	由港赴廣州灣行李檢查苛例取消但對貨物入口仍加限制物價騰貴商店紛紛結束
page 7	足球聯賽壓軸戲南華大戰聯軍雙方陣容完整加山麓展開激戰羅文錦夫人蒞場子頒獎品
page 7	督憲杯賽華聯選人
page 7	甲組聯賽封箱戲士葛勝警察三比二場面頗見緊張賽程結束來屆要加鞭
page 7	昨日球賑甲組聯賽士葛隊勝警察會三比二
page 7	足球縱橫談九
page 7	星友籃球隊今午戰商務
page 7	軟性壘球義賽野貓對港星下午二時半在九龍球場男子表演約瑟戰馬學士
page 7	恩德杯排球比賽三強旅召開會議
