page 2	社評凍結國幣存款後的幾個問題
page 3	平江以西戰事愈酣敵軍繼續增援猛撲
page 3	三埠戰況激烈我軍仍控制台山四郊敵圖犯開平遭我伏擊
page 3	九中全會傳十一月中舉行
page 3	富室已避往他處
page 3	敵在湘北攻勢政治重於軍事
page 3	美艦使用新加坡許以一切利便英駐華艦隊總司令賴登談話
page 3	改善公務員生活中央各機關合設委會本月起津貼二十元
page 3	美議員麥根森重視菲島防務
page 3	越南日駐軍僅三四萬人
page 3	泰官員表示日不致攻泰
page 3	美國援蘇新航線北冰洋海道一
page 3	荷下集特派白雷格使華我政府已同意
page 3	美海軍陸戰隊續自平津撤退
page 3	美日談話停頓中日本不願作不侵蘇之擔保
page 3	公葬季鸞先生籌備委會成立蕭同茲等十五人為常委並電請各地新聞界參加陪都報界今日公祭
page 3	郭外長宴蘇大使蘇聯仍繼續以軍火援華日竟謂為對日不友善
page 3	日本的悲鳴美援蘇貨物駛海參崴日發言人謂甚為憤慨
page 3	巡視緬甸防務後普法姆表示滿意
page 3	粵北觀日蝕曾發現地震
page 3	粵省僑匯省行與財部商定新辦法
page 3	三年建設計劃中央設計局擬定原則各機關依照編訂竣事
page 3	游資內移虞洽卿等籌備設立企業公司
page 4	列寧格勒前線戰況又趨激烈英機多隊協助防衛
page 4	南北兩路蘇軍堅拒德軍攻勢
page 4	英新戰鬭機旋風第二式裝有砲四門機槍十二梃穿刺破壞力量遠勝德機
page 4	印英軍總司令已由英返印曾進謁首相及參謀總長商蘇聯與中東局勢問題
page 4	聯軍國二次會議意見極一致美大使魏南宣讀演詞願考慮戰後經濟合作
page 4	英軍攻德路線一
page 4	伊朗前王將赴南美
page 4	美國加強城市防空拉加第亞向眾院提議
page 4	英國援蘇生產創造新紀錄坦克數千輛正在裝配中
page 4	美總統將要求完全廢除中立法總統撰文痛斥孤立派
page 4	德法談判復活雙方代表接觸頻繁
page 4	法人反德愈烈納粹高壓適足促成革命
page 4	英國輿論郭促政府加強機構應付現局共黨要求撤換閣員
page 4	美海員罷工事仍有和解希望
page 4	希爾曼勉造船工人加緊接濟中英蘇擊潰亞歐洲侵略
page 4	保內長竟自承甘作軸心尾巴惟否認將參戰之說
page 4	斥石射之言
page 4	原來如此
page 5	三埠慘遭蹂躪敵軍有西犯模樣鄧龍光派兵南下阻截樓崗墟附近在激戰中
page 5	黃旭初報告出巡邕柳玉經過糧食財政教育均獲良好成績
page 5	廣州灣寸金橋一場虛驚法兵尋釁與我軍發生衝突幸無死傷經調停和解
page 5	祖國在戰時二
page 6	立法局昨會議通告修正彩票稅法案宣布警察國民軍地位
page 6	貿易統制員揭發萬餘元賄賂案寧振華圖運麻包紙出口事敗被捕昨日提出控訴
page 6	馬思聰小提琴演奏馬夫人王慕理鋼琴伴奏今明兩晚在半島玫瑰廳
page 6	美輪返國改變航線避免由滬直接駛美今後航線行期臨時公布
page 6	港七十勞工團體昨歡送朱學範本屆勞工會議含意重大朱氏定廿八日啟程赴美
page 6	記者聯誼會歡送壽景偉
page 6	灣仔第二公共食堂日內即可開設並擬在港九各區設立平糶會發售慈善飯券
page 6	哭季鸞先生
page 6	兒童劇場第十五次公演廿六廿七兩晚
page 6	防空工程案研究工資數簿東方運輸公司承接運泥未及一年獲利二萬餘元
page 7	鐵城杯籃球比賽星島出戰警察第一幕黑貓對平正亦有看頭下月起從新編配秩序
page 7	星華田徑對抗作大規模比賽增設公開男女競賽項目並邀請各校作團體表演
page 7	陽光與健康
page 7	校際水運會職員產生港九居民聯合會舉辦之
page 7	銀牌籃球精采戰民大勇克平正六十四比卅三晉入半決週賽陳兆祿陳新球均有佳妙表演
page 7	澳東星小球隊今晨到港比賽秩序排定
page 7	冠軍泳賽第一天陳震南出色八百八十碼大會新紀錄百五碼三式泳吳年第一
page 7	卓雄杯東山戰同義預料有劇爭
page 7	外匯牌價仍無變更申匯市況略見鬆弛
page 7	股票續趨活躍各股求過於供價格可望再漲昨日成交三十八萬餘元
