page 2	社評敬告泰國政府
page 3	鄂北戰局逐漸開展我軍控制隨縣近郊把握主動地位充分消耗Ｘ軍湘北我軍出擊岳陽附近激戰
page 3	蔣委員長關懷暹羅僑胞祖國抗戰勝利益有把握當地政府終必重視僑胞
page 3	歐洲難民禁止入滬公共租界發出通知令各關係方面知照
page 3	蘇北Ｘ軍分路進犯受創掃蕩計劃又告失敗
page 3	趙恆惕獻子從戎致函衡山縣府務必儘先抽調
page 3	嘉善縣城被我包圍一晝夜
page 3	津糧食價漲
page 3	八一三的歷史意義
page 3	滬兩租界昨仍戒備
page 3	桂自治研究會業已開幕黃主席致詞勗勉
page 3	楊光泩在菲廣播
page 3	我的和平中
page 3	鄂北盛大紀念會某長官親臨訓話
page 3	滬Ｘ拘押反戰份子
page 3	華北各地反英狂潮上海四郊亦波及
page 3	哈爾賓白俄備受日方虐待不論男女均須登記壯丁並受軍事訓練
page 3	畢特門來電致我報界協會美國決作堅定處置永不承認日方謬舉
page 3	滬購洋米維持民食
page 3	華北水災情形極慘重
page 4	東京英日談判已到最後階段日軍代表昨飛返天津英政府傳將作新考慮
page 4	武籐發生狂妄談話竟欲英國悔辱悟
page 4	英國報紙希望政府勿再對日讓步
page 4	國勞大會紀詳我國代表團極為活躍與各國代表杯酒聯歡
page 4	Ｘ保守閣員草就新對案主有限度加入德義軍盟平沼謁日皇後即付閣議
page 4	德義談話結果德宣傳成立妥協歐洲悲觀傳說又盛行齊亞諾業已返抵羅馬
page 4	戰時的安徽四
page 4	葡萄牙總統聘問南非南非當局熱烈歡迎
page 4	新加坡英海軍將舉行會操陸軍擬在新設總指揮部俾統一遠東駐軍指揮權
page 4	土保前嫌冰釋保報紙論調突變和緩武官亦被邀參觀演習
page 4	蕭翁名著上演極獲佳評觀眾擁擠
page 4	英法報紙在義被禁
page 4	澳洲聯邦總理斥希特勒黷武拒絕和平談判但澤問題實為今日緊張局勢主因
page 4	我們的期待
page 4	不能再後退
page 4	三國軍事談話加緊進行中
page 4	英印商約今日生效
page 5	前線戰事沉寂南路形勢略緊汪逆嗾使爪牙在江會活動
page 5	昆明敬老會參加五百人耆英畢至堪稱盛況空前天南人瑞全場鼓掌稱慶
page 5	澳門獻金第一天收穫四萬八千元
page 5	省行防止資金外逃港澳星洲等處停止普通匯欵
page 5	復興粵省蠶絲樂昌設立蠶種繁殖塲
page 5	川滇公路短期內可通車橋渡工程現正加緊進行中並計劃建築沿途永久設備
page 5	從七七到八一三
page 5	粵省振會籌辦農工商業貸款額定四百萬元已向各方接洽一面派員實地調查以憑實施
page 5	潮安Ｘ軍增援圖犯揭陽
page 6	港渝港菲無線電話今晨舉行通話儀式港督將與孔院長通話昨日港渝試話結果甚為圓滿
page 6	八一三獻金今日最後一日再接再厲勿貽守財之識小販義賣成績極為可觀
page 6	台民歸向祖國熱烈祝禱抗戰勝利獻金百元昨送本報
page 6	空軍演習昨夜高射砲聲隆隆本港空軍昨夕九時舉
page 6	義賣
page 6	香港吧城兩婦女會聯合贈車紅會再接再厲貢獻國家民族王正廷代表接受救護車
page 6	永祥金鋪刼案審畢詳臬定讞黎有始終否認參加行刼邱生祗認夥刼未嘗持械
page 6	福興公司各國洋紙廉價出售
page 6	廣東省立教育學院在港招考公費生
page 6	時人行蹤周雍能前報載中央軍官學校委託廣
page 6	老婦被污案被告律師詰問當時經過謂原告自願與印人苟且初訊告終申詳臬庭定讞
page 6	大來土產號歡迎電話購貨
page 7	昨晚籃球義演南華痛擊南灣隊六十二比三十一相差一半今日對抗勵行場地有問題
page 7	本屆奧林匹克芬蘭長跑展望續名將過剩問題極為嚴重萬米將打破三十分雄關
page 7	昨日夏令籃球大觀敗北今日有兩場
page 7	滬游泳二次預賽陸順根顯威五十碼自由式壓倒羅根蛙王郭振恒三式泳第二
page 7	我台杯代表何仁軒賽球傷腕部
page 7	兩椿事
page 7	足球獻金義賽東方加緊進行
page 7	美惠民杯隊員正式發表瑪博等八人
page 7	獻劍排球賽收入二百元
page 7	申匯牌價續漲越匯略縮英美匯市況穩靜申市好轉投機者頗多吸進
page 7	股票市況滯靜全日成交僅二萬餘元
page 7	英金略漲英銀俱昇
page 7	八九金市依然堅穩買賣不多微漲九仙
