page 2	港大改進與中英合作
page 3	我軍大部移外圍作戰南昌巷戰空前劇烈忠勇守軍決心與城共存亡Ｘ軍損失慘重陣亡達七千
page 3	蔡廷鍇返桂談華南配備甚好Ｘ深入實不可能
page 3	行政院會議設立學校收容鄂中學生陝粵參議會秘書長派定
page 3	免用魚翅滬商會通告各業
page 3	贛北血戰紀詳南昌近郊戰況慘烈Ｘ有得不償失之苦
page 3	晉南Ｘ再犯浮山安澤殘Ｘ在我圍殲中
page 3	中國維持債信克利斯浦債款償付倫敦方面反響良好
page 3	幣制法案英參院二讀通過
page 3	皖南全線反攻我分三路出擊Ｘ軍戰事正順利進展中
page 3	日僑在滬被刺壯漢逸去詳情不明
page 3	炸斃英教士英將向日索賠償
page 3	余漢謀返防即準備大舉反攻海南島Ｘ銳氣已挫傳我克復文昌縣城
page 3	柏林兩團體歡宴中國大使福根浩森等均參加
page 3	偷渡富春江Ｘ已被我全部肅清
page 3	徵求新黨員中央電各省市黨部務須遵令切實進行
page 4	德國別具用心宣傳波蘭反德傳對但澤自由市問題曾照會波蘭要求三點
page 4	義德利害衝突德企圖攫取南國市場義感受威脅將謀對策
page 4	限制捷提款案眾院三讀通過並經英王批准
page 4	英蘇商約談判已建立基礎將賡續在倫敦舉行兩國關係倍形接近
page 4	反侵略宣言談話賡續進行中英內閣絕對擁護首相
page 4	立內閣辭職總參謀長將組閣
page 4	羅總理演說德羅協定不影響羅獨立對領土完整決予以保衛英羅將繼續商務談判
page 4	法國準備與義進行談判惟須義方有確切主題並以法義協定為基礎
page 4	匈斯勘界會議昨正式舉行匈政府發表衝突經過
page 4	英國援華運動中
page 4	英陸軍參謀長赴法觀操並視察馬奇諾防線
page 4	德阿商業協定昨日實行簽押
page 4	兩載半苦鬥告終瑪德里豎白旗國民軍昨午業已入城並實行接收在法軍艦
page 4	美參院通過陸軍預算案總統曾要求國會通過海軍補助費增購飛機
page 4	法購美機轟炸機百架
page 4	斯洛伐克召集後備隊入伍加強陸空軍實力德斯協定已公佈
page 4	國聯技術人員助我防疫在渝商定計劃今日飛滇工作
page 4	南昌的淪陷
page 4	德義軸心的裂痕
page 5	容奇桂洲相繼陷落中山四邑同告吃緊
page 5	東江游擊隊捕獲間諜內有Ｘ軍官一員
page 5	廿六日Ｘ機襲潮汕大華輪死傷多人平民何辜亦遭毒手尚有遺屍未經認領
page 5	北海統制外匯
page 5	古勞難民逃避
page 6	今日黃花崗紀念各學校舉行紀念儀式黃花崗義劇改五月初公演
page 6	航校失蹤學生黃佐治昨晨返港迷失方向降落大亞灣又飛馬士灣留宿一宵
page 6	中國藝術劇團二次公演的四個戲得意忘形中國男兒欽差大臣黑闇勢力
page 6	國民精神總動員港九教聯致函各校實施華商總會下週開會討論
page 6	漁民協會函請許世英撥款
page 6	本港警察當局發現賊黨調查太子道各住戶擬作有計劃的行劫
page 6	衛生會議九龍城區增建公廁
page 7	對抗星洲中華隊華聯出戰第三場比賽門票今日起開始預售南華會左翼改用場水益
page 7	男子籃球今晚甲組賽
page 7	草地網球賽徐氏兄弟進展順利
