page 2	社評我們的經濟堡壘
page 3	日軍再度增援反撲贛北戰事愈趨猛烈蘇浙皖邊亦激戰我克復泗安潮陽東南日軍登陸我軍正堵剿中
page 3	松岡離莫斯科前曾謁蘇當局向史達林等呈送禮物
page 3	荷印保安軍華僑亦參加
page 3	東京外僑被毆格魯提出抗議
page 3	東條及板垣曾先後赴平
page 3	日人操縱泰越經過一
page 3	美徵發巨大郵船載兵增防夏威夷菲島蘇比亞泫劃入防禦區域受訓後備役員已達十二萬人
page 3	比里斯本澳人熱烈歡迎美艦澳總理返澳將取道美加
page 3	外匯平準基金英保證補充倫敦對我法幣前途樂觀
page 3	滇緬道上貨車往來日夜不絕該路運輸歸西南公司統制
page 3	商震率領代表團抵達印度京城將赴各地視察軍事要點
page 3	鄺炳舜在桂林向李主任獻旗
page 3	滬法租界工潮解決
page 3	韓國鈞吞金全節
page 3	滇省直接稅已先後開徵
page 3	汪組織新添一導演青木任最高顧問
page 3	日汪暴徒橫行圖強用汪紙中農兩行暫停止營業
page 3	阿爾考特險被謀害
page 3	甘省注重水利修建兩渠將可種田七萬餘畝
page 3	陪都與西昌間無線電話開放
page 3	皖一縣長瀆職被懲
page 4	蘇土交換不侵聲明南國正式加入軸心巴爾幹外交戰同時揭開兩幕
page 4	德向南聲明不假道運兵
page 4	土軍兩百萬決保衛領土各報一致呼籲備戰土人寧死不為奴隸
page 4	德軍壓境聲中希紀念獨立決心維護獨立自由土致賀電願為希臘後盾
page 4	由耶律楚材說起
page 4	南國駐蘇代表辭職反對政府親德政策
page 4	七十億元援英案美參院迅速通過將用飛機送總統簽署
page 4	法輪一隊駛大西洋由法驅逐艦保護英當局未予截留
page 4	威爾基在加拿大論戰後世界消除國際畸形狀態毀滅強權好戰主義
page 4	美賓州鋼鐵廠工人罷工國防定單受影響
page 4	德機襲英目的在航運英報一致主張大舉對德報復
page 4	英機飛柏林投重烈性彈基爾海軍根據地亦被炸英機在北海偵察德巡艦
page 4	美加成立協定便利造艦工程利用北美大湖船塢建艦
page 4	格拉祥尼解除職務
page 4	蘇遠東軍司令易人以亞巴那申科接任
page 4	東條板坦的行動
page 4	土京的預料
page 4	日翼贊會將實行改級擬設副總裁一人
page 5	粵發展國民教育訂定實施計劃積極逐步推進全部經費已決定一百廿萬元
page 5	厦門日軍建築工事抽調台人強迫工作一幕亡國慘痛的紀實
page 5	西康日記第十三編永寧麗江途中
page 5	滬港企業家籌劃濱海工業內遷增加後方生產以折　價
page 5	粵省政治展望救濟糧荒整訓團隊改進人事以謀足食足兵刷新庶政
page 5	緝私處裁撤十六個所哨
page 5	西江南路貨運恢復
page 5	曲清驛運日間開辦將來可直通三埠
page 5	現階段行政的新動力統一集體專業的視導下
page 5	張發奎撥款二萬急振台山難胞交縣長黃啟光代為散振
page 6	日軍在汕尾登陸後港粵交通受影響港汕電報仍通但遞送不負責珍珠輪船員談折回經過
page 6	羅文錦報告一年來慈善工作群眾公益會昨舉行年會希望熱心人士捐款濟難
page 6	移民局調查委會昨舉行第二次聽取證供集會富勵士釋辦畢彌之批評今晨繼續傳訊其他證供
page 6	扶輪會籌購救護車
page 6	新警司伊雲已在來港途中
page 6	僑務委員會通令各僑團備案防範不正當團體活動保護僑民事業之發展
page 6	當局籌備中醫註冊須先調查人數
page 6	廣聯商會戶內勸募出錢勞軍得國幣五千六百元
page 6	本港人口數字下月公布
page 6	北大同學會理事會舉行首次會
page 6	粵港青年會隨軍服務團取錄新團員揭曉
page 6	現代畫展今晚截止收件
page 6	世界語學會世界語初級講習班分用國語粵語教授
page 6	衛生局通過公眾衛生修正案新例由五月一日起實施違者處罰百元以下罰金
page 6	中英文協下月出版會刊
page 7	東方籃足球隊今晨首途征菲一行十八人陳福愉統領出發仲雲耀華福全因派司事改後日動身
page 7	督憲杯華聯隊遴選戰陣芻議深盼協會諸公注意及之
page 7	今日甲組聯賽香米之戰改期乙丙組仍有三場上演工程打旗奪標希望高
page 7	正廷女杯籃賽半山再逢南商
page 7	青支兒童節體育表演月底截止報名
page 7	南華女子部初選揭曉馬綺文等卅人
page 7	恩德杯東南大戰月底實現
page 7	本週足球比賽節目
page 7	中學籃球賽各校踴躍參加
page 7	外匯牌價申匯續漲英匯美匯依然沉寂
page 7	股票續有進展青洲英坭公司行將開派股息昨各股成效共十萬餘元
