page 2	如此一週
page 3	美法對日一致不滿海南我軍英勇抵抗
page 3	國民參政會閉幕蔣議長致休會詞張副議長述個人感想張一麐代表全體答詞
page 3	我空軍偉績在各地重創Ｘ軍Ｘ機多架被擊落
page 3	貴陽降雹房屋被毀甚多
page 3	滬租界形勢緊張鋤奸案件不斷發生Ｘ竟提出無理要求
page 3	大批漢奸被殲偽外長陳籙遭槍殺
page 3	Ｘ軍厭戰益厲不斷發生事變
page 3	Ｘ機轟炸英界已向英方道歉謂係因一枚炸彈誤投已準備賠償任何損失
page 3	何部長報告內政計劃詳述新地政方針
page 4	張伯倫在下院力主擴張軍備增強國防目的在自衛政府公債法案被通過
page 4	軍備生產能率已有顯然進步
page 4	國防需款甚切預算應予增加
page 4	裁軍果裨實際英國不辭召集
page 4	阿特里邱吉爾詳述首相政策
page 4	英法軍事當局準備戰時合作
page 4	美國外交政策在求正義和平遙為西方民主國聲援以避免獨裁式的和平
page 4	英德準備舉行經濟談判英外部顧問華特金已抵柏林預作接洽
page 4	英荷遠東聯防雙方交換之聯防情報為平常及有技術性者
page 4	比利時新閣組成天主教黨領袖比埃洛任總理
page 4	英巨型戰鬥艦舉行下水禮由英王夫婦親自主持另兩艦亦將着手建造
page 4	張副議長致詞
page 4	張一　致詞
page 4	祝新空軍
page 4	所為何來
page 5	實行國民抗Ｘ公約梧州民眾熱烈宣誓即將設立抗戰建國學校警局飭限各鎮建防奸閘
page 5	粵省一月來新仕版
page 5	吳飛函述合浦徐聞遭慘炸Ｘ仍企圖騷擾北海我軍準備應付一切
page 5	福建省銀行舉辦人才總登記公開考用行員服務內地登記期間三月十日截止
page 5	閩參議會參議員候選人已彙呈永安新會所在興築中
page 5	粵省府將請中央增加委員
page 5	粵稅警團奉命在粵北改編
page 5	韶梅客車每週祗開一班舉行抽籤定座
page 5	老翁賦詩大有白虹貫日之概送其次子抗戰出征
page 5	蔣百里遺箸蔣氏記室著手編印
page 5	救濟難民澳門義舉粵名伶來澳演劇梁後源即席傾囊
page 5	前山海面截獲私貨總值六七萬元之巨
page 5	興寧縣長易人
page 5	宜山浙大開班
page 6	Ｘ機轟炸深圳羅湖深圳被炸慘重已淪為坵墟該處難民掃數移粉嶺收容
page 6	菲政府限制僑胞赴菲避難辦法西貢厲行取締水客走私港華商總會昨奉僑委會訓令
page 6	由省來港歸客談魑魅的廣州繁榮市內白晝攔途截劫四鄉賊匪擄勒猖獗
page 6	三八婦女節擴大舉行各國婦女參加節目大致擬定
page 6	新人道聲片昨起義演在港娛樂戲院放演
page 6	昨晨九龍天空發現巨聲居民多由夢中驚醒
page 6	國貨展覽昨日閉幕葉蘭泉致閉幕詞
page 7	港聯隊力挽狂瀾菲律賓三戰三北上半時二比一菲隊佔居優勢港聯急起直追總結果四比三
page 7	週末甲組足球賽東方再戰雛鳳南華南會師香港會光華會對抗警察會
page 7	今日菲隊出征澳門
page 7	埠際賽追記四比一港隊大勝菲律賓李惠堂連中三元
page 7	中菲大會戰五比三菲隊表演較出色中華力戰奏凱歌
page 7	星期日足球義賽南華出戰港聯下午四時在嘉山舉行
page 7	公開草地網球錦標三月六日開始比賽
page 7	排球主義賽今天決戰紅灰對白綠
page 7	西雅圖籃球隊在滬獲勝百樂門雖敗猶榮結果六二比四五
page 7	春節球賑
page 8	外匯牌價荷略漲其餘匯價均不動英匯美匯需求略多市底趨緊
page 8	春節假期後股票市況靜寂人心渙散成交數量寥寥無幾春季散馬期近轉移買家視線
page 8	外商採購踴躍油市暢旺成交頗有可觀
page 8	英金微跌英銀俱落
page 9	國民參政會大會紀通過擁護抗戰國策案
page 9	參政會第三次大會蔣議長開會詞原文
page 9	大會决議案
page 11	新運五週紀念蔣委員長演講詞發揚民族潛在力量奠定抗戰勝利基礎
page 12	一週間之國際大事
