page 2	社評英國的立場與我們的立場
page 3	晉東我軍克復長子湘北鄂中各路反攻潮安城郊Ｘ我仍在相持中
page 3	行政院會議嘉獎馬步青興學派定渝參會秘長
page 3	Ｘ機亂飛在贛閩豫投彈
page 3	羅文幹著文駁斥主和謬論汪逆曲解總理遺教甘心附Ｘ其心可誅
page 3	暴徒携槍欲刺姚惠泉中途被拘捕
page 3	外部發言人談話對英態度表示失望但深信英不變政策
page 3	太平洋的防禦問題
page 3	滬租界戒備仍嚴Ｘ報紙對暴動案件作揑造事實之宣傳
page 3	中國法幣市價在美轉趨上漲華北地名法幣在滬停兌
page 3	Ｘ機空襲渝市使館附近落彈
page 3	滬金價騰漲
page 3	粵境偽軍由德軍官訓練
page 3	英援華會仗義執言請政府重撥外匯基金勿削弱中國抗戰力量
page 3	大隊蘇蒙軍渡河偽邊戰況愈劇烈日方抗議被全部駁回
page 3	美海軍司令昨舉行交替典禮
page 3	汕外商倉庫被Ｘ掠運一空
page 3	桂慰勞團赴渝
page 4	郭大使訪英外相抗議英日協定認有違條約精神英美民意主強硬對日
page 4	英兩院辯論對日妥協問題張伯倫仍重申前言謂不改變對華政策
page 4	津租界問題意見未能一致小組委員會昨討論俟有結果再交大會
page 4	英報力促政府以援華釋羣疑
page 4	東京協定剖視從公布之內容看來不足引起極大驚異英文南華早報評論
page 4	美國觀察深刻法報意見分歧
page 4	英努力空防倫敦碼頭區燈火管制採最新設備成績甚佳
page 4	英國空軍三度飛法
page 4	莫斯科談判西慈報告抵英進行遲緩議員多不滿
page 4	西班牙內部發生不安現象蘭奧被免職後逃往外國又一弗朗哥心腹被開除
page 4	美日商約延長一年
page 4	對南泰羅爾事荷向義抗議瑞士荷僑被逐亦將要求賠償
page 4	英德談判之謎張伯倫否認對德貸款德則擬公布倫敦談話
page 4	如此苦肉計
page 4	東京談判之背面
page 4	荷新閣成立柯連仍任總理政策一仍舊貫
page 4	司徒雷登抵渝
page 5	中山四區昨又激戰橫門之Ｘ全被擊退江門Ｘ偽大增揚言將犯三埠
page 5	東江情勢吃緊Ｘ肆擾汕尾不逞一度登陸知我有備旋即退却澳頭發現Ｘ艦Ｘ機狂炸沿海
page 5	許崇清報告粵義教推行甚廣抗戰中仍有增無減省府新運會昨成立
page 5	瓊崖之Ｘ兩路被殲大肆燒殺以圖洩憤
page 5	中山稅警抵邑
page 6	封鎖珠江消息田尻稱并無根據以Ｘ輪航期證明非封鎖未知外輪能否同一待遇
page 6	華商總會新舊職員昨交代新舊主席相勉國努力籌賑會委員亦同時選出
page 6	果販義賣成績良好已收三千五百餘元
page 6	運蘇藝展物品時間短促不擬舉行預展五百餘點以圖畫最多
page 6	全港藝術界聯合義演籌賑宋慶齡等發起薛馬贊助伶星總動員空前大集會
page 6	重慶大轟炸中央戲院今日起映
page 6	惠僑救鄉會撥款救濟東江難民華僑回鄉團組織救護隊携帶大批藥品馳赴各地
page 6	海壇號輪誤撞水雷第一號艙入水昨晚電港求救
page 6	學生賑濟會設九龍城區識字班
page 6	大來罐頭號特備土產犧牲品添設電話購貨部
page 6	婦女慰勞會下月演劇籌款兩晚劇目均定
page 6	萬人緣大會徵求輓聯祭文
page 6	粵省銀行發表去年營業報告盈餘二百六十七萬
page 6	市民應嚴守燈火管制規則羅旭和爵士昨發表談話應與政府合作保衛地方
page 6	學生賑濟會暑期夏令營現已開始報名
page 6	威海衛英艦提前南返英運輸艦下月來港
page 6	立法局定明日召開例會
page 7	南華足球在怡保大破勁旅哥靈登德輝景祥紹榮淨勝三比零麥紹漢今日乘輪赴星歸隊
page 7	栗山網球賽奎斯脫獲雙料冠軍
page 7	夏令籃球戰雨中揭幕大觀勝正社
page 7	溫布爾頓劇鬥史女王座鏖戰記瑪博小姐拍掃四方功成譽滿凱絲湯瑪苦戰不支雖敗猶榮
page 7	今天公開水球鐘聲甲出兵下午六時半戰華人華東方上陣迎鬥南華華
page 7	白城田徑錦標賽伍特遜再稱雄荷勇將傷腿坐失兩冠軍羅拔遜逞能六奪馬拉松
page 7	獻劍排球義演節目增加有兩場女子賽
page 7	惠民杯女子網球賽英代表隊產生納特荷小姐領導羣雌八月在美國林山舉行
page 7	長途泳賽包爾希望濃
page 7	東南西北
page 7	外匯牌價無變動英美匯市況俱沉寂滬商向本港套取外匯漸減少申匯市況先穩後靜買賣不多
page 7	股票市稍穩定買戶較多尚無好轉徵兆全日成交總值八百餘萬
page 7	八九金市仍靜但穩買賣無多價少起落
page 7	英金微漲銀價趨跌
