page 2	社評抗戰建國與整軍建軍
page 3	整軍建軍具體進步管理組織訓練均統一化參政員每週舉行談話會
page 3	Ｘ機慘炸衡陽死傷平民二百餘人
page 3	一週戰況自一月二日至八日
page 3	周恩來講演抗戰必勝大戰以後絕無內爭由國民黨領導邁進
page 3	中國工業合作社西北區工作報告二十七年九十兩月份
page 3	Ｘ仍積極企圖誘吳佩孚人彀吳意志堅決不為所動
page 3	中大教職員電美總統致謝
page 3	Ｘ軍厭戰俘虜語語辛酸
page 3	通信鴿黔發現良種
page 3	日在華損失侵略所得的教訓嚴重
page 3	Ｘ窺鳥鎮遭我伏兵擊潰
page 3	李漢魂通電通緝汪兆銘高級將領亦均有表示
page 3	平津交通中斷路軌橋梁被毀
page 3	滬偽統稅局私造捲煙業經捕房查出
page 3	我駐波蘭公使王景岐遞國書莫錫基總統致答詞保證其對華之同情
page 3	顧大使夫人舉辦古玉展覽會
page 3	陳德功運動反正殉難
page 3	復興公債在滬抽籖還本
page 3	多此一舉日海軍向美抗議美方將置之不理
page 3	津Ｘ擾亂租界潘毓桂故意製造恐怖王竹林被刺內情漸明
page 3	中國農業壁壘堅強
page 4	義人熱烈歡聲中英義談話揭幕性質廣汎互在探索張甚誠墾墨較深沉
page 4	拒談法義問題
page 4	西班牙喪子之母抗議叛軍濫施轟炸致電張伯倫設法制止政府軍包圍大幫叛軍
page 4	抗戰的威海衛一個概括的報告
page 4	世界軍費三十四萬萬鎊多項尚未計入
page 4	許閣森任駐土英大使
page 4	澳允再考慮禁鐵運日須碼頭工人先復工
page 4	美海軍水手
page 4	德外部發表荷境德使舘被人槍擊不擬抗議
page 4	小麥會議起草國際小麥計劃多數國家必予贊同
page 4	美總統出巡赴大西洋檢閱海軍
page 4	瀕於財政破產日本得了教訓我長期抗戰獲得戰果德軍部經濟司長演詞
page 4	蘇波正式商約十九日在莫斯科簽字蘇每年購波貨七千萬
page 4	羅斯福預算案正在設法通過議會
page 4	謠傳法閣行將改組龐萊將辭外長
page 4	美下議院議員動議修改美憲徵集海外僑民須先複決美擬放棄現行中立法案
page 4	中菲協定我難民可避居菲島
page 4	Ｘ女自危逼少女嫁傷兵侵略者之結果
page 4	蘇聯政府擴充軍需工業設飛機造船四委員部俾滿足戰時軍器需要
page 4	中國的真力量
page 4	中菲協定
page 5	新四軍軍長葉挺過汕赴粵北到曲江或連縣與當局商洽熊略抵東江視察自衛團隊
page 5	潮梅數百集訓生長征一千五百里訓練行軍已達贛邊體重增加精神最樂
page 5	Ｘ機擾中山西江唐家小學慘遭轟炸
page 5	粵西區六邑災情報告
page 5	中國縣政府整軍經武提沙田餘款購械
page 5	閩南Ｘ艦砲擊晉惠各海岸企圖破壞我交通線英葡商輪貨運受阻
page 5	澳門小學生節食損棉衣百件托中大北上服務團代送前方
page 5	粵省黨部遷移韶關辦公余森暫代主委
page 5	楊庶堪在滬長歌題畫圖斯人浩然有歸志
page 5	揭陽緝獲私鎢
page 6	港開埠百年紀念港府公佈日期準備慶祝典禮節目包括競賽展覽
page 6	防空總監昨發表港空防計劃參考中國西班牙經驗設計今日舉行撲滅燒夷彈表演
page 6	港舉行人口調查日期定一九四一年春並調查華人教育概况
page 6	深圳難民收容所佈置日臻完備難民二千分四所收容水電醫藥糧食已解決
page 6	法港直航昨由馬賽抵港全程僅五日半
page 6	廠商聯會昨開例會決定派葉蘭泉出席港賬聯會
page 6	粵財政廳港驗契處已於去年底結束驗契二千四百餘
page 6	澳輪來港免除衛生檢查輔政司昨公佈
page 6	記者學會昨舉行聚餐會即席捐助債款
page 6	英賑華捐委會辦游藝會分游藝足球賽兩種
page 6	我四大銀行發行新鈔票不印發行地名便利國內同胞
page 7	麗華盃下旬開賽中華隊人選決定南華出征未歸實力影響匪淺中英國際盃複賽廿九日舉行
page 7	世界職業綱球賽梵恩斯三敗勃琪
page 7	上海甲組足球聯賽東華克聖芳濟最後一剎那六比五反敗為勝
page 7	海外珍聞錄
page 7	中距離名將羅夫洛克談運動員養生術否認冷水浴能輔助身體健康
page 7	外滙牌價無變更英匯美匯市况沉寂申匯市氣仍屬稍淡
page 7	中國存銀充實足可增加發行法幣二萬萬元繼續維持現行匯率兩年以上
page 7	政府竭力調整抗戰時期財政整頓各項稅收推行直接良稅法幣需要增加現金準備提高
page 7	股票市仍乏生氣全日成交僅四千零二十九股
page 7	八九金市殊屬沉寂買賣俱少微低五文
page 7	英金微跌英銀近漲遠平
