page 2	社評如何維持抗戰
page 3	參政會開幕一致主張貫澈國策奮鬭到底蔣委長電重申抗戰決心國府昨茶會招待參政員
page 3	蔣委員長電
page 3	林主席演詞
page 3	國民參政會電慰蔣委長及前方抗Ｘ將士
page 3	汪議長致詞
page 3	報到參政員昨已達百二十八人
page 3	張副議長詞
page 3	調解問題英國無進行意
page 3	如此迷夢
page 3	坂垣宣言謂將繼續侵略戰
page 3	Ｘ獻媚德義拉攏共竊中國資源
page 3	余漢謀致各地僑胞電整頓部曲策劃反攻
page 3	Ｘ機昨炸彬縣宜章投彈四五十枚
page 3	晉固陽西北Ｘ被包圍包西Ｘ兵一排反正
page 3	貴池城郊Ｘ軍受挫江防砲兵擊中Ｘ艦
page 3	中美談商進行順利陳光甫電中央報告美極關切我國政局
page 3	今後作戰將採用新計劃我撤軍步驟已完成
page 4	英義協定即將實施法德宣言下月發表羅馬討論英法擴張軍備
page 4	美日交涉倫敦密切注視
page 4	貝奈斯
page 4	法總理發表演說闡述法外交政策謂如不造成明興協定歐洲戰爭必早已爆發
page 4	德報讚揚達拉第主張對共黨之有力攻擊係對德之友好表示
page 4	國聯秘書主任何丹辭職因修改國聯盟約事與愛文諾意見不合
page 4	德日裂痕白鳥ＸＸ德深不滿德國對日甚懷疑懼
page 4	美明星報責美坐視日本侵華
page 4	日本對法ＸＸ強硬要求禁運入華軍火否則又稱將採自衛手段
page 4	英教育部長任海軍大臣掌璽大臣調充教長
page 4	匈政府答覆捷克希望爭端能整個解決對仲裁辦法提出修正
page 4	小俄羅斯總理被捕
page 4	羅斯福演說歐洲之反響德義表示不滿英法極為歡迎
page 4	捷克獨立紀念
page 4	Ｘ樞密院
page 4	立法院例會
page 4	江新抵宜
page 4	漢口Ｘ軍驅逐難民
page 4	我抗戰建國蘇聯密切關懷盛世才發表遊蘇觀感曾晤史丹林莫洛托夫
page 4	十萬同胞被逐出市
page 4	英日交涉
page 4	中國帆船模型陳列於倫敦科學館郭大使作親切演說
page 4	豫美教堂
page 4	清茶一杯
page 4	日本恫嚇法國
page 4	切勿上當
page 5	福建努力興辦民教全省先設民校七百六十九所大批高中集訓生已派充校長戰時民教所人員亦分發工作
page 5	戰時民眾學校
page 5	訓練民教人員
page 5	中山交通舟車往來如舊
page 5	風聲鶴淚中汕市長寬慰人心嚴禁造謠肅清奸宄鼓勵壯丁準備抗戰
page 5	中山縣境限制壯丁入口
page 5	澳門糧食委員會公布糧食公價
page 5	閩黨政當局返省陳儀陳肇英先後抵福州
page 5	澳門素描避難人口突增數萬房東乘機擡高租金
page 5	中山概述
page 5	汕頭銀行遷港
page 5	新會關員捐衣
page 5	廣州灣賣花賑災
page 5	樂昌再遭轟炸
page 5	新會民眾動員
page 5	新會編抗Ｘ隊
page 5	澳門免費接生
page 5	泉州匯寒衣款
page 5	澳門組服務團
page 6	廣州各行存款在渝筑滇桂支付便利存戶港各行可代收
page 6	抗戰日益艱苦僑胞應加倍努力周啟剛將電勗海外僑胞
page 6	港督將赴澳拜會澳督
page 6	聖約翰救傷隊
page 6	國內郵件照舊收寄但不保證安全
page 6	半島難民新村巡禮被遺忘者的安樂窩本港當局着手調查
page 6	英人聯合年會
page 6	錦田難民昨餘五百四十人廣州來者有百餘
page 6	秋季大馬彩傭婦團所得彩銀馬會已交持票人
page 6	中華救護隊由廣州移駐西江張天爵來港報告退出經過越南南圻僑團紛組隊回國
page 6	移駐西江
page 6	來港報告
page 6	十四吋徑巨繩
page 6	長沙設校
page 6	參加前線救護中國紅會向僑港青年呼籲
page 6	美冒險家將駕帆船
page 6	惠陽青年會回鄉工作團第四批加緊訓練
page 6	武漢合唱團公開演唱定本星期日擧行
page 6	學賑會組歌詠班現已開始報名
page 6	港星兩地觀感
page 6	荷印政府十四日起限制華僑新客入境
page 6	深水埔昨晚發生刺殺案
page 6	英文教員聯合年會報告週年工作
page 6	南華學院遷新址開課
page 6	嶺東中學生演劇募棉衣廿九日在九龍舉行
page 7	今日甲組足球賽南華南逢戰海軍下午四時半起在嘉露連山舉行南華雛鳳同時亦出擊九龍會
page 7	今天足球共十五場
page 7	旭和杯初賽明日舉行
page 7	昨晚籃球義賽星隊力克美兵比賽緊張熱烈結果相差六分觀眾半千有餘收入超過百元
page 7	籃球的理論與方式
page 7	外匯牌價美菲荷縮英匯美匯均顯沉寂申匯趨緊市況尚強
page 7	英金回漲英銀仍平
page 7	本週股票市況大體尚稱活躍因停戰謠言曾一度沉寂統計成交量較前週為多
page 7	為適應非常時期需要實施農礦工商管理規定企業及物品之種類得收歸國營或投資合辦
page 7	規定企業物品種類
page 7	收歸政府投資合辦
page 7	不准停歇令飭遷移
page 7	必要時得限制出入
page 7	八九金市略形好轉投機頗進價稍回堅較前漲二毫五仙半
page 7	黔省派員考查畜牧
page 7	桐油市淡
page 7	上海外匯尚稱穩定
page 7	金條略成交
page 7	麵粉呆滯價尚穩定來源擁擠
