page 2	社評英國巴特勒氏的預言
page 3	晉陝邊境激戰甚烈粵桂佈置已臻周密張發奎到粵視察各前線
page 3	蔣委員長紀念週訓話原文詳細駁斥近衛之聲明
page 3	井陘鐵道破壞
page 3	渝各界昨追悼蔣百里先生最高當局親臨主祭
page 3	贛北Ｘ技窮大量施放毒氣彈
page 3	皖南沉寂
page 3	我軍進襲揚州
page 3	梁逆無恥公然響應近衛說要收回租界
page 3	津浦我軍破壞工作積極
page 3	瀘定氣象蓬勃兩公路趕築中
page 3	珠江沿岸我遊擊隊活躍
page 3	日軍出關開赴蘇俄邊境
page 3	滬外僑注視華北增加關稅英大使與總稅務司密切連絡調查材料
page 3	內部派員視察三省警政
page 3	漢Ｘ侵佔學校美領提出抗議
page 3	日對外貿易入超
page 4	倫敦泰晤士報論日本危機四伏係黷武主義者造成英美合作積極援華
page 4	英記者之預言希望來自東方
page 4	羅斯福宣佈空軍新計劃將訓練駕駛員二萬人航空學生三百人畢業
page 4	姑妄聽之一九三九年日報之預測
page 4	冀省佔領區Ｘ人行徑三代骸骨被掘重見天日鄉人三畝地換一名譽狀
page 4	緬政府發表聲明軍火運華不受干涉願與中國作商業談判並聲明保護緬人利益
page 4	美大選問題將由國會討論
page 4	漁約談判日向蘇聯求續談
page 4	張伯倫等擬謁教皇英義談判之後
page 4	智利政府人民陣線上台後舉行大肅清運動
page 4	近衛內閣又傳將改組
page 4	英德在東南歐商業衝突的尖銳化
page 4	西叛軍飛機濫施轟炸死傷多人
page 4	義在東北非集中軍隊法政府尚未接得報告達拉第接見突柯當軸
page 4	捷匈邊境斯拉伐克人示威與匈國憲兵衝突
page 4	汛美大會昨閉幕赫爾演說表示滿意基本工作已經完成
page 4	華北Ｘ人加入口稅
page 4	緬政府的聲明
page 4	日本山崩水力電廠遭劫
page 4	美對日不滿催日本答覆美政府將召格魯返國英使克萊琪訪晤有田
page 5	兩廣大軍拱衛西江防務堅實隨時可戰Ｘ軍主力未必沿江躍進上游各縣政治動員不夠
page 5	惠陽重光記
page 5	一元還債運動澳門僑胞組織十人團集欵上海各界定元旦日起響應
page 5	Ｘ機艇騷擾中山澳門連日隱聞砲聲
page 5	破爛鈔票由各地四行收回中央設廠製造銅鎳幣
page 5	新盈港Ｘ登陸未逞各處竄擾形同流寇
page 5	桂省府令飭各區檢擧貪污鄉村長縮短民訓利用游民
page 5	桂管理戶口異動梧警局擬發身份證
page 5	澳門停發車牌
page 5	曲江加撥賬款
page 5	深圳設立醫院
page 5	汕頭商庫待復
page 6	港惠行車交通即可正式恢復九廣路公佈元旦開深圳龍崗深圳昨已開始通車
page 6	中華書局糾紛經勞工司主持解决雙方同意訂五條件
page 6	柴價趨跌柴荒問題可望解决操縱柴價當予制裁
page 6	帝航公司擬闢建高妙森島機場中航機昨晨由港飛渝
page 6	港碼頭業因華南戰事受打擊惟上半年營業尚好
page 6	港僑風起雲湧響應一元還債運動各界擬元旦大舉徵募
page 6	研究新稅專門委員會
page 6	賬聯會救濟組通告各站遷深圳並述明該處收容之優點
page 6	港巴士明年更改路線一及二號改動
page 6	港義勇軍全體大操
page 6	港強力無線電台地點擇定批准後即興工省港電話短期內難恢復
page 6	華南戰事之影響赴南洋人數增加南渡船票最近突漲一倍星政府擬徵入口驗身費
page 6	天寒影響帝航機阻延星期六始能來港
page 7	南華會足球元旦日出征西貢一行十九人張榮才出任門守預定行期半月比賽至多五場
page 7	昨日排球義賽綠白力克紅灰結果三比一戰情尚稱緊湊
page 7	英國足球甲組賽結果
page 7	培道勝港大
page 7	我國摔角名手黃伯長榮獲遠東錦標
page 7	昨晚女子籃球比賽培道華僑均獲大勝
page 7	菲網球名將加維亞今日在港表演下午二時半在九龍木球會林珍及徐氏兄弟出場應戰
page 7	廣大籃球隊
page 7	滑雪比賽劍橋勝牛津
page 7	外滙市况殊乏生氣德瑞匯價略縮餘無變動申匯市况穩定銷有成交
page 7	滬海關發表戰後金銀進出口統計
page 7	桐油繼續上漲外商採購踴躍
page 7	英金回落英銀均跌
page 7	八九金市頗欠活躍較前微漲八仙五厘
page 7	股票市昨頗穩定聖誕假期後人心尚看好因賣家堅持成交仍寥寥
page 7	金條昨多成交
