page 2	社評從隧道慘案論到政治改革
page 3	湘北敵有蠢動模樣綏西我軍出擊獲勝十八集團軍活躍陪都表示欣慰
page 3	中緬劃界告一段落中英政府換文指定在緬境某區域內我得與英方合資採礦
page 3	美油仍運日遠東一般政策未孌莫菲奉派東來考察
page 3	滬市場公債漲價外匯續鬆米價復升
page 3	日本空軍力量脆弱
page 3	羅斯福上尉抵葡談遊華印象至深
page 3	重光抵里斯本邀集西歐日使會議
page 3	滬虹口公園手榴彈爆炸距敵司令部甚近
page 3	巴格達鐵路上為希特勒東進最後目標其重要性等於滇緬公路
page 3	中央撥巨款向國外購米調貨車一百輛裝米內運
page 3	胡大使接受名譽學位
page 3	荷印始終不屈芳澤定期返國
page 3	荷印情報局長播講說明焦土抗戰決心
page 3	熊斌任陝主席蔣鼎文專任軍職
page 3	全國財政會議林主席致訓詞財政統一方能發揮整理功用分配合理稅則可以躋於公平
page 3	馬來亞僑胞發起向蔣委長致敬預定簽名者十萬
page 3	英船華籍海員薪給待遇改善
page 3	我駐墨公使呈遞國書儀式頗簡略
page 3	中大研究院碩士考試聘許崇清等為試委
page 4	德國對美報復處置美僑在德財產
page 4	羅斯福總統談封閉德領館原由德領事活動危害美國安全危害二字包括極多罪惡總統暗示將武裝商輪
page 4	羅馬美訪員預測美義關係多信七月中將絕交
page 4	莫斯科外貌仍平靜如恒但仍不斷準備應變卡利里亞紅軍舉行演習
page 4	蘇德關係又一觀察
page 4	敘利亞戰局陷入膠著狀態英軍攻勢已告緩和離大馬色尚有六哩
page 4	論戰時財政一
page 4	英德駐土大使分訪沙拉育魯
page 4	美隨軍記者述激烈戰情
page 4	里比亞邊境英德坦克大戰與法蘭西大戰同一壯觀
page 4	加總理演說加為英國及北美文化而參戰美加今後將携手同行
page 4	英空軍缺乏無線電人員約伯特向美要求援助
page 4	美國限制樹膠消費
page 4	荷軍增防亞瑣爾斯群島海軍一隊已離里斯本
page 4	澳洲加強戰時機構籌劃戰進供應擴大內閣人員
page 4	美議員投軍瑪斯將赴珠港報到
page 4	史汀生贊成改進聖勞倫斯河道以支援長期戰爭
page 4	英倫海峽上空英德空戰激烈
page 4	南愛食糧奇缺
page 4	英工程師聯會贊成停息黨爭並表示擁護邱吉爾
page 4	希艦十五艘加入英海軍已駛抵亞力山大港
page 4	貝當執政週年對法人廣播演說
page 4	日荷談判決裂後
page 5	溫哥華僑商組織戰時防空保安隊業經加政府國防部批准成立在同一陣線上共同協力合作
page 5	所謂高度國防下的日本經濟三
page 5	荷印不需要奴隸的秩序總參謀長波登廣播演說沉痛表示復國決心
page 5	旅外粵僑關懷桑梓紛匯巨款振卹災難截至五月底止已達數百萬元
page 5	敵艦砲轟厓西石岐情況混亂
page 5	中振會補助難民生產事業粵辦事處着手調查進行
page 5	李漢魂談粵役政近況改善新兵待遇優待征人家屬加緊募集戰區壯丁
page 6	港府發展新界農業增加港糧食生產現將新界劃為十一農區大埔理民府官任總顧問
page 6	幹德道三巨石滾下厭毀日領住宅只擊毀閣樓但未傷人筲箕灣山石厭斃途人
page 6	青年瘋子闖入督轅要食西餐始去被送入癲人院
page 6	司徒永覺極力提倡居民採食糙米其他魚肉菜蔬日來價漲改行食用糙米更屬必要
page 6	教會學校設聯合中學現積極籌備中
page 6	公平糶米委會決意平抑菜價擬在旺角街市發售菜蔬新界菜產情形調查清楚
page 6	政府處置非緊急事件不應採用緊急法羅文錦提請立法局通過立法局今午二時半開會
page 6	聖約翰同學會週年大會定於明日舉行
page 6	港九巴士不敷應用
page 6	新港督楊格爵士來港日期未定羅督俟新督到後始離港各紳商準備舉行歡送會
page 6	昨晨滂沱大雨得雨達六時半九龍山水橫流黃泥沖此種現象十年來所罕見積
page 6	生活程度確日加困難僱主應增發生活費須以寬宏態度考慮採行醫務總監認為民不聊生
page 6	公共及交通事業機工提出加薪要求勞工司已代通知各公司船廠機工加薪要求尚未解決
page 7	體協會暨六社團舉行聯席會議討論修章事宜希望重復合作莫慶發表書面談話陳述感想
page 7	星東征澳記
page 7	棒球大戰因雨改期
page 7	港中暈籃球賽思思南中奏捷今天兩場英華嶺東好看
page 7	南華會游藝部中樂研究班歡迎會員參加
page 7	星華人再戰曼隊一比一簽和約曼隊橫衛直撞動作粗暴無匹先輸後贏來泉一腳平反敗局
page 7	東方中級游泳開班訓練郭振恒任教授
page 7	國幣市況依然呆滯
page 7	美德關係惡化影響美匯市況昨略放長英匯仍靜申匯續見好轉
page 7	股票市況仍欠靈活買胃呆滯成交不多
