page 2	社評英國如何維持威望
page 3	粵北我軍進展神速廣州外圍在控制中空軍結隊飛到協助大舉反攻
page 3	浙省我軍砲擊富陽長興附近Ｘ中伏
page 3	太行山劇戰展開晉豫冀Ｘ五路進犯經我堵擊已趨疲鈍
page 3	邊境衝突聲中蘇日戰鬥力的檢討
page 3	英輪擱淺
page 3	滬郊偽警紛紛反正
page 3	青島傀儡會排斥汪逆對偽中央組織無決議
page 3	以上接第二版社評
page 3	抗戰二週紀念僑胞踴躍獻金英屬新嘉坡一帶僑胞四月份捐款四百餘萬
page 3	颶風昨襲滬全日牆屋塌倒極多浦江航行幾全停頓
page 3	滬法租界搜查民居男女十餘人被搜Ｘ方竟要求引渡
page 3	蘇日衝突愈擴大戰線展長至三十公里庫頁島日煤礦壓迫工人
page 3	中蘇文協電唁盧幹滋
page 3	唐繼虞前日在韶病逝
page 3	英政府努力鞏固我國法幣西門答覆工黨議員
page 4	日閣議正式通過對英談判大綱傳後日可開始折衝英報警告勿擴大範圍
page 4	孔院長表示對英日談判態度討論範圍不能擴大英對日亦不可讓步
page 4	英空軍飛法法機亦將作交換飛行德國輿論起強烈反應
page 4	美參院外委會竟將中立法擱置羅斯福總統表示不滿該會將討論經濟制日
page 4	英參謀總長訪問巴黎檢閱法國陸軍
page 4	英法在遠東將一致行動兩國眾議員談話已竣事
page 4	義驅逐外僑事英正查詢原因瑞士已決定提出抗議
page 4	尼赫魯即將由印來華重慶籌備歡迎
page 4	保總理返國德南之行告終
page 4	美國民意的轉變一
page 4	法參謀人員將赴蘇會商傳羅馬尼亞向英表示亦不願他國干預內政
page 4	美中立法起草人麥克萊諾逝世
page 4	英　商約簽字
page 4	對張伯倫演詞德報借題發揮但澤形勢稍現和緩
page 4	英造艦程序規模極偉大新軍艦四十餘艘將於年底前下水
page 4	軸心國的勾結日本將派遣軍代團赴德參加國社黨大會後訪義
page 4	小心上當
page 4	蘇日衝突擴大
page 4	發動反侵略
page 5	Ｘ軍屢犯中山金鐘殲Ｘ石岐被炸神灣東北昨午砲戰甚烈岐澳三埠交通昨仍未斷
page 5	粵公務員公役朝會辦法已由省府公佈
page 5	西江下游Ｘ偽換來換去女探四出偵察
page 5	我保安團夜襲東莞完成突擊斃Ｘ百餘
page 5	參政會川康組考察已完畢李璜談寧屬富礦藏
page 5	韶關節約儲金
page 6	中山形勢緊張本港魚蔬又漲價岐澳水道不通鮮魚斷運菜蔬市價增百份之五十
page 6	七七售花款已達八千餘元賑聯會下午四時前收款未繳款者有八十三團體
page 6	北海街血案捕獲嫌疑男子一人
page 6	張谷雛展畫籌賑
page 6	港府接暹通告入口檢查辦法無線電器煉乳均受限制携物如不報明可受重罰
page 6	結志街飛鏢場包租人等均被罰款
page 6	美術雜誌塞尚生百年特輯現已運港每冊一角
page 6	文藝界盛會
page 6	擺花街賭館案中央巡理府義司堂提訊將案押候下星期三再審
page 6	本月份刑名案目義華士勒索案利源街劫案等
page 6	史諾將赴渝並視察西南各地
page 7	南華遠征足球隊下月八日征爪哇在泗水八打威萬隆等埠有十場戰事大軍十九離棉蘭回師檳城
page 7	明年冬運會加緊進行另有滑雪表演
page 7	公開男女籃球十五頒發獎品並定是夜表演賽三場
page 7	游泳之意外及救生
page 7	公開水球華人人敗陣
page 7	去週棒球事件聯會判南華得勝
page 7	澳培正乒乓隊十四征港一行共十人
page 7	德英運動對抗波希提出取銷
page 7	外滙牌價仍不動申滙穩定買賣亦多匯豐吸進上海紙四十萬華商銀行仍多拋出申電
page 7	港股票市況昨日續有進展匯豐下月派息股價上漲其他各股票昨成交尚多
page 7	八九金市穩而沉寂買賣較少價格微降
page 7	英金不動銀價續漲
