page 2	社評羅斯福劃期的演詞
page 3	羅斯福總統演說發表宣布緊急狀態存在重申海洋自由政策全力援助中英迎頭抵抗侵略
page 3	納粹一旦得逞文明將盡掃地
page 3	倘無中英勇戰舉世已受威脅
page 3	決採必需步驟護送物資援英
page 3	對於納粹侵略到處應予抵抗
page 3	國防生產工作不容任何破壞
page 3	通告全國軍民準備打擊敵人美總統緊急令內容
page 3	羅斯福廣播前曾邀政府要員談話
page 3	美擴充空軍卅三萬萬撥款案已正式提出國會
page 3	華盛頓嚴斥日方之恫嚇
page 3	未用護航名詞美方權威解釋
page 3	我王外長發表談話贊揚美總統演詞堪稱歷史上重要文件之一相信中美共同目的必達成
page 3	倫敦極興奮都拂曉起牀傾聽
page 3	美孤立派領袖費煦參加兵役
page 3	柏林尚無具體反響
page 3	東京一般印象認美仍欲避免參戰松岡又強調對軸心之忠誠
page 3	菲重要會議奎松賽雅均參加討論國防等問題
page 3	日方劫奪越南美貸案赫爾促日解釋
page 3	美援華飛機啟運志願兵有已來華說華盛頓重視高斯大使頌詞
page 3	美駐英大使魏南返國陳述國所需援助
page 4	晉南展開全面激戰我軍各線出動截擊日軍首尾衛立煌長官對本報記者縱談戰局
page 4	我軍進迫淡水
page 4	英艦布下天羅地網俾斯麥號卒沉海底英海部發表追擊經過
page 4	英德海戰公報英使館特為本報發表
page 4	美國全國轟動德主力艦迅速被沉不啻對日當頭一棒
page 4	昆明喜雨
page 4	德人大受打擊主力艦隊損失半數上將魯殷斯亦戰死
page 4	克裏特島局勢轉趨嚴重英軍防線已被突破德方援兵繼續著陸
page 4	荷印徵用民間槍械
page 4	申報一編輯被架往滬西
page 4	滬游資充斥公共租界昨公開募債半小時內得千六百萬
page 4	七大幹線驛運量激增五月份突破預期
page 4	英相表示不在北愛徵兵因目前礙難實現
page 4	美轟炸機陸續運星
page 4	德軍佔領蘇倫
page 4	達蘭赴巴黎
page 4	澳工黨拒絕合作
page 4	全國財政會議提前下月舉行
page 4	衛長官寄語
page 4	滬米業工人因要求加薪罷工
page 4	黨政考核委會組兩考核團促進中央地方黨政
page 5	粵省民食趨穩各地米價已回跌今後軍民糧食施行合一辦理派員調查農戶早造收割情形
page 5	二批湘穀分配發放
page 5	澳門郵局增收郵資
page 5	後方糧食充分準備
page 5	胡庶華談湖南大學概況下半年起增加經費添收學生目前校舍尚無遷回長沙必要
page 5	桂林大雷雨灕江漲水七尺民房被淹甚慘
page 5	高考財政金融人員再試發榜共取錄一百二千五名
page 5	湘省建廳籌辦物產巡迴展覽提高民眾對優良土產之認識
page 5	泰內務部禁止華文書籍入境
page 5	粵積整團省極訓隊
page 5	陳教長等將南來視察西南教育粵教廳普遍推行平民補習教育決定補助辦理民校班額
page 5	提高素質分配駐防
page 5	韶關近郊兩度火災東河壩災區遠闊上損失亦不鮮
page 6	港督僑團領袖籌備盛大歡迎郭外長下月四日在大酒店設宴洗塵郭氏來電報告三日抵港
page 6	英援華會秘書報告援華工作概況英在轟炸中援華無間斷繼續工作直至中國勝利
page 6	文藝貸金港祗有一人合格
page 6	米店概須登記穀米統制專員昨日通告轉換購米證繳驗銷貨簿
page 6	二屆學業競試覆試科目日期公布發表學科計分甲乙丙三類畢業生由論文競選之
page 6	女青年會昨開年會選出新董事八名
page 6	醫務總處秘書表示大嶼山開發須延緩恐怕須待明年始可開始戰事工程完畢後再動手
page 6	立法局今日會議議員彼得遜氏投問疏散問題防止迫遷例將三讀通過
page 6	罐頭食品當局定期宣布統制貯存辦法
page 6	財次俞鴻鈞氏昨晚飛渝履新昨晨俞氏親友紛往道賀
page 6	琴齊書舍特設書法綱要講座銅鑼灣畔灣景樓琴齊書
page 7	星島女子籃球隊征菲人選內定因辦護照手續繁忙行期尚有待男子籃球隊加緊籌備出征南洋
page 7	桂林體育熱青運女籃球樂群獲冠軍旭初杯軍校輸樂群三分
page 7	週末中西游泳對抗西青會迎門勵進團
page 7	五校球賽仿林依然無敵
page 7	馬會華會員要求設立華董今日提出討論
page 7	陳洪光劉守光任南中指導
page 7	鍾聲社風箏比賽下月廿二開始比賽章程及規則昨公布下月一日報名十四截止
page 7	學排英皇勝仿林成績三比零
page 7	南華在星第三戰不敵軍聯隊二比四初遭挫折昨日離星洲移師轉戰吉隆坡
page 7	居聯會水藝節目精采泳場歌樂演奏
page 7	鍾聲會端午扒龍船督憲往參加
page 7	褐色轟炸機喬路易王位尚未穩定
