page 2	論戰時國營工廠的工人福利
page 3	日本又圖對美恫嚇重光葵忽奉命返國巴達維亞談判荷態度極堅決
page 3	一個基本認識為晉南戰局及抗建前途本報再向中共當局呼籲
page 3	歐亞公司添購新機將增闢渝緬線
page 3	參政員張一麐等電朱毛兩氏盼十八集團軍加緊抗戰
page 3	王外長宴項大使
page 3	資源委員會追悼蕭之謙
page 3	中蘇易貨協定進行細則商洽孔財長接見蘇聯大使
page 3	海南島日大量移民
page 3	糧食部定期成立蔣委長對糧政極注意日內將發表基本指示
page 3	被轟炸及蹂躪各地政府撥款辦理急振
page 3	滬商務書館工潮未已職工五百餘人絕食
page 3	滬南市大騷動日憲兵一名被擊斃交通斷絕挨戶搜查竟出動大批裝甲車
page 3	後方各省風調雨順本年豐收可預卜
page 3	汪機關報自陳窘態由待幣到待斃
page 3	訓練女壯丁先在陪都試辦
page 3	豫北擊落日機兩架
page 3	高斯大使明日呈遞國書
page 3	內次雷殷將赴韶關粵注意營養改進問題
page 3	中條山順利反攻坦曲以東日軍北潰
page 3	東江我軍圍攻博羅便衣隊又向廣州突襲
page 3	端節勞軍慰勞總會發起通電各省市動員委會盼海內外同胞均參加
page 3	福州日軍被我堵剿
page 4	克里特島繼續鏖戰德國傘兵增至兩萬英海軍發揮無敵威力掃蕩德方之登陸部隊
page 4	海上展開激戰德軍漲斃數千
page 4	美租借法案實施情形羅斯福總統將提出報告美兩院聯會贊成徵用外輪案
page 4	希臘熱血青年槍擊義王不中
page 4	東非英軍加緊追擊進迫義軍最後陣地
page 4	前伊攝政擬另組政府現已回國靜侯局勢澄清伊軍抵抗已成弩末
page 4	北愛總理飛赴倫敦將謁見英首相
page 4	西班牙法西斯黨腐化義報述此次改組原因
page 4	巴本訪土外部討論商約問題
page 4	美總統定期廣播發表重要宣言料將宣布擴大門羅主義大西洋全面亦劃入範圍
page 4	美國陸軍將舉行演習動員軍隊五百五十萬人使熟習任何地形與氣候
page 4	美海長呼籲為自由而戰美國必須準備犧牲以擊敗外國之侵略
page 4	拉丁美洲南僑成立國防會對南王表示效忠
page 4	斯末資陞陸軍大元帥英王並致函祝壽
page 4	墨石油輸出港發現德國炸藥目的似在炸毀該港口
page 4	重光將返國
page 4	孟席斯抵澳在紐會商討合作方針
page 4	林白演講抨擊政府
page 5	粵省調節糧食情形已日見好轉西江各縣可安度難關韶關市面米價已略跌
page 5	新加坡熱烈歡迎中國軍事考察團
page 5	清遠縣長謝靜生談出巡各區經過各地辦學風氣盛極一時煙賭完全歛跡治安良好
page 5	韶關整頓市容修理道路清除垃圾
page 5	粵省各縣遴選勞資仲裁委員專事負責處理勞資糾紛
page 5	中山日軍大部他調石岐防務極空虛
page 5	西江改善新兵招待黃世途視察役政
page 5	粵空防業務各地工作鬆弛亟待改進張維亞談出巡觀感
page 5	商店司理納金緩役粵軍區解釋辦法
page 6	港府定六月一日發行一仙輔幣券一仙輔幣法案昨發表交立法局通過後實施
page 6	婦女界募債委會擬定募債辦法草案後日交婦女代表會通過定下月十五日開始勸募
page 6	美星機關報航空線全程一千四百八二四哩票價美金八百二十五元
page 6	上書美總統簽名逾十萬昨晚圓滿結束
page 6	英帝國日昨日舉行紀念英政府賀港督
page 6	蘇聯派輪十二艘已民用工業三輪來港入塢修理商人預定艙位者頗踴躍
page 6	當局擬設立化糞池嘉利公開答覆官營清糞問題
page 6	華南管絃樂隊今晨舉行音樂會九時在中央戲院舉行婦女慰勞會下月開音樂會
page 6	港府定期收買鮮魚廿七日起實行
page 6	港大醫學院畢業考試揭曉及格者十五人
page 6	港府二月份財政概況各項稅收均有增加增加最鉅者為煙酒稅支銷則以戰費為最大
page 6	穀米官營計劃一切進行順利港督在憲報正式發表穀米官營局全體名單
page 6	在沙田建築大娛樂場開規模極宏大兩月後可落成
page 7	加山一幕棒球賽中華不敵港啤十三比九中華輸在經驗太差今日一場南華對抗工程
page 7	華仁四屆陸運會今日在加山舉行
page 7	戴麟經組足球訓練班
page 7	華人游泳會水藝會改期
page 7	學界排球賽明日一戰仿林對抗漢文
page 7	吹毛求疵集六會退出事又有新花樣南華兄弟不忍同室操戈
page 7	世界重量級拳賽喬路易稱雄拜爾氏被取消比賽資格第一回合中路易受威脅
page 7	滬西青排球賽西青冠軍三比二勝俄僑
page 7	華僑校運會競賽成績美滿
