page 2	法幣之季節波動
page 3	鄂北襄花路激戰中鍾祥日軍陷入重圍鄂南我軍衝入羊樓司趙李橋
page 3	我當局對國幣有維持信心外匯基金已大告增加市場波動係暫時性質
page 3	甘介侯來港
page 3	白主任報告戰局之近勢日軍變更策略亦難得逞我軍穩紮穩打實力日強 
page 3	華北偽當局統製輸出
page 3	三年建設計劃首重工礦次及貿易四行總處決予投資
page 3	南僑慰勞團一三兩隊後日離蓉
page 3	如何救濟上海金融
page 3	東四省主席將在渝就職鄒作華談中央改組明令不啻予日偽以嚴重警告
page 3	汪派捉襟見肘主子貪利吝惜關餘收入銳減幾難以為繼
page 3	日本輪船公司獨佔廣州航運省港交通亦被壟斷
page 3	中山偽官日軍委任一批
page 3	滬戈登路舞廳前發生槍殺血案甬商人夏銘章在滬被捕響導社女東家亦被綁架
page 3	湘行政督察區當局重行予以調整中央撥款輔助衛生事業
page 3	桂南日兵士氣頹喪反戰情緒日高
page 3	白銀問題日報所傳各節倫敦未予證實
page 3	戰區經理會議近在桂林舉行業已閉幕議決實施軍需獨立等案
page 3	汪派陰謀傳有華僑三百人負偽命赴海外活動
page 3	越南僑運與汪派活動
page 3	我軍攻入稷山汾城同蒲鐵路交通中斷 
page 4	羅馬尼亞戒備非常禁多瑙河夜航教皇與義王儲晤談
page 4	挪威德軍向那維克推進德機大批繼續北飛竭力謀取制空優勢
page 4	英法勞工會議商討兩國合作問題英工黨領袖皆出席
page 4	德軍再度攻陷羅洛
page 4	英閣是否改組日內即將決定眾院今日將發生激辯華府注視英政局形勢
page 4	谷德抵倫敦赴巴黎後再返挪威希望英法履行諾言
page 4	德突擊部隊猛擊西線法軍突擊不逞卒被擊退
page 4	波蘭國慶美總統致祝辭
page 4	比總理廣播決維持中立
page 4	豫鄂戰事
page 4	西班牙之態度
page 4	日物資缺乏用限制購買法以防物價飛漲
page 4	挪威人民抵抗德軍
page 4	英艦一艘被炸沉沒
page 4	荷印現況一瞥二五月一日新加坡航訊
page 4	義報紙無線電續作反英運動 
page 5	日軍增兵新開路汾水江一度激戰
page 5	粵省米荒積極救濟中增派車輛加緊運輸嚴禁存糧儘量收買
page 5	東行車輛運米辦法
page 5	體念時艱共渡難關
page 5	各方響應實行節食
page 5	何彤報告調節經過
page 5	登記收買民間存糧
page 5	各地無線電團體舉行第一屆年會在無極空間作萬里交談並一致通電聲討汪兆銘
page 5	愛國的海員拒絕載運軍火赴日全體葉職離墨返國
page 5	米糧商店沽買辦法
page 5	米商操縱拘留示儆
page 5	納粹陰謀無孔不入荷印破獲德間諜機關
page 5	閩省大學獎學金第八屆考選名額共十人年給三百元定七月初開始初試
page 6	婦女競選港分會昨舉行理事會議決定候選人共二十五名電請中央指定婦女代表占半數
page 6	二次會議選出理事
page 6	候選人中公推三名 
page 6	請各婦女自我介紹
page 6	大會宣言修正通過
page 6	可柴夫斯基誕生百年祭今晚半島酒店有盛大音樂會播音台編排特別節目
page 6	學賑會節約徵文昨日評定提曉
page 6	徵求傷友運動文員協會分隊成績優異廣州大學已得五千餘元
page 6	英大學生六人來華服務抵港犧牲職業應賑華會之徵定兩星期後離港赴貴陽
page 6	羅明佑返港國營電影機關聯合設立影業聯營公司 
page 6	順德邑僑舉行救鄉會議
page 6	婦慰會籌辦歌姬歌伶義演各歌姬均爭先報名參加聘請教師日間開始練習
page 6	當選婦女不及十人
page 6	捷和鋼鐵廠第一廠被火後無礙生產二廠設備完善出品良好
page 7	香港埠際足球隊在貢初傳捷報五比四勝金布地亞隊戰情異常激烈九日舉行港越埠際賽
page 7	昨午學界排球賽保羅輕取皇仁小童組華仁氣走育才今日有三場戰事
page 7	公開籃球賽明晚開始角逐 
page 7	名將劉潤田殉職真相空軍來書證明
page 7	海外球壇
page 7	總會昨開月會商討舉辦義賽交由小組會及協會辦理通過星島體育會為會員
page 7	申匯市況略見好轉英匯美匯市況沉寂
page 7	股票市況略穩昨日成交八萬九千餘元
page 7	人心好轉國幣回漲最高達二二五
page 7	八九金市先穩後堅人心趨好價格上漲
page 7	滬青雲乒乓隊來港比賽 
page 7	九龍學籃賽思思戰培道
page 7	培正香港分校體育概況
