page 1	縱論國民大會
page 2	國大今日開正式大會主席團昨已全部選出
page 2	主席團名單
page 2	修改憲法民社黨不主張
page 2	一位母親的控訴不知道怎樣答覆兒子的信
page 2	國民黨中常會昨決議仍推蔣總裁競選總統臨全會今日即可作最後決定
page 2	國大花絮
page 2	絕食代表健康更壞李化成劉彬張敷三人已四肢冷却不能起立
page 2	鐵路屢次增加運價監院要查收支實況對豫省局勢將有所建議
page 2	曼谷通信舊戲重演
page 2	航機加價今天實行
page 2	我機被擊事件蘇竟再拒絕我抗議
page 2	我民航局去電東京要雷諾飛機回上海上海龍華站已準備一切等探險機一到就予扣留
page 2	職工教育調查經部組織委會進行
page 2	穗市郊外清明景色車商花販做了一筆生意軍警巡邏保護孝子賢孫
page 2	航空模型競賽昨日在京閉幕
page 2	宋子文昨返穗胡世澤同行
page 2	綏東國軍撤出涼城魯中戰事趨白熱化中央會商調整西北軍事部署
page 2	為了活不下去平三院校助教工警決定罷教罷工三天
page 3	美國有意軍事援助西歐希望各國締結聯防條約國務院即開始訂購援外物資
page 3	德萊柏使團昨天飛華府向杜魯門呈交日韓經濟報告傳美對日佔領政策將有改變
page 3	倫敦寄簡
page 3	華萊士演講主張美蘇和平相處
page 3	希土氣味相投兩國外長會談
page 3	用武力防止工潮法政府將設保安隊分駐全國保衛機場海港鐵路
page 3	美國海軍戰術演習在地中海上舉行
page 3	緬甸華僑的問題
page 3	道是無晴卻有晴柏林局勢不緊張了四國首長今天赴羅勃林之宴美蘇佔領當局日內舉行會商
page 3	英地方選舉保守黨佔上風
page 3	德境上空慘劇英機蘇機互撞英機乘客飛行員均喪命
page 3	蘇一軍官被殺地點在德境英佔領區
page 3	愛因斯坦著文討論地心吸力
page 3	美國建議聯大開會商討巴勒斯坦問題猶太團體表示拒絕折衷建議
page 3	老大學舉行校慶禮舉重家創造新紀錄
page 3	阿根廷的姿態反對泛美會議通過反共議案宣稱會議應站在第三者地位
page 3	蘇聯研究原子能蘇聯作家說不是為了戰爭
page 3	暹駐中蘇使節日內即可發表
page 3	尼赫魯論和平強調道德律的重要
page 4	貨車電車相撞電車司機跑得快沒有受傷德輔道的交通斷了三刻鍾
page 4	另外三起車禍新界翻車三人重傷兩車失事撞傷二人
page 4	私家汽車搭客司機昨被控告
page 4	訓練各區警察負責控制交通他們將駕電單車巡行各處
page 4	招請潔淨監督
page 4	賣家產換黃金帶出口被查獲翁白達在法庭自辯無罪
page 4	勞工署作發表上週糧食燃料價格共計一四點○○八○元
page 4	微風細雨度清明或坐車或步行掃墓的人擁塞了整條薄扶林道
page 4	華商總會定期開值理會
page 4	雇主聯合會即可宣布成立
page 4	法越盟保大三方面即會談胡志明代表亦抵港
page 4	廣泛調查社會醫務本港成立小委員會月內開始六七月間完成
page 4	看更人的槍走火打傷了辦案警員
page 4	割破麻袋想偷私貨姚達仁被判入獄六月
page 4	二人自殺一跳樓一服毒都進醫院救治
page 4	教育司署職員被控開車不慎處罰款一百二十元
page 4	假冒巡理府騙煙酒麫包
page 4	旺角一住戶被四盜洗劫
page 4	竊賊光顧失二萬元
page 4	中安台附近發生路劫案
page 4	衛生局幫辦在法庭稱不肖之徒糾集市場專門保護無照私販
page 4	昨日之雨無裨水荒
page 4	九龍法庭審走私案三起婦人帶毒被罰萬元另一婦人帶金入口被罰充公
page 4	兩苦力拾金受罰梨花團排演歌舞
page 5	中英貿易趨勢平穩中國輸英仍在戰前水準之下英國輸華卻比同時期有起色
page 5	清明節休假中金鈔場外交易淡股市昨成交五十萬餘元
