page 1	舉世矚目的國民黨三中全會
page 2	莫洛托夫函馬歇爾貝文蘇聯同意會外商談中國可派代表參加
page 2	三中全會明日開幕中常會通過提案黨務改革經濟改革整理稅制憲政實施準備政治改革
page 2	各地開會遊行對蘇京會議表示抗議
page 2	論處理台灣事件
page 2	中常會組織外交研究會
page 2	青年黨聲明反對國際干涉
page 2	貝祖詒被彈劾監察院審查後提付懲戒宋子文彈劾案在審查中
page 2	台灣目前情況旅滬台各團體代表在京報告台北不靖台中嘉義仍衝突政府處理台變盼勿再拖延
page 2	柯克抵京今日謁蔣主席
page 2	赴日記者團定今日返國
page 2	松花江南岸戰況激烈青島外圍國軍正增防陝北共軍活動榆林以南接觸
page 2	新任葡使昨遞國書
page 2	熱北情勢又緊
page 2	實物配售明日開始煤米油之價格決定
page 2	我請聯總增給棉花魯克斯稱或再供五百萬元
page 2	迪化民眾衝突平息張治中昨由蘭飛新
page 2	四聯總處副主席俞鴻鈞視事
page 2	寄日信函郵局收寄
page 3	杜魯門演說後馬歇爾與貝文會談美外交政策漸取攻勢外長代表續商對德和約程序
page 3	美考慮援匈計劃擬貸巨款供購買美棉
page 3	莫斯科會議第三日討論消滅德軍國主議問題
page 3	巴爾幹調查團南國已准入境
page 3	英在北非謀建基地
page 3	美菲基地協定昨簽字軍事協助條約亦同時簽訂美派顧問團襄助菲海陸軍
page 3	綏靖中的北方續
page 3	巴拉圭叛亂擴大
page 3	討論美託管要求印紐荷加菲五國將陳述意見英澳代表提出兩修正案
page 3	和德國締結和約呢還以別種方式實施蘇堅主採用對德和約一詞德政府或有機會陳述意見
page 3	美參議院通過限制總統任期以兩任為限
page 3	杜魯門演說反響一斑國會人士均以對蘇戰爭為憂裴柏認為打擊聯合國之威望
page 3	英工黨反叛議員認此並非援希措施
page 3	關於德國聯隊貝文承認這些聯隊存在
page 3	德國戰俘命運問題貝文反詰莫洛托夫
page 3	合眾社傳日擬請求反共貸款認美將防日共控制政治
page 3	向莫斯科無異投一炸彈
page 3	希土兩國滿意
page 3	杜魯門之演說我官方表同感
page 4	商號千家未納所利得稅稅局即將移送法院綜合所利得稅待立法院通過後徵收
page 4	討論所利得稅申報期限市商會擬暫緩開會
page 4	上海人移住美國
page 4	田漢五十壽辰勉大家不要沮喪慶祝大會昨日延綿五小時
page 4	聯總贈我牛羊又一批千餘頭抵滬
page 4	庇寒所難民將設法疏散冬令救濟會下月中結束
page 4	人力車夫控告工會任意支用車夫福利金市長昨召見有關人員
page 4	太古碼頭運工又起糾紛工作陷停頓狀態
page 4	糖果細點工人要求改善待遇呈請社會局調處
page 4	反對國際干涉內政美蘇軍隊同時退出學生抗暴會對外長會議聲明
page 4	中德醫院免費接生
page 4	小學國語演講定兒童節舉行
page 4	中英足球友誼賽東華戰英海軍下午四時在逸園足球場
page 4	第二屆籃球昨賽汕隊與甲申獲勝友誼賽仁餘挫海陸青
page 4	大學籃球賽震旦敗於大夏
page 4	中學籃球聯賽定十六日揭幕
page 4	銀樓業將舉行總請願
page 4	水泥貨物稅免貼印照短期內即可實施
page 4	捲煙貨物稅率即將調整最低級每箱增至十五萬元
page 4	羊毛輸入分配會昨開會交換意見
