page 2	戰場的豐收
page 3	晉城近郊發生血戰日軍被殲屍如山積犯平陸茅津渡日軍受創尤重開封及南昌外圍戰事無變化
page 3	汪屬特務暴徒在滬犯案纍纍一部調往蘇州繼續擾民華北各奸與汪裂痕益深 
page 3	武漢偽軍被日軍全部繳械
page 3	桂省空前盛會土風表演異俗雜陳
page 3	香翰屏主任列席黨務會議報告博羅慰勞隊事件本愛護青年原則辦理
page 3	經濟學社年會在渝開幕
page 3	陳光甫下月初由美返國
page 3	蘇聯報紙評論日本之危機內部鬥爭日益尖銳化反戰運動更漸見擴大
page 3	蔣委長夫婦致書美監理公會譴責歐亞侵略者
page 3	中央撥款賑濟石屏難民
page 3	中蘇航郵業已接洽妥當下月一日開始
page 3	毒氛瀰漫天津烟館大增
page 3	滬又一槍殺案工部局英董保鑣被擊斃盛傳與某方之陰謀有關
page 3	法大使抵滬
page 3	加強對日經濟封鎖中樞決定組一新機關俾集中權力有效執行
page 3	全國新縣制限半年內完成周鍾嶽談將開內政會議檢討實施辦法及其利弊
page 3	清華大學廿九週年紀念參加三千餘人
page 3	滇越公路昆蒙段已通車
page 3	中央對平抑物價具最大決心擬撥經費五千萬元辦理後方平價購銷
page 3	滬大美報表示不變嚴正立場決不為卑鄙行動所屈服 
page 3	勇士周青雲手刃日兵十餘人結果竟以身殉職
page 3	保衛祖國領空的華僑空軍勇士五
page 3	皖南日軍東犯被創南昌以西爭奪極烈
page 4	挪威中部戰局緊張德軍仍圖推進聯軍再開最高會議決定應付現局步驟
page 4	美陸軍演習將於下月中旬舉行精銳部隊悉數參加
page 4	各中立國
page 4	此項公布
page 4	捲入戰爭
page 4	比肩作戰
page 4	發出呼籲
page 4	秘密談話
page 4	挪威登陸 
page 4	英報界評論德外長演說
page 4	英航業部長闡明處理丹輪態度以公平價格租賃丹輪所有租金禁轉交德國
page 4	英外相哈里法克斯與義大使長談傳德向義送致備忘錄義駐德大使行將更調
page 4	希特勒委出挪威行政專員視挪有如捷克波蘭併吞野心昭然若揭
page 4	義唱曲家德拉齊尼逝世
page 4	美新艦下水並已歸隊工作
page 4	英向波羅的海三國派出公使已往僅派代表 
page 4	賽雅赴日
page 4	英法美成立協定改善封鎖辦法德國獨有之醫藥品等將准其照常輸入美國
page 4	平抑後方物價 
page 4	德國的白皮書
page 4	日本電力恐慌之實況二
page 4	里賓特羅甫提出白皮書
page 4	英法對德白皮書認為虛亡之言賀爾斥德國妄言欺眾法方認為無辯論價值 
page 5	澄海日軍增援企圖東犯被擊退汕澄路我軍突襲鷗汀
page 5	我控制江會日軍困守市郊一籌莫展南屏北山米荒嚴重
page 5	日方經濟侵略又一陰謀企圖實行編制煙草產銷華洋煙廠一致反對
page 5	粵防空司令部加緊空防工作編擬機關團體應行注意事項
page 5	西康日記七八
page 5	韶關將設立新聞檢查所
page 5	軍政部解釋獨子免役問題分先天後天人為三種
page 6	書業公會發起運動減低教科書售價頗得教育界之同情贊助決定步驟促暑假前實現 
page 6	教科書之奇昂
page 6	幣價伸算不公
page 6	推動實現計劃 
page 6	青記學會港分會籌建記者圖書館提倡讀者增進記者修養定五五開始戶內徵募
page 6	我駐海參崴領事耿濟之返國過港在港勾留數日赴渝覆命據談蘇聯對我繼續援助
page 6	長沙會戰影片昨舉行獻映典禮博得觀眾掌聲凡數十次五一特場收入救濟傷兵
page 6	防止迫遷條例業主反對修訂
page 6	住聯會呈港府減租具體辦法全文共六條並各附說明新建者租金不超過所值百分一
page 6	義學請免執行新例教育司拒絕接納例經立法機關議決港府明令施行教育司責在執行無權修改
page 6	本港存米超過二百萬擔足供本港居民四月食用運費提高米價較前略昂
page 7	菲中華隊作戰過勞今晚暫息干戈昨午出戰南洋隊輕易獲勝吳醒濂在勝斯歡宴中華隊 
page 7	征越埠際足球隊改明晨啟程在貢比賽程序經排定歸期約在下月十二日
page 7	學界籃球賽今天三場預料有惡鬥
page 7	培道女中學紀念大會籃球比賽助興
page 7	本港商業畸形發展股票市達最高潮今春股價高漲為歷年所僅見
page 7	銀餘聯誼會召開會議商討籌辦義賽
page 7	到郊外旅行去
