page 1	社評談同意權
page 2	新閣名單公布尚需時日翁文灝飛滬訪晤顧孟餘民青兩黨態度可有轉圜餘地
page 2	運用美援機構將成立內定張嘉璈為負責人萊普漢將在上海設立辦事處中國救濟團下月就要結束了
page 2	各種提案審查完畢立院今開五次大會
page 2	司徒今飛京
page 2	論立法院對行政院長之同意權
page 2	推進僑教僑委會增設民社教科
page 2	中央撥流通券卅億急振瀋長等地難民另撥糧食百噸交冀平津急振
page 2	瀋糧價畧跌
page 2	湘省水災慘重濱湖各縣早稻蕩然無存劉修如已赴京呼籲急振
page 2	中共要角卅人被美列入名單
page 2	全國輸聯運費下月增加八成
page 2	楊妹真的不食經過十七天的考驗只飲生水不吃東西
page 2	我在英接收兩艦今啟程返國
page 2	華南海軍要擴充目前實力不足應付需要將有艦艇一批添調南來
page 2	廣州即徵自衛特捐分營業戶住宅戶分等徵收六月一日起先做調統工作
page 2	粵運輸業轉入淡月
page 2	盟總工商組長抵穗商談物資運日事宜宋子文明天招待記者有所報告
page 2	劉案祺李樹正昨由京飛錦州
page 2	斯文敗類陸剛強姦了十多個女生已被滬警局送法院訊辦
page 2	民生公司新船今秋可由加駛滬
page 2	熱西隆化棄守長春沉寂鄭州穩定魯中泰安地區轉緊
page 2	南北各校空氣緊張北平特別刑庭要傳北大學生上海光華大學學生數人被歐
page 3	西歐六國商討德國問題法國忍痛讓步獲得協議魯爾礦權由國際管制局分配西德制憲議會九月可望登場
page 3	英美續商巴力斯坦問題安理會再討論猶阿停戰美解除軍火禁運令為期尚早一億元援以色列說甚囂塵上
page 3	關於蘇間歧見問題塔斯社答覆美國聲明續完
page 3	外約但王好勇鬥狠跑到耶路撒冷舊城過癮
page 3	延長貿易協定美參院通過法案
page 3	杜魯門不吃香得州民主黨不支持他競選大會決議擁護艾森裏威爾
page 3	希臘殘殺共黨英職工會抗議
page 3	南北韓邊境美人被射傷
page 3	貝奈斯病重說捷總統府否認
page 3	麥克阿瑟是否返美參院撥款委會將表決
page 3	華萊士為民主搏鬥他和泰勒將趕回華盛頓阻止參院通過反共法案
page 3	特港問題美英駐軍當局提出報告
page 3	芬蘭政潮平息基爾貝繼任內政部長全國工人昨晨起復工
page 3	開放多瑙河航運美邀英法蘇共同商討建議七月底集會貝爾格萊德 
page 3	美國拉攏東歐將放鬆貨物出口限制想要在東歐找立足點
page 3	日自由黨反對新預算
page 3	蘆田均說美蘇打不起來
page 3	喀什米爾印軍推進據說正在準備大攻勢
page 3	牛津學生六人跳河英國公主贈款致謝
page 3	反對日本參加捕鯨英澳挪紐照會美國
page 3	日本汽車出口拿中國當對象日專家沾沾自喜說要增產
page 3	美技術組抵日替日本國際貿易想辦法馬歇爾對削減賠償事噤若寒蟬
page 3	暗殺甘地兇手六月十四審判
page 3	緬甸政局將有變動達欽努宣布七月將辭職號召組織聯合左翼政黨
page 3	暹政府蹂躪僑校想出許多辦法故意刁難若干橋校行將被被迫關門
page 3	南非普選揭曉統一黨佔優勢國家黨兩席工黨兩席
page 4	電話公司要求加價將繼續向政府交涉馬殊說現在的電話費不合理
page 4	中國目前學生運動布力文說有四特點
page 4	老鼠雖小遺害大衛生當局盼市民合力與鼠作戰
page 4	紅衣主教招待記者報告此行目的下雨是否因為祈禱他不敢說
page 4	公價美匯有人冒名向港府申請
page 4	纜車公司將增車輛
page 4	阮文春見保大越盟說他是傀儡
page 4	聯華布廠失火損失十多萬元
page 4	工務局招人攝影
page 4	續審活特案三被告說證人說謊
page 4	野火春風昨晚開拍
page 4	法庭審流浮山綁案蕭德康述脫險經過
page 4	地皮舊屋都跌價
page 4	隊長已查過必須五千元
page 4	槍聲兩響打死馮祺
page 4	綁入華界游泳脫險
page 4	包租婦兩罪俱發佔據危樓限期遷出濫收租金法官儆戒
page 4	新界理民府招商承建海灘帳棚
page 4	被控偽冒支票簽名黃天龍獄中作書說原告太過火了全案初審終結移高庭
page 4	肥婆蘇案初審終結即將移解高庭定讞
page 4	債務條例草案當局沒修改過
page 4	私設電台罰款一部撥作獎金
page 5	輸管會華南分會議決大型工廠補助標準核定桐油豬鬃出口結匯計算方式
page 5	外匯政策醞釀變化進口商行紛紛移港
page 5	向法比定購鋼條證實黑市美匯付賬鋼條每擔底價四十二元
page 5	日本鐵釘成盤價較捷貨低廉
page 5	廣西出口物資產銷梧州特約通訊
page 5	從五月卅一日起桶裝糖薑出口列入管制名冊全部外匯繳交授權銀行
page 5	黃金晨漲午回穗滬兩地金價較港略高
page 5	基隆港務局發表四月進出口統計入超台幣三十億餘元
page 5	廣州銀根鬆匯率一致升
page 5	梧州一週物價外匯調整港幣暴漲總統就職物價隨落
page 5	滬米麵微揚紗布穩穗紗布降五棓子升汕米平食油紗布落梧州物價一致趨下
page 5	漁業界磋商組織全國性漁業機構目的防止日船侵漁
page 5	日本紗錠年底來港上週到一萬五千紗錠
page 5	豆類暢銷價格挺秀
page 6	因雨誤賽期暹華今戰港全運隊六時開球門票分三種
page 6	世運隊在星第二仗四比一大勝馬來聯隊
page 6	世運足球隊與馬來聯隊合影
page 6	足球聯會昨會議討論主題在督憲杯將提總會修改章程
page 6	全運選手一盛會協會昨舉行祝捷蔡惠鴻致辭勉勵有加
page 6	協會宴暹華今晚在南華場館舉行
page 6	優待世運選手赴英手續簡化
page 6	英國重視我足球隊
page 6	寶劍贈壯士林珠光贈球大公隊
page 6	中西羽毛球賽今晚冠軍決戰
page 6	團體網球賽今天女子聯賽兩場
page 6	論星聯之戰世運隊敗來有因星聯隊勝非僥倖
page 6	學界籃球結束皇仁榮獲亞軍下月初舉行頒獎禮
page 6	公民健身會歡宴梁玉潔
page 6	老惠來鴻對巫聯一役為出國後最佳之作
page 6	約翰同學會校友聯歡保羅同學會開會祝捷
page 6	僑生獎金審核竣事大專學生每名二百萬元
page 6	同濟發起尊師運動
page 7	廣東縣治將多一個南山局改為潮南縣內部核准本年七月改制
page 7	新鶴大戶逃避借糧穀倉三座近續遭掠奪
page 7	洞穿左肋縣之樹上逐寧處置逃兵
page 7	北平通信河北的東北角秦皇島北戴河山海關
page 7	議會成了課堂每天都要點名入夜樓頭有人聚賭漢市參會趣事兩起
page 7	澳門港務局將行宵禁各碼頭入晚禁止上落
page 7	選不上國代助選人氣死
page 7	海豐
page 7	妙峰山進香不成北平人街頭膜拜
