page 2	社評希特勒攻蘇的失敗
page 3	曼谷電台強調廣播泰國決不輕棄寸土準備焦土抗戰甚至施用毒氣
page 3	澳開緊急會議全體長官參加
page 3	德夫古柏談話日不敢妄動英美採取強硬措施亞洲局勢已稍穩定
page 3	阿拉斯加的戰略價值三北太平洋是日本最大的弱點
page 3	美國記者談遊泰印象泰人大部傾向英國對日侵略必起抵抗
page 3	智利當局逮捕納粹第五縱隊
page 3	維希又將屈膝美國密切注視準備與維希斷絕外交關係
page 3	英后對美廣播縷述英人刻苦精神感謝美國所予援助
page 3	麥克納特警告日本無論南犯與北侵美國皆不能坐視
page 3	日航務金融陷混亂狀態日政府正急謀補救
page 3	西貢美僑撤抵馬尼拉在菲候輪返國
page 3	美宣布解凍日官員資金
page 3	問道於盲泰派空軍人員赴日研究航空
page 4	蘇德全線激戰列寧格勒增強防禦基輔以南形勢亦緊
page 4	蘇聯澈底焦土抗戰
page 4	柏林方面揚言已深入烏克蘭
page 4	伊朗政府發現納粹陰謀勾結青年參與反叛外籍舞女為德服務
page 4	納粹閃電既不逞和平攻勢又失敗
page 4	軸心頭尾加緊勾結
page 4	德貿易代表團悄然離土返國
page 4	英德空軍一週損失比較
page 4	同蒲線我軍進展豫北游擊隊活躍
page 4	斯拉夫民族團結波捷各國在蘇會議願與紅軍駢肩作戰
page 4	挪威西岸築成霍根浩斯防線
page 4	加緊增產推廣外銷主管當局擬定計劃
page 4	當局盡力協助滬港資金內移黃炎培氏將來港接洽
page 4	滑翔運動各地分會積極推進某處籌設滑翔工廠
page 4	敵機晝夜襲渝美以美會房舍被毀閩陝各地亦有空襲
page 4	維希是否將再屈膝
page 5	粵北發現新地層兩廣地質調查所報告南雄始興礦藏甚豐富
page 5	粵省戰區當局嚴密管理船舶北江船舶管理大隊將成立清遠登記民船備徵雇軍運
page 5	游資問題金融市場上的黃河改道本報渝版特輯
page 5	敵機襲桂林後趕辦善後工作加強空防設備鞏固治安罹難遺屍送銅鼓山待領
page 5	澳門籌設托兒所
page 5	粵省行政會議出席專員縣長一百餘人連日討論提案進行順利
page 5	香翰屏抵韶談嶺東近情
page 5	偽軍數千結集廣州敵圖犯古勞被擊退
page 5	澳門槍殺案何光榮被狙擊斃命
page 5	高秉坊談直接稅收增加並將嚴密制止逃稅情事重慶區遺產稅評價工作開始
page 6	港府上一年度財政收支報告因開徵戰稅收入較增加支出以戰時費用最鉅大
page 6	黃的士工友昨日罷工因開除工人引起
page 6	文藝大眾化問題中國文協會文化講座演詞
page 6	警察偵緝處長修夫頓主持嚴肅賭風對財窟主持人嚴予懲治並取締俱樂部酒家賭局
page 6	模型飛機比賽參加者甚踴躍較上屆人數約增加一倍各方熱烈贊助獎品甚多
page 6	金銀貿易場昨晚集會決定八一三獻金由十二日至十五日舉行行友即席獻十一萬元
page 6	中國化學會十四日敘餐請東宗南演講
page 6	紅字會派往湘桂之救傷隊隊長隊員兩人殉難
page 6	羅富國師資學院昨日舉行筆試第一日考試地理英文到考學生共計一百名
page 6	中小學老師討論會昨開會追悼許地山燕大港大同學亦籌備追悼
page 6	外匯統制當局核准運辦糧食得購外匯港滬匯兌業已部分恢復
page 7	國際棒球大比賽全部賽程編定定本月十六日正式開始角逐慈善賽港聯人選公布
page 7	卓雄杯賽南洋戰馬祿臣香港小型足球聯會主辦
page 7	健康測驗談
page 7	公開華人渡海泳本月廿四舉行十八日截止報名廿四下午一時檢驗體格
page 7	星東隊首途返香港月杪可抵步
page 7	葉觀洪網球一鳴驚人戰勝徐潤培
page 7	香港足球總會後日開月會通過本屆聯賽各組秩序各隊招兵買馬形勢緊張
page 7	樂斯杯籃球戰新青逢鬥居聯初級金銀對育賢有劇戰
page 7	吉隆坡足球賽華體力挫警訓
page 7	鐵城杯賽友聯擊破域多利華僑挫平正
page 7	股票市況穩靜買胃呆滯成交二萬餘元
page 7	外匯牌價申匯續漲美匯英匯市況沉寂
page 7	國幣市況稍為穩定
