page 2	日本在中南美的陰謀
page 3	晉東南我軍迫壺關殘日敗竄晉城附近贛北日軍增援向靖安猛撲
page 3	德不孤必有隣中蘇當能攜手奮鬥渝市六團體歡送會上邵大使謂將不辱使命
page 3	滬童軍團員百餘人抵渝
page 3	粵省振濟事宜積極推進中陳志皋已抵韶着手辦理吳菊芳談救濟難童近況
page 3	滬華美晚報被勒令停刊三週
page 3	伊金霍洛大祭盛典
page 3	日駐華艦隊司令易人改由島田繼任
page 3	維護中國文明五一勞動節五外長向美廣播非箝制日本絕無永久和平中國抗戰間接為世界除害
page 3	滬又一槍殺案汪派學聯分子胡斯悌在大夏校內被擊中斃命
page 3	五四青年節我對美蘇廣播歌曲
page 3	愛國婦人自行變賣金飾捐款救濟傷兵
page 3	海外僑胞續電討汪
page 3	張自忠等公祭宋哲元 
page 3	濟南愛國志士為民除害刺死土膏店經理粉碎日毒化政策
page 3	南僑慰勞團由渝出發各戰區
page 3	內政部重視全國衛生行政在各地籌設衛生機關並積極訓練衛生人員
page 3	國立各院校統一招生本年仍繼續辦理
page 3	滬弒父案高二分院宣判被告上訴駁回
page 3	章元善談平價購銷問題平購處擴充注重管理希望節約與平價併行
page 3	屈映光抵滇視察難民生產情形日內轉赴粵桂等省 
page 3	挪奸揖敵記
page 3	湘鄂贛日軍攻勢頓挫皖南我軍分途北進中
page 4	英對地中海航運採取預防辦法歐亞航輪繞道好望角義閣討論英義關係教皇正努力調處中
page 4	挪威南部德軍反攻續有進展中南兩線德軍竭力謀取聯絡丹挪海峽附近傳又發生海戰
page 4	德軍宣傳占鄧巴斯
page 4	挪中前線有小接觸
page 4	挪北聯軍完成包圍 
page 4	辛克萊主張全力援助挪威並向弱小中立國呼籲儘速與英國密切聯絡
page 4	法總理萊諾患流行感冒
page 4	日對南洋野心仍熾圖以防戰口號引誘各國上鈎德國對日態度冷淡
page 4	英潛艇建功德輪損失四十艘軍隊數千人失蹤
page 4	莫斯科舉行勞動節紀念蘇聯各要人均出席陸長發表告將士書 
page 4	賽雅在日酬酢極忙昨曾訪有田
page 4	新加坡僑胞紀念五一與警察發生衝突
page 4	日本又一手法
page 4	日軍在洞庭湖登陸
page 4	挪奸揖敵記
page 4	懸賞誰能生擒希特勒可獲美金百萬元
page 4	多瑙河暗流洶湧法方預測德將有事羅南德義與匈分別談判商約 
page 5	西江我游擊隊活躍厓門形勢轉安定江會日軍砲轟新開路四邑交通再度被封鎖
page 5	廣西大學回顧與前瞻馬君武在桂林講演
page 5	從歷史看廣西缺乏人才
page 5	旅美華僑舉行大規模籌振現已捐得美金四萬餘元懸賞十萬緝拿汪兆銘
page 5	最可惜的生物系停辦了
page 5	蘇州鬧鹽荒來源缺乏將有淡食之虞治安惡劣盜案疊出 
page 5	儀器遭殃搬家的大損失
page 5	澈底救濟義民後方廣設工廠現已成立者達十四處
page 5	社會狀況
page 5	壟斷運銷
page 5	強行抬高
page 5	勾結行劫
page 5	高級中學全省祇有三所
page 5	西康日記八一第四編康定及其附近西康風俗概述
page 6	輔政司史美昨日檢閱消防隊頒發獎章並代港督致辭抽水機比賽九龍隊獲勝
page 6	得獎者名單
page 6	史美之演辭 
page 6	婦女防空協會遷移新址辦公演講班定十三日開課防空處促市民購面具
page 6	長沙會戰義映盛況中央昨晚滿座 
page 6	音樂會試本月內舉行
page 6	羅旭龢談盼業主勿乘機加租既免加重貧民生活痛苦間接並可維持社會治安
page 6	伯特利教會主日聚會地點更改
page 6	昨日各工團紀念勞動節舉行簡單儀式但未休假理髮業售花賑濟粵難民
page 6	各青年團體聯合追悼楊子江
page 6	導遊女郎天涯女酒店被劫三賊假充客人乘機下手劫去戒指兩隻值三百元
page 6	音樂欣賞會紀念黃自十二日晚舉行歌樂會
page 6	華商籌賑會主辦歌詠籌款武漢合唱團團員返港已函各戲院借用院址
page 6	外勤聯誼會昨開二次大會 
page 6	嶺大農院內遷粵省府表示歡迎撥給用費並劃荒地為農場中大農學院亦將遷粵北
page 6	南海同鄉會救濟貧病邑僑
page 7	全港學運籌賑會今日正式揭幕早上九時起在加山南華場一連三天節目甚豐富
page 7	菲中華最後勝利贏港星兩分十五比十三戰情緊湊客隊定今日返馬尼拉
page 7	開幕儀式 
page 7	學界排球比賽六日開始角逐逢三六分在卜公中青場舉行全部賽程昨公布
page 7	南華體育會新職員產生陸靄雲任會長顏成坤當主席張文洞長足球部
page 7	志賢杯乒乓賽今晚頒獎
page 7	歐洲戰局影響港外匯市昨趨緊美匯需求頗殷英匯適得其反申匯市況仍穩定如故
page 7	歐局形勢惡化股票益見疲弱昨日成交僅三萬餘元 
page 7	有健全之身體方能作偉大之事業
page 7	愛的靈
page 7	豬鬃暴漲來源稀少求過於供每擔價值千元以外
page 7	八九金市略形堅挺買賣較多價格趨漲 
page 7	劉潤田死
page 7	協會南遊隊進行甄拔球員
