page 2	社評士紳所負之責任
page 3	晉南各路仍有劇戰太行山防務愈鞏固Ｘ傷亡甚眾翼沁間全部肅清鄂中對峙我軍嚴密控制鍾祥
page 3	Ｘ人企圖擾亂粵金融以高價吸收美鈔版毫券使各種券幣間差價增大
page 3	Ｘ機在平散發反英傳單Ｘ否認開封反美
page 3	闢汪逆之漢奸理論潘公展前晚廣播演說
page 3	外匯基金委會討論穩定外匯羅傑士已由滬返港與金融界要人商談
page 3	滬民食恐慌Ｘ逐步封鎖
page 3	我的和平上
page 3	嚴肅中渡過八一三上海市民沈默紀念娛樂場所一律停業一部商店閉門懸旗四郊游擊隊較前益活躍
page 3	本年高等考試下月中分七處舉行考試院發表公告
page 3	鄭州大水
page 3	八一三紀念各地分別舉行
page 3	粵省我軍準備反攻廣州鋤奸團體奮起
page 4	外部對引渡四華人事發表重要聲明郭大使照會英外務部請對此決定重予考慮
page 4	Ｘ軍政對立愈見深刻化閣僚對加入德義軍盟另草對案與陸軍抗衡
page 4	西班牙努力復興正考慮大規模之計劃採用部分經濟鎖國制
page 4	西班牙大火國家檔案部要件多被焚
page 4	無國之民的悲哀偌大世界竟無容身地
page 4	戰時的安徽三
page 4	羅土談話竣事加羅爾由土京返國
page 4	美陸軍演習準備自身實力防止戰爭發生
page 4	三國參謀會議第一次談判歷時三小時
page 4	東南歐現有版圖德義竟私商改變德圖迫匈成立軍盟以便假道進攻波蘭
page 4	德國準備將竣歐洲危機日迫
page 4	德義談話結束齊亞諾昨返國
page 5	八一三紀念日中山獻金熱烈Ｘ機飛石岐散發汪逆傳單睦州方面平靜無戰事
page 5	粵南沿海Ｘ艦騷擾不已陽江漁民予Ｘ以打擊
page 5	潮安林築圃忠貞可風拒絕出任偽縣長
page 5	中央致力桂省難民墾殖再設柳州懇區桂林難民三千業已分批輸送預計下月初旬即可開始工作
page 5	加緊聯絡粵各路軍事各區團隊奉命擴大游擊北路軍務重新規劃佈置
page 5	增博前線Ｘ機濫炸我毫無損失
page 5	桂加緊施行軍政訓練
page 5	桂省中等學校改善今後教育省府召開校長會議檢討過去計劃未來
page 6	八一三兩週年港僑昨隆重紀念獻金方興未艾成績可觀義賣開始一時如火如荼
page 6	各界僑團開會全僑救國工作應更努力輸財出力爭取最後勝利
page 6	小販義賣開始各區熱心商號懸標贊助歌伶歌姬義唱書店義賣
page 6	獻金運動踴躍成績突破過去三日紀錄銀業行商獻金達八萬餘
page 6	最後消息獻金台昨日總成績
page 6	省府會計處會計人員考試完竣
page 6	書法指導蘇子編在港出版
page 6	港渝港菲無線電話明日正式開幕由港督與兩地當局通話十六日起營業價目已定
page 6	獻金千元之兩女工訪問記家境困苦不忘獻金國家態度謙虛表示不願宣揚
page 7	南華青雲得路輕取八打威冠軍四比一德輝包辦三球
page 7	獻劍排球義演培英走麥城嶺保聯軍三比一獲勝全賽結束昨頒獎閉幕
page 7	本屆奧林匹克芬蘭長跑展望名將過剩問題極為嚴重萬米將打破三十分雄關
page 7	惠民杯女選手啟程赴美洲
page 7	華人公開水球賽程編定
page 7	尖事記
page 7	昨晨棒球補賽南華打勝西洋六比四戰績相當接近中南聯隊大敗美水兵
page 7	南遊日記
page 7	北美帶台杯澳獲冠軍將與巴西比賽
page 7	本港抽紗業近來益活躍汕頭廠商紛紛遷港營業本年出口達五十四萬元
page 7	Ｘ人在港搜購廢鐵本年達十二萬元
page 7	本年鎢礦出口總值一千零八十九萬元運銷德法兩國為數最多
