page 2	社評日本與英美蘇
page 3	侵波德軍遭新困難雨季來臨不利行軍華沙依然鞏固城內秩序井然
page 3	西線薩爾區法軍續有進展
page 3	德砲火猛烈掩護步兵撤退
page 3	德國戰情觀察西線上被迫出戰東線上亦不得志
page 3	德圖誘波媾和實不可能英不變作戰到底決心
page 3	德機濫炸波蘭美大使予以證實中美發現德潛艇
page 3	法組戰時內閣總理兼陸外兩長龐萊任司法部長
page 3	德空軍如橫行英法將謀應付英首相外相在貴眾兩院分別申述對德聲明態度
page 3	張伯偷請國人務須寬容忍耐希望作戰原則獲得勝利並由德統治下解放捷人
page 3	格林伍德希望改善情報工作
page 3	美轟炸機飛珍珠港
page 3	賀爾表示情報工作在改善中
page 3	要聞簡報德國飛機到處亂飛
page 3	波機四架降落蘇境
page 3	土國否認與德締約
page 3	荷蘭中立不容侵犯
page 3	匈國京城謠言孔多
page 3	教皇計劃減輕戰禍
page 4	廣州東北激戰我軍奮勇衝入庵埠晉東南大勝收復壺關
page 4	汪逆各方邀角圖於雙十節登台王逆克敏將飛滬北平一漢奸因反英被捕
page 4	滬Ｘ軍提新要求改變租界防區英美決合作維持在滬權益美艦隊司令將返滬
page 4	我游擊隊進襲津郊擊死偽軍多人
page 4	Ｘ酋金澤大發狂言竟擬遮斷援華路線
page 4	論中蘇關係並闢蘇日協調論一
page 4	川主席將由蔣委長兼任王纘緒出省督師
page 4	滬中華日報由陶逆希聖主編
page 4	生活必需品進口酌予減稅國府一日明令公布
page 4	諾門罕又起激戰Ｘ軍紛紛向關外調動梅津到任談對蘇方針
page 4	監犯義勇國府明令減刑
page 4	美國國會特別會議定廿一日召開
page 4	冀南水災慘重鹿主席躬往勘查
page 4	我抗戰歌曲在蘇聯大受歡迎
page 4	周逆鴻俊在漢被刺身死
page 4	滬偽大隊長韓鈞昨遇刺開槍者當場逃走拘捕嫌疑人二名
page 4	歐亞渝港線將於日內復航
page 4	魯東偽軍反正
page 4	日又一手法
page 4	漢奸的命運
page 5	張家邊血戰我克復將軍廟黎村一帶戰事膠著小隱涌口Ｘ無進展
page 5	黃旭初報告桂政粵黨政軍開會歡迎
page 5	粵黨政軍幹訓團續辦第四期
page 5	粵省各縣儲糧備荒西米產量不豐桂米運往接濟
page 5	黔鳳岡縣組織志願兵團士紳縣長教員苗民均參加縣長陳勢濤赴渝請示
page 5	流浪兒的教養渝賑委會兒童教養院一瞥
page 5	論暹羅排華運動
page 5	菲島各僑團紛起討汪誓當剷除國族蟊賊熱誠擁護抗戰到底
page 5	瓊Ｘ大部他調我乘機反攻海口Ｘ僅數百駐守機場各淪陷區仍有偽軍盤踞
page 5	陽江三水兩縣長撤職查辦罪狀陳修爵偷開鎢礦貪污不法田竺僧虛報Ｘ情故事張皇
page 6	立法局會議港督剴切陳詞英國抗戰到底過去兩年本港早有準備安全設施步驟應予擁護
page 6	紀念九一八筲箕灣紳商舉行戶內贈花得款匯呈國府救濟傷難歐陽秀珍個人捐贈花朵
page 6	嶺南大學明日舉行本屆畢業典禮校長李應林授予學位同學日遊藝節目豐富
page 6	桃色慘案中央戲院今日起演
page 6	八月十五是中秋有人歡喜有人愁
page 6	中山又告緊張鮮魚蔬菜漲價淡水鮮魚每斤漲價五分不良米商居奇操縱米價
page 6	大地新片孤島天堂榮譽獻演典禮十九晚在皇后戲院舉行中藝劇團全體參加演出
page 6	戰時救護團體昨在督轅成立港督羅富國夫人任主席各職員均由婦女界負責
page 6	庚款留英學生奉命延期放洋何時出發屆時再行宣佈原定今日搭乘英輪啟程
page 6	西區自衛團劃定管轄區域
page 6	戰時郵路郵局負責人談
page 7	越南北圻足球隊昨電告派隊來港定今日動程後日晨可抵步同日下午即戰東方會
page 7	中華體育協進會明日召開月會排籃球賽今日截止報名游泳部今夜開會
page 7	摔角
page 7	老惠　鴻
page 7	美拳擊協會各級王位日間即發表
page 7	銅圖說明
page 7	林山網球錦標賽荷恩大出冷門打退古克進入半複賽週
page 7	夏令籃球賽虹虹奏凱正社白得兩分
page 7	倫敦各體育會恢復各種運動冀減少人民對戰爭憂慮本週有足球比賽二十場
page 7	拾零集
page 7	九一八排球賽南華人選產生
page 7	英美匯市況穩靜申匯需求不多銀行較少拋出
page 7	八九金市昨略堅穩
page 7	昨日本港股票市況蓬勃買戶踴躍市場充塞成交總值廿餘萬元
