page 2	蘇德談話與日本南進
page 3	地中海英空軍揚威大舉轟炸義國艦隊義三主力艦重傷二巡艦受創
page 3	渝市盛大展覽會陳列戰利品及國父遺墨觀者踴躍一日逾五萬人
page 3	各地紀念國父誕辰
page 3	泰越關係又見緊張日駐泰公使赴任
page 3	陪都國民兵團舉行授旗典禮
page 3	傷愈官兵重赴前線
page 3	行政院會議通過張群任川主席並兼任成都行轅主任賀國光調渝要職谷正倫主甘
page 3	英賑濟隊出發華北攜有大量藥品
page 3	日企圖南進益亟外務省增設南洋局荷印售油問題已簽訂一協定
page 3	桂林慘劇戲院倒坍死傷三十餘人
page 3	日機又窺滇並飛向滇緬路竄擾
page 3	日本又舉行御前會議討論中國事變問題據謂意見完全一致
page 3	南寧日報發刊
page 3	滬南市賭窟連續被投彈賭客多人受傷
page 3	贛北戰事開展南昌東南我出擊獲勝
page 3	歐戰特約通訊大時代的巴黎4孝隱淩卓寄自巴黎
page 3	希臘總理雄壯演說
page 4	蘇德談話繼續舉行 莫洛托夫聞今晨將返莫斯科
page 4	德外交部發表公報
page 4	美國傾力助英將售飛行堡壘予英美人亦自動捐贈槍械
page 4	法國殖民地情形均不穩拉佛爾再度赴巴黎磋商
page 4	美發生大爆炸案工廠多所受損毀甚重聯邦偵查局進行調查
page 4	日本與軸心一
page 4	在英機猛襲下漢堡受重創工廠損失甚大紛紛東遷英上月空襲死傷萬餘人
page 4	美國當局會商增強菲島軍力
page 4	羅國產油區被震毀損甚重人民死傷達千餘人
page 4	法政府解散勞資團體
page 4	伊麗莎白輪已駛離紐約
page 4	大橋忠一真除日外務次官
page 4	注意日方陰謀
page 4	西春彥赴德
page 4	蘇聯國防原料的檢討二
page 4	駐蘇日使趕往柏林
page 5	粵國民兵總抽簽下年度行初抽復抽辦法下月初起各縣同時舉行
page 5	越澳線法輪華連利昨抵澳白米萬餘包已載運到澳該輪將於十八日回越南
page 5	蘇州河北
page 5	緊急戒備下上海搬家忙日軍區內市民不勝紛擾遷移租界中區之風甚熾
page 5	陳嘉庚在閩提倡墾荒
page 5	虹口區域 
page 5	南市方面
page 5	鄧龍光談不用砲火克邕寧未全殲日軍為憾
page 5	西康日記二○六第十編神秘的木裏
page 5	中國兒童號獻機運動渝小學及兒童團體設籌備會熱烈響應
page 5	監察工作在桂臨參會第四次大會報告詞上
page 5	岐關車路今日開放滿期無續封鎖姿態
page 6	後備警察週年大檢閱代督岳桐親致勉詞中印人獲獎者共有八名名額將擴充至千五百人
page 6	截劫巴士案昨日破獲兩犯被捕搜得證據
page 6	中央振濟會第九救濟區辦理東江急振
page 6	馬頭涌難童送至粉嶺保育院
page 6	港粵航運傳二十日恢復手續麻煩需時九日始達被認有違規定不准登岸
page 6	堅民公司第一分銷處開幕
page 6	白雲故鄉
page 6	加拿大國大代表黃寄生返國抵港日內飛渝晋謁領袖致敬當地僑胞推進購機運動
page 6	遞解女犯
page 6	字花字膽
page 6	星政治犯
page 6	爭購地皮
page 6	港旅館業
page 6	戲劇與教育四團體聯開座談會兒童劇場定期開幕
page 6	嶺大農學院員生到達坪石九日舉行新址開基典禮李應林公畢昨飛返本港
page 6	百鳥歸巢香煙投機商人竟大規模翻製向淪陷區推銷有利可圖
page 7	總會徇三團體之請定期作義賽一場督憲杯第一戰由協會選場地國際杯請中英葡四隊參加
page 7	中西籃球會戰中青對岷甸奴今晚七時在中青交兵
page 7	世界網球名將瑪博小姐轉入職業選手
page 7	南華足球隊下週征澳現正接洽之中
page 7	外匯牌價申匯續漲英匯沉寂美匯仍淡
page 7	四四金市先靜後穩
page 7	國幣市況昨略堅挺
page 7	股票市況堅挺昨日成交九萬餘元
page 7	全港女子排球定期後日開賽參加者僅仿林星島南華三隊南華週年陸運亦已著手進行
page 7	籃球聯會編定比賽程序議決要案多項
page 7	乙組主力戰今日工程出戰軍糧
