page 2	社評發揮人類正義力量
page 3	晉城附近連日鏖戰鄂南我軍克鳳凰山包頭灘大戰我軍三路得勝
page 3	滬英警官昨遭狙擊開槍者來歷不明將引起嚴重局面
page 3	Ｘ機犯川曾在酉陽投彈
page 3	賭窟禍人滬自殺者日眾
page 3	無賴口脗
page 3	日方加緊反英個別恫嚇外僑台灣亦發生反英運動
page 3	高度生活壓迫下滬租界居民漸少地產業紅運逆轉市內空屋方日見增多
page 3	戰地心影錄二
page 3	滬一暗殺過金根遭毒手
page 3	王纘緒等電斥汪逆
page 3	粵省府會議更調大批縣長田竺僧撤職查辦
page 3	陳部長痛斥汪兆銘賣國續喪盡天良媚Ｘ求榮顛倒黑白極堪痛恨
page 3	對Ｘ方無理要求外部發表聲明生活費向由我担負望滬租界主持正義
page 3	江南我軍包圍平湖滬杭交通又被切斷
page 3	平津天炎河水泛濫不已蝗蟲又起為患
page 3	刺曹炳生犯在醫院斃命
page 4	英日意見各趨極端談判續開無期英大使通知日代表經濟問題無權獨斷
page 4	法美兩國與英態度一致津引渡案定後日開審
page 4	日本陸外兩省會商對策決裂責任圖諉諸英國
page 4	英報警告日本勿為已甚蠻橫行為將永誌不忘
page 4	有田折衷案遭軍部反對認局勢惡化已另訂計劃平沼明日覲謁日皇
page 4	日火山爆發鳥居島居民損失極重大
page 4	從防止資金逃避說到防止人力逃避
page 4	德對波橫施攻擊宣傳波當局虐待德僑
page 4	英報傳葡與南非將作軍事會商
page 4	法波簽訂協定貸波信用借款
page 4	波專員卓達基向但澤提要求
page 4	義相墨索里尼接見匈外長談話內容無從探悉
page 4	三國參謀談話積極進行中代表團參觀航空表演
page 4	東京談判瀕於破裂
page 4	無恥的笑話
page 4	教皇演說為和平公正努力
page 5	Ｘ軍野心未戢企圖進犯惠州石馬淡水附近已發生戰事
page 5	粵嚴防Ｘ貨改裝運銷內地省府通告Ｘ貨種類名稱
page 5	江會Ｘ軍增援防我反攻Ｘ艦昨又砲轟睦州
page 5	滇茶將暢銷國際市場英法茶商紛紛訂購
page 5	黃延楨在軍次病逝
page 5	東江北岸形勢趨緊
page 5	斥汪逆叛黨賣國張發奎向廣東同胞廣播
page 6	Ｘ軍向英方要求假道林馬坑運糧接濟駐中英邊界之Ｘ軍英方已拒絕並嚴加戒備
page 6	鐘聲社主辦籌賑遊藝會今晚開始舉行名伶播音明星參加者多一連三晚節目極為精采
page 6	監委劉侯武等領導救鄉運動安南潮僑組織救鄉總會潮僑學會今日開會討論
page 6	獻金運動結束昨仍有獻納者金銀貿易場獻金十五萬中上環義賣昨日已結束
page 6	八和大集會太平戲院後晚開演
page 6	學生賑濟會招待暹羅選手ＸＸＸＸＸＸＸＸＸＸ一行昨晚搭輪離港赴菲
page 6	教育司公布官位學校明年起增學費
page 6	深圳倫陷後菜蔬市價不變中山澳門連日運來甚多當局對居民粮食極注意
page 6	算學辭典普及本發售預約
page 6	鬼屋殭屍中央戲院今日起演
page 7	五十碼自由式泳禿頭泰羅破紀錄二十四秒五分四成績優異港督羅富國頒獎圓滿收場
page 7	日光浴不用錢的健康劑
page 7	澳台杯代表隊在美獲勝利荷撲曼克羅福竟出冷門澳第一雙打戰力格斯組
page 7	昨日籃球義賽思思智破青支五九比廿五石振智出色
page 7	德權鼎小球六幕大戰今日在修頓塲
page 7	拾零集
page 7	八九金市堅穩但靜
page 7	外匯牌價無變更英美滙市仍沉寂申匯市況穩定銀行頗多拋出
page 7	過去一週間股票先穩後靜Ｘ軍南侵人心極感不安全週成交僅三十八萬元
