page 2	社評物價與產業政策
page 3	我空軍保衛滇緬路準備轟炸敵根據地蔣委員長盼英美加緊援助
page 3	中美貿易及匯款受嚴格管理指定特准銀行經辦全部歸平準會統制
page 3	日形勢嚴重美檢察長畢德爾之談話夏威夷美籍日人偷拆郵件
page 3	論本屆日本臨時議會
page 3	馬來亞昆潭日僑限兩星期內撤退
page 3	來栖抵檀香山謂所負使命有成功希望但拒絕作進一步之表示
page 3	滬租界當局加緊制裁奸商法捕房封閉商店多家
page 3	滬秋季大香檳各獎號碼揭曉
page 3	日閣特別會議審核對臨時議會演詞並準備提出增稅法案
page 3	綏境蒙政會已圓滿閉幕
page 3	荷駐華新使短期內即赴渝
page 3	閩省僑務處在永安成立
page 3	日報繼續叫囂認羅邱等演詞為狂妄論調
page 3	贛北我軍出擊攻抵南昌外圍粵敵軍出擾被我擊退
page 3	甘省田賦徵實推行異常順利
page 3	滬日商紗廠突起火燃燒
page 4	英國議會開幕英王親臨致辭強調保衛遠東決心邱吉爾氏亦發表演說
page 4	莫斯科區德軍增援圖作最後衝擊加里寧德攻勢又被挫圖拉蘇軍推進五公里
page 4	克里米亞東部激戰蘇固守克爾治海峽
page 4	美國經濟防線顏樸生譯自十月十五日紐約時報
page 4	奎松聯任總統美政府人士表示滿意現行遠東政策將不變
page 4	英運輸部長保證援蘇不論英國遭遇若何困難蘇聯將可獲得如期援助
page 4	李維諾夫乘機飛埃飛行過期仍未抵達同行者尚有美大使
page 4	達拉第被解往要塞拘禁
page 4	美中立法修正案有被否決危險眾院議員因勞工問題對參院決案忽持異議
page 4	美工潮嚴重總統親自調解煤業工潮電話鐵路工人宣布罷工
page 4	西輪被擊沉地點在西領海
page 4	巴西追隨美國美如參戰巴西不守中立巴外交部長之談話
page 4	加海軍漸強大與美合作減輕英國護航負擔加議員代表團團長談話
page 4	法軍用機失事洪澤格跌斃在由北非返維希途中
page 4	東條之難題
page 5	白副總長在桂訓勉黨軍政人員繼續努力完成二期民族革命越南敵軍增加似有兩種企圖
page 5	淪陷區見聞錄由上海到常州一
page 5	粵桂金鑛採購進行近狀
page 5	地質界近訊黃河長江分水嶺初步控勘陝甘發現龍骨及恐龍足印
page 5	江會情形混亂偽軍任意勒索橫行無忌近郊鄉村多遭焚燒劫掠
page 5	保障佃農新縣制計劃中規定保障方案
page 5	改進兵役程澤潤談明年度辦法國民兵仍將繼續訓練
page 5	雪蘭莪華僑捐款設立軍民醫院曲江院址告成舉行開幕
page 6	今晚舉行燈火管制當局嚴厲取締燈光外露防空救護員特警均出動
page 6	敗次顧翊群談我國金融政策此次來港為謀穩定國幣華商會昨日開茶會歡送
page 6	日軍擊斃新界農民案日方允予賠償道歉保證將無同樣事件發生此事將由港日總領辦理
page 6	立法局昨開會羅文錦質問拘控鄺榮案史美解釋執行法理根據
page 6	金銀貿易場國幣自由買賣只限現鈔交易每日須清算呈報當局原有賬目限今日結算
page 6	當局規定紗價為維持本港棉紗之供給買賣及轉移須請領執照
page 6	美華僑參政員譚贊明日抵港由馬尼拉過港即飛陪都本港僑團準備盛大歡迎
page 6	容大塊的畫
page 6	港督昨日頒發勳章何甘棠等八人敘功獲獎
page 6	名聞世界之鳳城三傑
page 7	督憲杯賽有變化勢將延期舉行總會即產生審查會共同研究國際杯賽中華對蘇格蘭
page 7	澳排定足球戰陣迎鬭香港南華隊
page 7	澳預賽杯決戰章魚榮得錦標
page 7	關於督憲杯辯議進一解
page 7	中健會籃球隊向外挑戰
page 7	七七杯華聲勝業聯五邑贏中南
page 7	星甲級足球大戰華體獲第一馬華以一球之差見敗本屆循環賽就此結束
page 7	校際籃球南華鴻翔得勝
page 7	申匯市況仍屬靜穩英匯美匯仍然沉寂
page 7	股票市况靜穩昨日成交共五萬餘元
page 7	金銀業場自昨日起停止國幣買賣現貨價將由平準會規定如有需求可向銀行購買
