page 2	社評努力改進地方行政
page 3	閩江附近防務嚴密我大批生力軍開到傳Ｘ方最近又將開始總攻Ｘ在浙溫嶺登陸現仍在鏖戰中
page 3	會城圍攻益急Ｘ有退集江門模樣
page 3	我軍克偏關後晉南Ｘ軍甚為恐慌
page 3	增從花線我軍總攻連克神崗等要點
page 3	鼓浪嶼封鎻未弛糧食問題益嚴重外僑多賴罐頭食物維持
page 3	重慶空襲今晨一時左右
page 3	孔院長對美廣播慶祝美國慶感謝援助
page 3	滬租界戒備又緊各報館接工部局通告後又收到漢奸團體恫嚇信
page 3	周恩來之意見認Ｘ進攻僅試探Ｘ機關報謠言不攻自破
page 3	第二期抗戰要旨蔣委員長之手諭獨立作戰與自力更生為抗戰最後勝利基礎
page 3	蘇日又起空戰蘇蒙飛機九十架出動日方自承被擊落二架
page 3	冀南激戰Ｘ三路蠢動全被擊潰
page 3	Ｘ機犯贛一日間凡五批平民死傷甚多
page 3	Ｘ在侵佔區中加緊反英運動
page 4	莫斯科談話又發生新困難英向蘇聯提反要求予荷瑞以同樣保證
page 4	英法志同道合決為和平奮鬭任何挑釁將共同應付英陸相在法舉行會談
page 4	紐西蘭決盡力衛護民主理想紐財長在愛爾蘭闢謠
page 4	德斯談判進行順利
page 4	荷閣難產柯里金奉命組閣迄今仍毫無頭緒
page 4	美國與遠東紐約六月二日通信
page 4	Ｘ執迷不悟七七兩週年紀念平沼將大放厥辭
page 4	海法動亂阿人餐室被炸
page 4	教廷仍圖調解德波間糾紛駐波代表抵羅馬會商
page 4	Ｘ興亞院設諮詢機關委員會組織法公布
page 4	法義商務協定兩國正開會磋商擬展期至本年底
page 4	Ｘ軍力竭招義藉志願兵
page 4	法國務會議定本週內舉行
page 4	義西談話定十二日舉行
page 4	日茶傾銷過去五個月輸英數額甚巨
page 4	有田態度閃爍英日談判無期杉山談話作無理要求英專家主採堅固立塲
page 4	邱吉爾任海相傳已內定須至九月始能實現
page 4	英美物物交換美立法當局正在考慮授予總統購貨權問題
page 4	義志願兵東來
page 4	造謠與幽默
page 5	我軍爭取主動東西北江三路反攻正規軍團隊均奉令出擊傳Ｘ增兵石龍係Ｘ內鬨所致
page 5	Ｘ又大隊進擾新會城發生巷戰江門附近砲戰甚烈
page 5	粵省府省務會議連日舉行兩次
page 5	澳門小販提倡七七義賣籌款救濟難民各界紛紛捐款
page 5	五華揭陽禁烟得力省府記功嘉獎
page 5	韶關警隊改組
page 6	明日七七兩周年各僑團熱烈紀念勸募公債今日起舉行七七擴大購債運動週
page 6	青記與文協
page 6	昨晚威靈頓街發生打架血案聚眾持械鬥毆六人受傷情形混亂衝突原因不明
page 6	本港仿林中學增設高中師範科日前奉到教部指令核准開始招生暑期後可開課
page 6	防疫證明書領取手續更改定本星期六日起實行各船公司將發售證書
page 6	昨晨大坑村一老婦慘被勒斃私蓄頗豐或係招禍原因孤僻獨居案情經過不悉
page 7	溫布爾頓女單打絲湯瑪得心應手候補冠軍傑可勃力戰不敵男雙打麥尼路組又失眾望
page 7	芬蘭名長跑家諾米無意出山
page 7	一九四零世運會芬蘭加緊籌備海星基市日夜大興土木增建旅舍以便遊客需用
page 7	七七獻像運動足球義賽聯合戰康元
page 7	澳台杯代表赴洛杉磯會戰菲選手
page 7	銀盤網球賽何愛英失利
