page 2	社評民國三十年歲首獻辭
page 3	抗戰進入第五年度蔣委長告全國軍民勝利已見曙光失地仍待收復三十年一世望加緊完成使命
page 3	迎接反攻勝利年陪都情緒熱烈蔣委長檢閱童軍萬人軍警舉行慶祝大遊行美總統談話無異對我祝詞
page 3	孫何兩氏獻詞
page 3	蘇聯紅星報盛讚我抗戰實力大增戰時工業發達日圖結束事變決難實現
page 3	滬商務書館職工怠工二小時
page 3	國民外交協會廣播聚餐邀請僑胞參加同舉勝利之杯
page 3	鄂南戰事猛烈日軍被迫向通山潰退
page 3	新加坡加強防務作應付萬一準備
page 3	緬甸記者訪華團連日拜會各長官團長宇巴格里先回　王外長昨午設宴　
page 3	歐亞機又被日機擊幸無死傷
page 3	湘穀價糧價每石至　准許商民　
page 3	禁政完國府電勉國
page 4	對亞歐民主國家美計劃新援助將以軍火租借予中英希
page 4	羅斯福廣播演說後美國朝野熱烈擁護
page 4	三十年來之我國財政為紀念民國成立三十年紀念作
page 4	攻英前奏德機圖以火毀滅倫敦邱吉爾夫婦巡視災區
page 4	希特勒向德軍保證勝利
page 4	保外長聲明嚴守中立政策政府一唯國會之言是從
page 4	德軍援義傳一師已開抵阿境空軍亦源源飛義國
page 4	迎一九四一年
page 5	全港僑胞慶祝元旦團體學校分別舉行集會國旗飄揚預祝勝利來臨
page 5	居民聯會舉辦書畫展覽揮毫會本港書畫家參加者甚多定一二三日在對海舉行
page 5	中央通訊社港分社主任盧祺新被派為駐美特派員遺缺由任玲遜遞補
page 5	旅客雇艇登岸艇主中途勒案聲言欲將該客推落海中幸遇西人帆船始得登岸
page 6	元旦足球義賽華聯迎抗西聯下午三時三刻在掃桿埔開演米杜息樂隊蒞場助興
page 6	球圃菜根集九
page 6	港記者隊征澳今晨出發比賽秩序排定
page 7	三十年來之我國財政
page 8	美匯市況黯淡申匯牌價略漲
page 11	民國卅年元旦獻辭
page 11	進步努力造成新中國
page 13	民國卅年展望
page 14	歡欣鼓舞與戒慎恐懼
