page 2	社評巴爾幹局勢的前瞻
page 3	參政會熱烈進行中各部長官施政報告
page 3	張伯苓開會詞凡所建議從積極着想要帮助政府推動政府
page 3	我軍事發言人指斥日人造謠英國各屬土實力雄厚並不需我軍南開協助
page 3	美國會人士對日觀點一致堅決反對日本南侵
page 3	在日人高壓下維希完全屈服越南割地甚多牽涉五個省份日大批軍備續運曼谷
page 3	蔣委員長致詞全文
page 3	寇里在菲力言對華信心經已獲得證實
page 3	越人盡力反抗法軍尤形憤激
page 3	荷印戰時準備婦女即從事救護工作舉行登記將開始訓練
page 3	農林會議定於十二日舉行桂代表赴渝出席
page 3	美籍教授翻車身死
page 3	中行恢復買賣外匯陪都觀察家之見解
page 3	滬港航空線上海外僑商會請求聯美開辦
page 4	德軍的迫近希境艾登抵雅典有所商洽土國否認封閉韃靼納爾海峽
page 4	菲洛夫聲明陳述參加軸心苦心被迫允許德軍入境
page 4	保國人心麻木目擊德軍入境
page 4	英報論巴爾幹蘇聯態度審慎
page 4	美國海軍在太平洋作戰二四條進攻路線的檢討
page 4	德潛艇攻勢英認不足畏現役潛艇僅百數十艘新建艦艇完成尚有待
page 4	英使晉謁保王兩國邦交危殆
page 4	澳洲決似抵禦侵略者之攻擊孟席斯在英發表演講
page 4	魏南接見記者談援英問題運英材料日漸增多魏氏將發表首次公開演講
page 4	盜賊作風希城發生地震義機乘機轟炸
page 4	達蘭赴巴黎舉行新會談法人採取消極行動避免與德發生接觸
page 4	伊里特利亞英軍續克要塞阿愛國軍予義軍重創
page 4	荷人罷工德科罰款征服者氣燄千丈
page 4	英機幾度轟炸德國工業區碼頭工廠均遭焚燬
page 4	聚利亞法官員大批判徒刑因響應高爾運動
page 5	日軍南侵聲中瓊崖島我軍反攻文昌儋縣定安各地均有激戰南路各縣積極規復交通
page 5	粵省糧食問題力求自給自足確定軍糧採購民食管理辦法由本月起嚴懲囤積居奇
page 5	屈映光抵韶視察振務逗留數日將轉赴湘桂
page 5	桂林市振興教育增設小學班數
page 5	廣州灣將頒苛例扣檢航輪行李檢查手續倣照越南規例携帶行李限制三十公斤
page 5	出錢勞軍柳州熱烈競賽
page 5	桂短波電台已佈置就緒
page 6	新任警察司依雲將來港負責警政警員請以巴調真除未准副警司麥士退休昨離港
page 6	本港各街市業務蒸蒸日上當局厲行清潔簡單原則上環街市暫不拆卸重建
page 6	港福建商會致電慰留陳嘉庚南僑籌振總會依期開會該會代表即將赴星出席
page 6	十四年來之計政下廣州大學十四週年紀念論文
page 6	教部及航空委會搜集航空教材推廣國內模型飛機運動進行與港模型飛要協會聯絡
page 6	電機工程師分會成立
page 6	清糞事業官辦問題能否實行尚待討論
page 6	女青年會昨日出發募捐陳淑英女士主持典禮李應林講演募捐方法
page 6	義勇軍營幕被雨沖毀
page 6	胡文虎由渝返港重慶防空洞共千四百所市民安心工作絕不恐慌
page 6	中國文協舉辦歌詠比賽共分五組昨日開始報名四月六日初賽十一決賽
page 6	寄內地印刷品郵局通告停寄計滇蜀黔豫閩桂粵七省至環境許可後始能恢復
page 7	全港學運籌賑會昨開執委會議修正大會則各部職員產生五月八日開始舉行一連三天
page 7	總會聯賽小組會明日召開會議將訂定督憲杯複賽日期西聯戰陣亦將是日產生
page 7	星島二次奏捷二比一贏喇沙
page 7	公開乒乓賽孔聖會榮獲錦標歸
page 7	外匯牌價俱無變更美匯微緊申匯仍穩
page 7	遠東時局動盪股票仍乏生氣買戶遲疑觀望昨日成交不多東亞銀行九龍貨倉行將派息
page 7	國幣市況復略傾淡
page 7	四四金市先靜後堅
