page 2	社評今後的兩廣軍事
page 3	我軍控制岳陽城連日克復榮家灣麻塘三水Ｘ屢窺馬房未逞
page 3	Ｘ機擾粵湘鄂
page 3	李漢魂返粵定明年元旦就職
page 3	常熟太倉境內連日有激戰Ｘ被殲滅損失慘重
page 3	閩江Ｘ艦肆行ＸＸ船隻
page 3	武康告急Ｘ由滬杭增援
page 3	蔣夫人撰文建設新中國日已失去國際信仰最後勝利必屬吾人
page 3	菲華僑服務團許志成等返閩
page 3	新牆河岸集結難民兩萬
page 3	華北Ｘ軍大批開關外一週間裝五十列車
page 3	晉Ｘ西犯受頓挫我軍進襲平定縣城
page 3	碭山Ｘ圖北犯
page 3	在文化食糧軍六年以來的國立編譯館奠定中國新文化的基礎
page 3	鹿地亘等到桂談日Ｘ日暮途窮
page 3	開發陝富源决設立四大工廠
page 3	翁文灝視察永利公司
page 3	平滬白俄Ｘ方力施壓迫
page 3	張治中將召集專員會議
page 3	華中ＸＸ奧村繼畑俊六
page 3	于斌主教最近尚難出國
page 3	滬烟土舞弊案蘇錫文業已釋出大批日員均被扣
page 3	英美不重視近衛聲明日方之陳腔濫調對外已不生作用
page 3	日本議會昨日開會典禮
page 4	汎美大會赫爾發表演說大會成就未可輕視互相尊重合力對外
page 4	國際道義原則通過
page 4	北愛爾蘭宣言效忠英國
page 4	美國注意力將集中太平洋對日侵華作經濟反攻增加防禦設永久艦隊
page 4	捷克名作家加貝克逝世由科學而哲學而文藝著作甚豐多樣的天才
page 4	美外交方針愈趨強硬化
page 4	歐洲的新局未風十二月七日寄自倫敦
page 4	美參議員主張對德國絕交以抵制手段打擊希特勒德報紙繼續向美國攻擊
page 4	教皇耶誕演說對德義表示不滿佳節在歐洲悲歡異趣英失業工人籲請救濟
page 4	德捷文化協定即將簽字交換廣播秩序避免攻訐捷閣解散共黨沒收財產
page 5	桂軍大部到達西江自衛團隊協力攻守廣三線Ｘ迫處被動地位開砲掩護築壘防我出擊
page 5	Ｘ軍縱火龍岡墟化為灰燼現雖收復景象蕭條
page 5	不回廣州郵務局竟作冗員論
page 5	粵省黨部委員分區督導
page 5	廣州近郊Ｘ軍實力不過三萬從化將為會戰地點
page 5	Ｘ機慘炸新會後死傷盡係老弱婦孺開平長沙又遭毒手
page 5	廈門偽組織內閧Ｘ陸海軍暗鬥極烈一般漢奸啼笑皆非
page 5	四邑禁柴薪出口來源短縮祗准在內地銷售
page 5	劫後沙頭角東江戰線旅行散記之一
page 5	澳門慰勞警察
page 5	曲江保護交通
page 5	漳州捲菸公賣
page 6	港僑團熱烈贊同一元還債運動認此擧足新國際觀聽國銀行均願義務代收
page 6	當局積極促進新界農產品增進米石蔬菜生產改良耕地選擇種籽
page 6	深圳收容所積極擴大佈置賑聯會協助蓋棚建爐灶新界巡視難民已大減少
page 6	港陸軍當局續募華工兵
page 6	燕大同學會元旦舉行聯歡會暨大組織同學會
page 6	國幣粵券連日扶搖直上市道異常活躍
page 6	響應一元運動
page 6	入口商品研究會恢復調查貨品某國貨仍大量運銷本港
page 6	入口貨商决再請西商展緩出貨期請華人代表向港府請求
page 6	印救護隊長由渝到港深信我國必得勝利購買藥品接濟前方
page 6	桂園川菜館
page 6	林綺梅昨晚出演太太小姐自任招待今晚公演夜送寒衣
page 6	粉嶺賽馬昨參觀者數千人明年一月慰勞賽
page 6	廣九路黨部登記失業工友先在深圳辦事處擧行該路員工登記者踴躍
page 6	港府委任警察副監
page 7	今日國際杯足球賽中華迎戰蘇格蘭下午三時半在掃桿埔舉行我隊猛將如雲不難一鼓而擒
page 7	美人魚今日訂婚
page 7	明日排球義賽紅灰再戰錄白
page 7	再談我們共同的意見
page 7	昨日國際盃初賽葡萄牙大勝七比一淘汰愛爾蘭
page 7	籃球基本技術美國威爾氏作安尼譯
page 7	英國網球形勢衰落本年情況尤為不振
page 7	海關發表十一月份滬關對外貿易入超二百六十四萬五千餘元較上月增一千二百六十萬元
page 7	藥材來貨稀少售價高昂多種缺市
page 7	生油市盛成交數量仍多
page 7	柑橙來源稀少售價猛漲
