page 2	社評美德關係如何
page 3	豫東我軍襲擊蘭封通許城內一度巷戰晉南三角地帶敵軍又遭痛擊
page 3	高橋之夢話謂美國將提早參戰
page 3	麥克納特確言中國最後必勝
page 3	越南官員甘作虎倀猶為日方辯護
page 3	與平準委會合作穩定中國法幣美政府向遠東各美銀行要求
page 3	福克斯陳光甫由菲返港
page 3	美陸軍部訂購飛行堡壘千架
page 3	火的洗禮在泰開映日方竟圖干涉
page 3	我增加絲產將大量輸美
page 3	魏道明過美談話
page 3	政院注重保育工作令各省縣須設立兒童保育院一所
page 3	敵機偵察湘境上空
page 3	忠勇愛國貴池一保長獲獎
page 3	澳洲的力量一
page 3	悼張季鸞先生
page 3	張季鸞氏逝世噩耗傳出孤島同業震悼中西文各報均為文悼念新聞界同人聯電渝致唁
page 3	守株待兔東京熱望美覆函
page 3	莫斯科會議遠東問題將列入議程
page 3	對日制裁不惜作戰美民意多數贊成
page 3	六種消費品專賣擬定實施辦法自明年一月起開始財部設全國專賣局
page 3	澳商業部長將赴倫敦磋商各種戰時問題
page 4	蘇砲隊發揮威力掃蕩全線德軍一日斃敵萬五千人列寧格勒一帶暴雨滂沱
page 4	指揮中路大反攻之鐵木辛科
page 4	保衛列寧格勒之伏羅希洛夫
page 4	納粹戰報一束承認未獲進展
page 4	英美籌劃擴大援助蘇聯縱使減少本身需要在所不惜
page 4	英財長發表演說論財政狀況對蘇作無限制財政援助鼓勵人民增加節約儲金
page 4	伊良英蘇軍司令舉行會議決定暫停前進
page 4	維希心勞力拙組所謂國家法庭圖厭迫愛國分子
page 4	德工廠屢遭轟炸產量大形減縮機廠船塢損失最大鐵路交通亦受影響
page 4	波蘭設法收回存法黃金現正在美進行
page 4	美大西洋艦隊搜索德國潛艇德方承認曾襲擊美艦
page 4	羅斯福總統定期廣播演說將陳述兩洋主要政策
page 4	美新巡艦下水速率最少四十三海里
page 4	英教會領袖舉行祈禱並向蘇聯廣播勉勵戮力奮鬥
page 4	德土兩國談判新商約德代表首途赴土京對土將盡利誘能事
page 4	歿存俱感
page 4	東京的期待
page 4	高橋的夢話
page 5	粵南海面敵艦減少潿洲島敵軍撤退兵房機場等建築物多已拆毀敵機肆虐防城東興又遭轟炸
page 5	合浦演習防禦傘隊
page 5	海康械鬥和平解決
page 5	合浦豁免代購軍糧
page 5	中國史上之大教育家四
page 5	桂省府化學室製造工業成品研究利用土產改良製法業已製成樣品二十餘種
page 5	粵中學教師提高薪額決本學期起實行
page 5	新設國立華僑二中秋季招收各年級生
page 5	烈士史高志慷慨成仁不畏艱險深入敵區策動反正竟遭毒手
page 5	華僑一中員生組空襲救護隊
page 5	中山偽軍一部反正敵官兵四名被擊斃
page 5	內部次長雷殷提示新縣制要點粵省府轉飭所屬遵行
page 5	浙東蟲災晚稻收成減少
page 6	港府存柴三十萬擔將再撥出空地以備躉存新界柴場範圍積極擴大
page 6	軍事演習敵軍由海岸登陸進襲港九各地守軍開往新界據守要隘海旁砲壘軍警駐防警戒
page 6	經濟委會輪船載位等各問題尚待繼續開會討論
page 6	傳我游擊隊收復葵涌大鵬深圳日軍聯訊極為恐慌日軍加嚴封鎖中英邊境
page 6	香港仔防空洞發生爆石傷人慘案不慎觸發石孔火藥爆炸計附近五工人被炸重傷
page 6	健康委會工作範圍醫務總監談話
page 6	星洲貨脚再增由一日起增百分三十五主要原因由於輪隻減少
page 6	我工業界一頁傷心史日光管之發明
page 6	輪艘減少煤價飛漲
page 6	林培生獨購戰債五萬元
page 6	當局嚴取締操縱輔幣一仙輔幣券每百元須補手續費十三元
page 6	港名流昨舉行葉琢堂追悼會許世英等數百人參加生花香醇弔祭我耆英
page 6	霧重慶定下週末獻演
page 6	外聯週末演講會朱羲農講國內商品統制專賣計劃將於明年實施
page 6	昨晚嶺大同學為鍾榮光祝嘏同時舉行百萬基金出發典禮校董孫院長夫婦均參加
page 7	港聯隊陣線不齊美艦獲得錦標五比四局勢均衡緊張夠刺激棒球各賽全部即結束
page 7	體協會游泳部今午開會
page 7	鐵城杯中青對銀聯城多利逢華僑
page 7	夏令籃球激戰黑貓小勝仿林
page 7	青荔團分隊比賽結果第二隊冠軍
page 7	居聯六次水藝會各項成績美滿水球賽甲組四比一輕取澳僑乙組澳僑勝居聯
page 7	星華運動會圓滿閉幕
page 7	友誼足球賽光華勝警察
page 7	港頒布凍結令後日貨勢將絕跡將來本港對澳星貿易若善加調整前途樂觀
page 7	作一簡略評述如下港澳貿易
page 7	港星貿易
