page 2	社評綏西勝利之意義
page 3	浙東戰事轉趨激烈日軍一股偷渡錢江蕭山殘日亦蠢動我分頭迎擊
page 3	綏西繼續掃蕩殘日不難盡殲
page 3	桂南士氣旺盛前途無限樂觀滇軍事參觀團團長歸來談話
page 3	粵北災區善後即着手辦理賬款六百萬元開始分發
page 3	甘省各界組慰勞團卽出發寗綏前線
page 3	論管理出口外匯問題
page 3	渝慰勞團由桂轉衡陽抵韶粵當局熱烈歡迎
page 3	張發奎等通電討汪
page 3	汪偽組織難產中政會議無期延展
page 3	滬西問題解决工部局偽市府簽訂協定共同管理越界築路治安
page 3	英法繼美向義勸告注意日汪勾結
page 3	滬各界發起追悼郁 華大會籌備就緒定期舉行
page 3	天津市內同胞抗日情緒激昂國歷新年遍貼標語警告漢奸從速覺悟
page 3	魯省偽軍不堪日軍壓迫一部乘機反正
page 3	上海大火證券交易所被焚
page 3	國府明令褒揚馬玉仁
page 3	陳孚木等組織興亞建國會在滬招待外籍記者
page 3	邕寧區稅局下月一日裁撤
page 3	日機蠻橫到底再襲滇越路我空軍迎擊卽慌忙遁去法方人士否認與日諒解
page 3	被擊落日機在昆明展覽
page 3	英輪遇盜互擊良久卒獲脫險
page 3	川視導會議教廳已定下月舉行
page 4	美國積極造艦文生建議增海軍飛機日又唱開放長江企圖緩和美國行動
page 4	戈林廣播德糧食問題聯軍封鎖輸入困難男子從軍農工短缺
page 4	德方強調否認與蘇簽訂軍盟
page 4	蘇紅星報論我抗戰必勝政府人民努力生產建設經濟實力奠定勝利基礎
page 4	英大使訪赫爾商檢查美輪問題將在交戰區外設統制港荷郵輪被轟沉向德抗議
page 4	麥克諾特反對菲獨立美一旦退出菲島將難向日施壓力
page 4	旅美僑胞之抗戰熱情一二月六日紐約航信
page 4	韋爾斯定今日赴歐行前曾走訪廿納第
page 4	英艦長追述英德海戰實況
page 4	英國大學組服務團來華先到貴陽進行援華
page 4	印回族聞人加蘭亞察被選為國民大會主席
page 4	芬軍力戰失利蘇軍迫近維堡芬補充不繼勢益危迫傳蘇限日擊破各防線
page 4	羅斯福總統巡弋墨西哥灣視察巴拿馬新設防務傳將會見英法義代表
page 4	英政府徵兵入伍人數共二十五萬
page 4	楊格被捕案日方仍在審究中
page 4	保新內閣成立外交政策或不至變更羅　將會談經濟問題
page 4	汪登台問題
page 4	又一套騙術
page 5	日犯厓門不逞我分路反攻古井沙堆戰事仍激烈演進中
page 5	古井四鄉被擾日艦威脅中山
page 5	中山發動春禮勞軍各區鄉送禮踴躍
page 5	戰區善後省府加緊辦理
page 5	山東棲霞日偽粉飾太平強拉民眾前往觀劇如不遵者焚燬房屋
page 5	從化日軍蠢動犯龍口不逞我進攻鍾落潭展開激戰
page 5	財部派員赴韶辦理管匯
page 5	省動員會設督察員負責推動精神總動員
page 5	各縣振濟事業省府統一辦理
page 6	桂南大捷萬眾歡騰紛紛響應春禮勞軍鮮魚金銀貿易場疋頭等行將於日內開會分別進行
page 6	李應林談嶺大遷校問題事前應予考慮事項甚多學生會徵詢全校之意見
page 6	政記公司訟案將向英京上訴本港法院昨已准予所請
page 6	國貨展覽會義賣款項昨日分別匯出
page 6	中青救獲團第九第十兩隊昨舉行授旗日間出發粵北桂南服務
page 6	綠野仙蹤皇后平安連日滿座
page 6	西商會昨商討港貨運星問題必要時將派代表赴星葉蘭泉昨對記者談話
page 6	淪區陷缺乏書報請各界踴躍募寄
page 6	本港人口激增交通事業甚發達電車公司溢利增廿五萬天星小輪營業亦極良好
page 6	滿地兒孫太平興中華劇團今日戲演下卷
page 7	西貢隊臨別秋波今日迎抗華聯下午四時在加路連山球場客隊拼命一戰我軍宜當心
page 7	跑的藝術中距離和接力
page 7	女子籃球頒獎暫定下週舉行聯會委員定下月交代
page 7	今天戰表
page 7	揚鞭集
page 7	美菲荷匯牌價續縮申匯申匯市仍無起色英匯市況沉寂美匯微緊但靜
page 7	本港股票市況昨日轉趨蓬勃成交總值達十六萬元
page 7	八九金市昨交易仍停頓
