page 2	為限制香港移民進一解
page 3	晉東南我軍再告捷鐵路公路均被破壞
page 3	日機昨又襲渝轟炸新住宅區損失甚微
page 3	滬孤軍白俄衝突事件雙方正在交涉中
page 3	慶祝陪都渝市定十月一日舉行
page 3	李杜抵渝
page 3	送子從軍李清標愛國可嘉
page 3	亞細亞皇后號被炸事件將作和平解決
page 3	朝鮮義勇隊由貴陽赴重慶
page 3	今日的粵漢路
page 3	日人對內蒙又耍新花樣制定所謂蒙古新體制並派遣兩視察團前往
page 3	川綦江鄉紳首捐軍糧蔣委長電令逾格給獎
page 3	川新縣制加緊實施民廳組視導團定二十日出發
page 3	我存滬工程車法方擅自交出
page 3	信奉回教者應稱回教徒不得稱為回人
page 3	陝參議會三次大會閉幕
page 3	節約儲蓄湘粵分別推進
page 3	全國秋節勞軍會今日分九地舉行總會獻贈月餅代金一百萬
page 3	陳嘉庚在贛由寧都抵光澤
page 3	成都各界追悼張自忠
page 3	日方傳泰向法提三項要求以廢止不侵協定為要挾
page 3	滬一日發生兩槍殺案
page 3	荷印經濟的剖視二
page 3	浙海日艦騷擾粵南我克固戍
page 4	美國海軍將取強硬政策美海長離夏威夷返國徵兵法案已完全成立
page 4	美眾議院議長班克海氏逝世
page 4	巴爾幹局勢緊義保兩國對希思染指蘇德間問題尚待解決羅外交政策將以德義為根據
page 4	羅馬盛傳德將進攻
page 4	新加坡與日僑
page 4	羅國組成獨裁內閣
page 4	法政府繳納駐法德軍軍費每日付二千萬馬克洪澤格任陸軍部長
page 4	英向美市場訂購裝過船規定即須交付
page 4	里比亞義軍侵入埃邊境英軍候機予以截擊
page 4	蘇聯增強軍事準備增加生產改組紅軍努力推進運輸制度
page 4	美總統競選期邇威爾基取攻勢又發表談話非難羅斯福
page 4	加拿大召集壯丁入伍作一月之軍事訓練
page 4	美徵兵法案成立
page 4	全國勞軍大會
page 4	巴爾幹經濟的衰落
page 4	倫敦上空展開激戰法岸各港猛遭轟炸
page 5	粵南路行署主任羅翼群出巡高屬七區行政專員鄧揮偕往
page 5	日艦出擾粵南沿海
page 5	羅翼群兼黨務專員
page 5	假冒緝私肆擾商旅
page 5	中新民眾發動秋節勞軍徵集食物用具慰勞團隊鄉長負責彙齊情形熱烈
page 5	粵財廳會計主任改派何漢昌接充
page 5	澳門今日宣佈禁止電油出口經過轉船均須批准違章罰款並科拘禁
page 5	越督戴古視察防務忙老街劃設軍事區域
page 5	疏散婦孺
page 5	航空恢復
page 5	澳門防務稅稅額數目伸合價值公佈
page 5	粵省試辦流動學校先由曲江開始
page 5	廣州灣日檢查員增至二十餘人
page 6	米杜布祿談限制移民計劃草成或先由行政局決定取捨若決定採納不久可公布
page 6	本港施行計劃
page 6	星洲現行辦法
page 6	港澳間之聯絡
page 6	衛生局將討論改善清糞辦法添設機械水車洗濯馬桶擬在新界築大糞池貯存
page 6	張雪峯赴渝入中電廠
page 6	節建儲會副總幹事張忠義昨飛渝將轉赴川東貴州各地繼續推進節建儲運動
page 6	被扣越機將於下週放行
page 6	港澳振濟會免費學額昨日開始報名捐出學額已增至七百名廿八日在華僑中學考試
page 6	省救會分會募款成績良好匯呈總會救濟受傷難民現款及購藥國幣六千元
page 6	返粵義民即將動程首批約在本星期三
page 6	潘序倫會計講座聽講者三百餘人
page 6	今日中秋節時局杌　賀節之舉遜色百物騰貴月餅生意亦差
page 6	自由法國人民季會港法僑成立分會十八日假半島酒店開會將與倫敦總會發生聯繫
page 6	單車尾載運貨物今日起嚴厲取締
page 6	更替糞桶
page 6	蒼蠅群集
page 6	余賀增紹介
page 7	東方再度北伐三比二小勝警察前鋒表演活躍保持主動攻勢善敬偉權未出後防力量脆弱
page 7	夏令籃球秉常盃冠軍仿友希望濃
page 7	德權鼎賽和風勝機工漢英克新聲
page 7	本年一月至八月股票市場概況三月份暴漲六月份慘跌上月份各股價起落尚微
page 7	特別銀牌籃球後日開賽首戰住聯對精武
page 7	週內足球友誼賽傑志明日戰海軍南華會後天再戰砲兵隊星島將舉行二次演習賽
page 7	中西棒球義賽中華攻守得宜十四比九大勝投路沙
page 7	南華混合隊敗於聖約瑟兩度平手後終成三比二文治披掛上陣初試啼聲
