page 2	星期論文中國文化與中國青年
page 3	美國強調應變決心下令撤退在華駐軍來栖抵美羅斯福將不予接見
page 3	日臨時議會開幕傳日皇敕令通過特別軍費案
page 3	日閣例會决定提出議案多宗
page 3	敵加緊備戰修改兵役法不合體格者亦將被徵朝鮮志願軍名額劇增
page 3	平定物價之理論與實施
page 3	美總統頒新章加緊管理外僑
page 3	江南我軍出擊進襲宜興近郊
page 3	氣比丸事件蘇拒日抗議蘇大使訪東鄉說明理由
page 3	窘態畢露日本政府機關
page 3	九中全會展期舉行
page 3	泰國防新機構成立鑾披汶任最高統帥
page 3	我大軍三十萬防衛西南國境外籍記者視察滇越邊境據謂日軍迄無集中模樣
page 3	蘇大使患病飛成都診治
page 3	日少壯派狂妄竟提美國不可寬恕之議案鼓勵政府擴大侵略行動
page 3	星政府官員赴陪都觀光
page 3	馬來亞日僑有被驅逐說
page 4	克里米亞形勢仍緊納粹猛烈進攻中我紅軍反攻順利
page 4	蘇京前線兩翼德軍攻勢失敗
page 4	德軍戰報一束謂蘇調遠東軍
page 4	長敗軍遭痛懲南線戰局穩定
page 4	大西洋之戰德攻勢受挫英美巡羅隊屢擊沉潛艇
page 4	皇家方舟沉沒後英艦實力未減新建母艦兩艘已參加服役尚有其他母艦四艘將編隊
page 4	美新主力艦又一艘下水為本年內之第三艘
page 4	十月革命廿四週紀念伏羅希洛夫演說全文
page 4	美國輿論表示同情
page 4	美國防工業金屬生產局將予統制
page 4	美通過中立法修正案我認為明智之擧民主國家聯合奮鬥愈趨緊密日自承將受嚴重打擊
page 4	美煤礦工潮事件勞資雙方繼續談判中總統反對排斥非會員規定
page 4	史達林接見波駐蘇大使
page 4	洛杉磯地震損失相當嚴重
page 5	今天兩幕足球好戲星島初鬥蘇皇軍光華東方在界限街火併得失影響奪標前途勢有劇戰
page 5	南華嘉山揚威三比一勝九龍
page 5	論今日兩戰
page 5	掃桿埔場六比零米軍勝警察
page 5	迎蔡贅記
page 5	聖約瑟四比一勝香港
page 5	我國青年網球家蔡惠全昨抵港美名手哈孟氏同來籌款賑難在港比賽畢將往南洋
page 5	陸靄雲今午在告羅士打歡迎蔡孟兩氏
page 5	民大發奮圖強南華遭敗績三十六比四十二輸三球場面緊湊刺激多
page 5	小新聞
page 6	僑美參政員譚贊昨過港飛渝赴會攜有大批捐欵呈獻國家陸宗麒亦由韶過港出席參政會
page 6	羅旭龢昨晚廣播籲請參加防衛部隊當局需用人員達二萬名中英聯合本應難苦共濟
page 6	粵參議長吳鼎新講廣東政務情形最近積極實施足食政策徵兵選才成績日見良好
page 6	巴拿馬返國僑胞百餘人昨抵港彼等多屬僑工生活艱苦一部衣衫褸襤情更可憐
page 6	民眾防衛隊聯合招募處遷址
page 6	美女星在港廣播唱歌
page 6	港府頒布命令統制汽車賣買不論本港使用及出口者每月必須詳細呈報兩次
page 6	當局劃出地區禁船隻下碇
page 6	懲治貪污局開始進行工作對於告密者當予以保障當局希望居民予以合作
page 6	防務人員當局頒布條例保障彼等職業
page 7	珠江封鎖期內虎門敵軍演習廣州施行戒嚴交通斷絕
page 7	粵省糧食穩定米價漸見低跌
page 7	澳門平糶日內即將舉辦
page 7	宣慰桂湘粵各地負傷戰士歸來一
page 7	韶黨政軍和各界公祭劉團長余長官親臨主祭
page 7	粵北七縣組設聯防區
page 7	申匯市況靜穩美匯仍乏生氣
page 7	我機夜襲廣州在梅花村廣九站投彈敵自承死軍馬七百餘
page 7	國幣現貨價仍穩定
page 7	股票漲風復熾買戶活躍賣家乘勢居奇昨日成交共十一萬餘元
