page 2	社評不與侵略者談和平讀羅斯福總統之廣播演詞
page 3	羅斯福總統廣播美國決加緊生產協助民主國爭勝對納粹侵略者無妥協可言
page 3	美總統演詞未提及日本為調整遠東局勢留一途徑華盛頓人士作如是解釋
page 3	美各勞工團體領袖盛讚過去一年成績
page 3	日本南侵動向八月二十七日昆明航信
page 3	馬來亞我僑胞發起援英週節目有捐款演戲賣花等
page 3	美加速軍火生產英極表歡迎倫敦各報讃揚美總統演詞
page 3	王世杰部長論美日談話並讚揚艾登演詞
page 3	日欲衝破包圍線不辭與英美一戰馬淵演講危言聳聽意存恫嚇
page 3	日不滿意美蘇答復
page 3	行政院通過錢泰任外次
page 3	敵海軍省續有調動
page 3	倫敦粵青年同情我抗戰
page 3	滬報注視美日談判
page 3	倍文向美廣播呼籲勞工團結加緊生產接濟民主國家打倒摧殘勞工階級惡魔
page 3	滬傳美日成立協定
page 3	敵東亞會舉行會議
page 4	蘇軍全線反攻柏林承認作戰困難
page 4	前線大雨滂沱蘇軍攻勢益烈
page 4	英蘇伊朗談判原則獲得妥協英蘇軍隊已停止前進
page 4	德國冬賑運動希特勒將演說呼籲人民忍痛犧牲
page 4	蘇聯代表繼續飛赴美京蘇大使館派員迎迓一行任務尚未披露
page 4	德土閃涉締結商約
page 4	納粹統治下的歐洲民族怒潮一
page 4	英飛機生產獲優異成績
page 4	維希急亟等待開始和約談判
page 4	日在幕後操縱泰越界務僵持
page 4	義相新消遣地理研究無結果德國勸令注意天文
page 4	東戰場我軍又傳捷報三路挺進福州蘇南我襲擊宜興外圍一週內敵軍傷亡二萬
page 4	蓋達狂言謂軸心準備新進攻並不急於求致和平
page 4	荷蘭女王廣播答謝各方慶祝生辰荷蘭人民繼續抵抗到底
page 4	德殖民地警察赴義大利學習抑執行職務
page 4	滬汽油供給已開始限制
page 4	陪都新聞界慶祝記者節湘桂各亦舉行紀念
page 4	蘇軍全線反攻
page 4	英國向我解釋英日換貨問題對封存資本決不予解凍我正注意其動向與運用
page 4	中國化學會舉行年會蔣委員長訓詞勗勉
page 4	成何世界滬敵便衣隊橫行到處拘捕我同胞
page 5	發展洞庭湖魚產湘創辦漁業公司資本百萬元官商合辦積極規劃下年可成立
page 5	大隊英國空軍增防馬來亞水上飛艇源源由美抵星遠東英軍實力益趨堅強
page 5	中國史上之大教育家二
page 5	桂市人口七月份比六月份增四千二百餘人
page 5	敵機轟炸都斛斗山
page 5	韶關籌設物品供銷處平衡物價適應需求
page 5	參謀長覃繼正談韶關警備工作肅清匪盜取締奢侈浪費防空疏散澈底嚴厲執行
page 6	港督決延期離港與新督楊格會晤昨居民歡送會情形熱烈
page 6	颶風昨日懸出一號風球
page 6	港日商務將盡歇業日本郵船公司奉令收束日本小學現已完全停課
page 6	交通部在港設立航空貨運稽核處委定黃伯樵任總稽核
page 6	警察當局將批准指定地點小販擺賣九龍警方昨已踏勘地點紅磡一區劃出四條街道
page 6	平糶會公共飯堂定十五日開幕飯每碗三仙餸每份一仙用丙種米煮飯餸共立式
page 6	文員初試昨日揭曉及格者百二十八人
page 6	審查防空工程案劉美美作供狀談與史柏堅過從經過今晨十時將繼續審訊
page 6	馬思聰定期演奏自作各名樂曲馬氏前在國內各地演奏最近有意出國演奏籌款
page 7	全港華人游泳義演本月中旬開幕十六起一連兩天在南華泳場大會職員及比賽項目昨公布
page 7	星羽球決賽黃炳順王秀英分膺冠軍志將雙打黃陳力勝哥蘭
page 7	居聯召回代表決定退出協會
page 7	樂斯杯賽仿林僅生居聯
page 7	鐵城杯籃球賽銀聯對抗吐倫雙方實力相等有劇爭次中青戰友聯
page 7	新加坡足球大戰中華奏凱歌三比一薩特蘭低首稱臣國棟東山再起演出優勢
page 7	林山大戰
page 7	體協會昨晚在溫莎修改兩條文
page 7	青荔游泳團舉行分隊比賽
page 7	外匯牌價仍無變更美匯沉寂申匯略淡
page 7	股票市況蓬勃需求殷切價格繼續趨漲昨日成交達十四萬餘元
page 7	滬外匯趨勢略緊
