page 2	歐戰進入一新階段檢討英國當前的兩個嚴重問題
page 3	英國對我經濟援助原則上已成立協定增加平準基金擴大出口信用貸款問題雙方尚在繼續談判
page 3	軍委會政治部招待陪都文化界張治中郭沫若先後報告
page 3	滬西日軍繼續搜查封鎖迄無解除徵象
page 3	黃旭初主席談劫後桂南秩序及交通均漸恢復盼金融機關大量貸款
page 3	滬日軍堆棧昨突起大火
page 3	日軍又圖侵擾浙東已被我軍擊退閩沿海日軍蠢動亦不逞
page 3	反侵略分會電謝美總統
page 3	緬甸民族節預祝我勝利向全世界廣播
page 3	滬公共租界拘捕九青年已解特區法院
page 3	我軍法嚴明石友三不聽調遣就地正法其弟石友信亦槍決
page 3	公私事業之合辦即獨佔日汪協定之明文與密件
page 3	教部注意電化教育通令各省切實推行
page 3	韓軍三萬助我抗戰
page 3	美眾議員警告野村對美勿作妄想
page 3	最近國際輿論一致對我同情咸認日汪協定僅為一廢紙
page 4	美國援助希臘羅斯福電希王保證希臘決定作戰到底
page 4	南北兩線希軍繼續向前推進
page 4	美國當局考慮海軍訪問太平洋美澳傳恢復太平洋聯防談話
page 4	　方禁運後日本鋼鐵荒加拿大鎳亦不運往日本
page 4	丹麥民眾反對納粹
page 4	越南對泰國採取靜待政策越境泰領館僑民已撤退
page 4	德機再襲伯里斯多
page 4	德法簽訂經濟協定法屬地包括在內
page 4	紅軍的新姿態政治改組竣事實力增強
page 4	蘇聯斯洛伐克簽訂通商條約第一年貿易額四百餘萬美元
page 4	德國外交攻勢仍不忘東南歐企圖拉攏南斯拉夫入夥
page 4	東京又造謠
page 4	珍貴之同情
page 4	德國伊朗簽訂商約
page 4	法國政府傳將改組
page 4	日本外交的歧途送日駐美大使野村赴華盛頓履新
page 4	美將以一萬萬元貸予西班牙美紅會籌劃運麥赴西救濟
page 4	傳義境兩城發生暴亂
page 4	自吹自擂墨索里尼機關報宣傳義潛艇在大西洋活動
page 5	吳主席談黔省政治著手開發人力物力
page 5	行政設施根本對策
page 5	提高文化增進能力
page 5	訓練保甲振興產業
page 5	粵各縣將開始徵收自治戶捐每月戶徵一角至一元鄉鎮保甲長及赤貧免徵
page 5	桂林短訊
page 5	澳門米荒當局評定價格
page 5	僑教訓練班招考學員今日截止報名十八舉行考試
page 5	三水各界舉行祝捷慰勞會縣府派員救濟災民
page 6	大批暹米運到港昨為星期日搶購者仍眾此後米價當可再趨下跌
page 6	燕大校友前晚舉行餐舞會為吳雷川校長籌獎學金校董顏惠慶博士致訓詞
page 6	大澳島近日漸趨繁盛私梟聚居其間
page 6	華商總會呈港府核准延長商店營業時間因冬季及新年營業增加一般人士觀察可望獲准
page 6	聯美航空公司計劃闢港星航線由港經菲飛星每週二次
page 6	文化協會商討獎助文化人
page 6	利安運輸公司增設重慶貨運
page 6	省青團年更會昨日決定各項秩序
page 6	婦女兵災會賣物會展期兩天應各界之請定明日閉幕各種獎券因此延期開彩
page 6	遠東航空學校同學會昨日成立　
page 6	職員名單
page 6	香港大學中文學會昨慶祝十週年紀念
page 6	南大劇團昨舉行團員大會
page 6	蘇聯貨輪特克西勃滿載茶葉離港
page 6	聖約翰餐舞會將在麗池舉行
page 6	永樂號輪在海口被扣留
page 6	耶誕前奏
page 7	東星戰況激烈最後打成和局東方先勝兩球一路佔居優勢終場三分鐘前星島雙喜臨門
page 7	球藝概論
page 7	女子排球仿林再勝星島
page 7	駱駝毛售價高漲今年出口一千萬元
page 7	籃球友賽記者敗於廣大
