page 2	社評對日抗戰中的回教同胞
page 3	五中全會圓滿結束決議要案切實能行大會昨日發表閉會宣言
page 3	五中全會宣言全文
page 3	神聖抗戰目的在求國家獨立
page 3	全國同胞義憤足以克服強Ｘ
page 3	危害和平戎首我必有以懲之
page 3	列強維持正義制裁侵略國家
page 3	願興友邦合作完成建設偉業
page 3	歡迎有志之士集中黨內工作
page 3	最後成敗決賽必須共矢忠誠
page 3	充實抗戰實力加緊各種建設
page 3	關於革命紀律絕對嚴格執行
page 3	救國建國大業大功只餘一簣
page 3	Ｘ注意我糖業將派專家赴華南考察
page 3	五中全會慰勉將士僑胞掃蕩頑Ｘ指日可待共同努力以竟全功
page 3	滬天花蔓延本月八十八起
page 3	Ｘ機襲鄭
page 3	馬育航被刺詳情擔任偽立法院顧問往來港滬行踪詭密
page 3	西南路大戰待發犯中條山Ｘ再敗
page 4	絲毫無誠意日將答覆英美提出許多難決條件反映一貫侵華策畧
page 4	希特勒秉政六年昨晚演說並熱烈慶祝德國決心支援義要求
page 4	那兒地震
page 4	捷克商長下週赴德
page 4	蘇德漸接近反共協定將成廢紙日本將為德義遺棄
page 4	英飛機製造廠已達戰時標準每日可出飛機一百架飛行員補充亦甚順利
page 4	西班牙叛軍冒雨總攻繼續向加泰隆納推進西難民紛紛逃入法境
page 4	倫敦趕築戰時營地
page 4	張伯倫演詞義報極重視盛讚張氏態度之誠懇對英無要求盼勿多事
page 4	打擊暴Ｘ剽竊三民主義之新陰謀Ｘ政略之總檢討邵毓麟
page 4	智利內閣請求國會授權籌款救地震區
page 4	第三國際
page 4	Ｘ駐歐使節意見分歧大島等主拉攏極權國穩健派反對而散
page 4	暹羅發現陰謀案
page 4	蘇聯軍隊
page 4	路透電傳吳佩孚拒下海日人詭謀似又失敗
page 4	印度全民大會左翼領袖獲選主席數週內將發生政潮
page 4	Ｘ議會討論國防問題發大言恫嚇蘇俄擬把持東亞海權
page 4	印同盟會決議抵制日貨拒汽油借款
page 4	印度國防賈特菲簽字報告今日飛倫敦履新
page 4	國際反侵略運動的意義及其發展續
page 4	全會閉幕了
page 4	蘇德關係的進步
page 5	某軍事長官談粵戰局重心在北路Ｘ人南犯西侵皆係虛張聲勢從化佈置主攻目的實在軍田
page 5	五區游擊司令部奉命結束
page 5	Ｘ三路犯聯和墟被我軍奮勇擊潰斃Ｘ數十獲槍廿餘鄉民憤慨加入游擊
page 5	汕頭新市長巫琪明日將視事返國華僑被殺事證實不確
page 5	浙東之旅一
page 5	中央完成後方建設准七省發行公債債額共六千六百萬元
page 5	粵僑務處移中山徐天深過澳門發表談話希望各地僑胞團結一致
page 5	福州市民獻息大會
page 5	九江Ｘ兵未退高明方面砲聲甚密
page 5	台山黨政易長
page 5	澳門關員返粵
page 5	潮陽鄉校獻旗
page 6	港猶僑召開大會為猶籍難民祈禱雪氏痛述德猶遭遇慘況勉猶胞奮門爭民族生存
page 6	婦慰會昨招待南洋瓊僑代表何香凝孔令儀等致詞林春農報告僑胞工作
page 6	英賑華會撥鉅欵補助各救濟團體緊急救濟會經費六萬賑聯會救濟組一萬元
page 6	賑聯會大會今日會議
page 6	黃樹倫鎗傷西警案昨日開審經過揭開
page 6	難民騎樓底葵茅天棚
page 6	港基督教團體歡迎世界學生同盟領袖總幹事麥琪申述歐洲學生對中國學生至同情與贊助
page 6	英軍四百名開津護僑
page 6	新界巴士派警保護難辦到公司限制多攜欵
page 6	瓊僑聯會執監委會
page 6	九龍油蔴地貧民寮大火焚去木屋百間幸尚未傷人命
page 6	一週內肺病一四七宗
page 6	中國婦女會籌備賣物會會場定在大觀園將由女明星招待
page 6	英駐華陸軍參謀長易人尼維爾抵港視事愛雲上校即返英
page 7	李惠堂昨日表示赴滬參加慈善賽堅持改期舉行始能應約前往因同時期尚須出席本港義賽
page 7	本屆世運大會芬蘭籌備狀況運動場設廣播電台五十二所預計門票收入可達二十萬鎊
page 7	滬中西慈善籃球賽混合力克麥令延長時間內打成廿八比二十
page 7	上海學生網球週末開始比賽許培之定明日啓程南來助戰
page 7	談滑翔機運動
page 8	外匯牌價荷再漲其餘匯價無變動英匯美匯仍稍趨緊申匯先略緊後微鬆
page 8	股票市殊乏生氣賣家拋出買戶猶豫
page 8	八九金市略形緊挺人心看好價稍回漲
page 8	英金微跌英銀均降
page 8	米市仍淡
page 8	金條略有成交
page 8	生油價跌
page 8	戰後之上海物價畸形上漲外匯緊縮有助內地物產外銷策勵國人節約發展國貨事業
