page 2	Ｘ人如何拳用汪逆
page 3	太行山我軍又大捷晉城克復乘勝追擊Ｘ軍傷亡重大殘部分途潰竄
page 3	Ｘ軍計劃粉碎
page 3	豫東戰況沉寂
page 3	粵省府訓練縣政人員南路行署擬提前成立七區專員應召抵韶關
page 3	天津水災嚴重洪流灌入市區難民紛紛逃至租界八十年未有之大水
page 3	日本人論汪兆銘
page 3	蘇聯駐華商務代表經蘇政府委定
page 3	川滇鐵路一年內通車
page 3	戰時教協通電討汪
page 3	滬西衝突案傀儡反擔抗議Ｘ舉行會議推波助瀾
page 3	蘇省府疏濬蘇北河流韓主席請求撥款
page 3	滬米價上漲發生搶米潮租界派捕保護米店
page 3	租界當局考慮應付
page 3	我軍連日進襲江陰破壞京滬Ｘ軍連絡
page 3	私立上中聲討校長陳濟成竟附逆
page 3	廣州傀儡狂悖強迫產業登記違背法令即行沒收設置收音機亦受限制
page 3	漢Ｘ軍用倉庫被愛國志士焚燬
page 4	英外部發表聲明重申英國決心幣制存銀非地方問題必須與關係國家協商
page 4	日本針對英國亦發表聲明竟反對第三國合理干預
page 4	日本對美廢約竟妄圖應付對英亦極盡恫嚇之能事
page 4	英海軍充實準備完竣可隨時應變造艦程序加緊進行中
page 4	紐約僑胞舉行精神動員大會情形熱烈前所未有
page 4	蘇德商約成立德貸蘇信用放款蘇售德定額貨物
page 4	但澤問題檢討二
page 4	英法今日舉行閣議計論應變步驟傳英政府將發宣言重申援助波蘭決心
page 4	法國報紙傳稱德擬兩路攻波
page 4	波匈關係匈報一般與論主張與波親善
page 4	齊亞諾突提早返義原因尚未明
page 4	義報花言巧語勸波背棄英法
page 4	三國軍事談判昨起賡續舉行
page 4	德內長抵但澤福斯德又妄言
page 4	美郵長由義抵法將勾留一星期
page 4	Ｘ兵源枯竭開滬新兵均係韓籍
page 4	平沼勞而無功傳有辭職意今日召開閣議決定對歐政策
page 4	東京霪雨為災
page 4	美中不足
page 4	蘇德簽訂商約
page 4	國際考古大會
page 5	Ｘ國大學來犯睦州前日淪陷人和裏官田同告失守我軍當局已派隊增援
page 5	汪逆叛黨賣國三張發奎廣播痛斥
page 5	在港澳收容失業教員將集中韶關訓練義校擬暫行停辦
page 5	廣九路全線我進展順利樟木頭Ｘ傷亡甚重
page 5	粵省籌設臨時大學計劃在草擬中
page 6	英日兩軍參謀昨日踏查中英邊界祗為避免日軍誤入英界昨晨有Ｘ機飛越摩星嶺
page 6	留港參政員陸續離港赴渝李仙根等已於日前啟程張一麐等均定月底動身
page 6	集賢工會發起籌賑新界難民各工界團結紛紛響應各商戶踴躍捐助糧食
page 6	瓊崖華僑聯合總會為桑梓捐贈藥品並派服務團返瓊
page 6	江霞公痛斥汪逆一封覆汪希文的公開信
page 6	聖約翰護士林劍雄昨已獲釋返港
page 6	獻金雖結束義賣方興未艾筲箕灣生果販昨已開始深水埗鮮魚行今日舉行
page 6	曾養甫昨招待文化界
page 7	南華足球遠征隊打勝三寶壟冠軍李惠堂黎兆榮立功三比一奠定江山二比三僅敗於選手隊
page 7	歐風美雨集
page 7	白城運動會詳記
page 7	匈牙利隊六千米創新紀錄
page 7	南港網球單打鐵爾頓無緣奪錦標
page 7	播音台
page 7	足球聯賽期近東方闢營練兵
page 7	職工鼎小型球魁星告捷南利亦得勝
page 7	德權鼎小球本週賽程昨日已公佈第三屆德權鼎公開團體
page 7	東方足球義賽奧馬任球証
page 7	英美滙市況趨緊申匯穩定各銀行仍多拋出
page 7	八九金市異常活躍價格暴漲又創紀錄
page 7	股票市況呆滯買賣寥寥總值一萬餘元
page 7	國幣價漲最高買二四六
