page 2	論西南經濟建設
page 3	我軍奮勇衝入南昌奉新Ｘ軍準備棄城他竄華振中司令談保衛潮汕
page 3	贛省我軍進展神速
page 3	新會江門戰事仍烈
page 3	Ｘ機八架昨襲宜昌
page 3	一週戰況四月二十日至二十六日軍事委員會發表
page 3	儋縣易長陳宗舜革職
page 3	戰地宣傳綱要二軍事委員會製發
page 3	南通偽軍反正帶走偽組織人員
page 3	昆明人口總數十九萬餘
page 3	滬日巡捕為何切腹自殺
page 3	我軍三襲開封獲光榮戰果以少勝多殲Ｘ無算英勇精神值得讚揚
page 3	建設新西康邊民尊重中央政策熱烈贊助開發計劃
page 3	武寧爭奪戰二
page 3	桂建設廳長下月初赴重慶出席生產會議
page 3	克復高安通山後南昌被我控制致命楔子斷Ｘ血脈
page 3	吉星文在滬病逝
page 3	海門重光獎勉有功人員
page 3	武漢Ｘ偽陰謀擬擾亂法租界
page 3	西線軍事極樂觀我軍民堅強奮鬥中綏境Ｘ進犯受重創
page 3	晉Ｘ疲態畢露
page 3	滬英美領事昨共同討論要案
page 3	黔參議會
page 3	英使在渝忙渝昨參觀南開中學對後方教育滿意
page 4	張伯倫在眾院宣佈英實施徵兵制加強英國陸軍實力眾院今日提出辯論
page 4	輿論熱烈擁護工會尚未盡表同意
page 4	法報表示歡迎德國報紙不加評論
page 4	西門在眾院報告預算國防經費數目龐大
page 4	反對派領袖提出意見有錢階級應多負担
page 4	德國態度仍頑強里賓特羅甫拒見英使希特勒演詞無和緩望
page 4	端納顧問的一封信中
page 4	英羅談話續商政治經濟問題官方即將發表公報
page 4	美農長演說美不惜以武力鞏固世界和平
page 4	南外長抵德舉行第一次談話南攝政下月聘義
page 4	斐巴夫人在美呼籲援華制日唯有與日斷絕經濟關係中日戰事方可早日結束
page 4	日本對軸心態度仍猶豫齊亞諾中止赴德軍事同盟已流產
page 4	直布羅陀已實行警戒空防亦增強
page 4	羅斯福提法案創設新機構管理政府所屬救濟事宜參院下月起草新中立法
page 4	赫爾發表演說譴責獨裁國世界富源本可和平共享欲圖獨佔不啻自陷絕境
page 4	羅斯福批准海空築港案
page 4	英國與徵兵制
page 4	希特勒說什麼
page 4	比決維護國家獨立新總理發表談話
page 5	水南鄉孤軍突圍江會戰線無大變動Ｘ艇竄進四邑內河騷擾
page 5	粵振濟會決設義民輸送站
page 5	古鼎華任四邑守備司令
page 5	Ｘ機在蛇口追港寶輪香港水師鳴槍示警三機折返旅客虛驚
page 5	粵民廳清理梁翰昭案已派員赴梅縣澈查
page 5	Ｘ艇滿佈銀洲湖三埠渡折返乘客百餘紛抵澳門
page 5	澳門人口增加
page 5	吳鐵城對本報記者談戰時後方動態民眾情緒緊張生活嚴肅各種戰時機構俱見完整
page 6	船長船員返港報告西加士輪被扣經過船員曾被日軍審問多次已呈英外部向日提抗議
page 6	德忌利土昨晨舉行年會
page 6	每日用米約八千包本港現存米石足供三月之用
page 6	中華藝術劇團舉行三期公演今日起在中央戲院登台狄四娘偽君子等劇
page 6	挪威領事談失蹤之兩輪
page 6	本港政費不敷財委會今日會議追加政費已破歷向紀錄支出預算超過四千萬元
page 6	介紹幾個劇本寫在中藝第三次公演之前
page 6	四邑商會請免破壞碉樓基圍
page 6	聖約翰救傷隊明晚舉行聚餐會
page 6	新界各鄉進行組織自衛團協助警察維持治安守望相助各村聯防
page 6	嶺南大學今日招待孟祿博士
page 6	兒童保育會賣花成績優異已繳交者八千八百元定期舉行遊藝籌款會
page 6	中美文協會下週舉行首次大會
page 6	輔政司否認勸諭貯糧本港當局十年來均注意存糧數量
page 6	萬萬密電碼經濟部許專利五年
page 6	陳友仁昨在嶺大講演
page 7	香港埠際足球隊今晚出征馬尼拉一行十七人搭克利夫蘭總統號啟程比賽共三場均在夜間舉行
page 7	昨晚公開籃球賽培英不敵東方六四比四五上半時戰情緊湊
page 7	公開草地網球李徐之戰改期今日舉行
page 7	參加鏗泉盃乒乓賽感言
page 7	南華體育會新職員產生田立發主持足球部
page 7	暹匯牌價稍縮其餘匯價均高漲英匯美匯市況先穩後趨緊申匯市仍略淡銀行多拋出
page 7	八九金市稍穩但靜買賣較多價漲一毫
page 7	英金回漲英銀俱平
page 7	股票市仍沉寂半日成交僅八百餘股總值三萬零六百餘元
page 7	本港麵粉來源銳減今年首季進口僅三十三萬擔
