page 2	如何表揚忠烈
page 3	贛皖邊區又起激戰沙市附近我軍活躍
page 3	野村將使美日外務省正式宣布須磨將任西班牙公使
page 3	美總統謝賀雷覆我外交協會
page 3	監院巡察團在常德考察軍政近情
page 3	西園寺將行國葬日政府要人集興津
page 3	阿部今日啟程返寧日汪定期完成手續
page 3	關於西園寺
page 3	滬法租界各校準備應付威脅日方恫嚇滬西各學校
page 3	粵省府關注南洋僑胞開會討論護僑辦法
page 3	泰越空氣又緊邊境已一度發生衝突日又在越南荷印製造藉口
page 3	湘改進省政已決定具體計劃
page 3	北平日人投函報紙公開誣衊美記者竟謂均係美第五縱隊東京一度遍貼反美標語
page 3	歐戰特約通訊大時代的巴黎16
page 3	榮譽軍人獻金捐機
page 3	日軍在華北如此掃蕩
page 3	抗戰期間之經濟政策孫院長在紀念週講演
page 4	由挪威至義大利英空軍大轟炸德機亦採報復行動在英各地不斷空襲
page 4	巴爾幹動盪不安土耳其加緊準備軸心國家外交實際虛有其表
page 4	斯洛伐克商務代表團下月赴義訂約
page 4	英報紙推測東南歐戰局
page 4	菲島間諜案羅米洛判徒刑十五年
page 4	英兩政治家同時逝世
page 4	馬賽被炸想係由於誤會
page 4	英軍抵希記希臘民眾狂熱歡迎
page 4	美以信用借款貸予英國事各方意見不一正討論中封存資金不致影響現狀
page 4	美撤僑輪華盛頓號離菲直接駛往檀香山
page 4	教皇祈禱和平世界和平之權操諸上帝願全體基督徒同聲一禱
page 4	日決派野村使美
page 4	泰越邊界糾紛
page 4	抗戰資源中的鎢銻錫四
page 4	文西泰論德國男女老幼無一好人
page 4	希軍繼續深入各路均有進展
page 5	　臨參會駐會委員開首次會民意多件均經交付審查推張遜參加南寧慰勞團
page 5	團結整個中華民族少數民族稱謂中央明令改正
page 5	張發奎返柳州報告收復邕寧實情警惕國人毋中陰謀
page 5	粵贛實施邊區聯防
page 5	越督戴古飛廣州灣視察匆匆一日又返越南
page 5	日輪海珠丸前晚到澳昇昌輸定今日復航
page 5	西康日記二一二第十編神秘的木裏
page 5	四川橫斷記四
page 6	昨日大學聯誼會舉行二屆代表大會理事會職務由各校分任聘馮思敏等為行政顧問
page 6	第四屆國貨展會場劃出遊藝區上海區中茶四攤位將建一茶廳
page 6	華籍西醫簽防疫症醫務當局拒絕承認中華醫學會將抗議
page 6	漁民協進會舉辦慈善換物會廿八日午後舉行開幕禮一連三天晚間並有遊藝
page 6	港桐油幾將絕市滇緬路重開鮮有運港者商人視為奇貨價格飛漲
page 6	華僑建設公司旅港閩人倡組在籌備中股本五十萬元二期募齊
page 6	移民局仍擬增設辦公處
page 6	警察加緊冬防勸諭居民檢點門戶如發現三五成群之歹徒即應報警予以拘捕查究
page 6	英京酒家
page 6	香港舊書店
page 6	國立院校增設工程人才五千名分別由九大學設班訓練明春在港招考僑生入學
page 6	新督酬酢忙逗留一星期返新
page 6	林德銘個人畫展下月一日舉行
page 6	自由法人香港分會招待投效高爾法人
page 6	尢列學校遊藝籌款擴充校址收容難童
page 6	兒童保康院工作成績良好予以科學化飲食及體操各難童體重身長均增加
page 6	珠江航道又傳於星期四開放乘客將受種種限制
page 7	記者公會主辦女子體育表演會定明晚在中青會舉行 
page 7	白蘿仙盃今日開始報名
page 7	小球友誼賽華警勝住聯
page 7	一週戰事評
page 7	學界籃球中級組英皇敗於華仁初級南大棄權仿林獲勝
page 7	美菲荷匯牌價略漲英匯黯淡申匯穩定
page 7	股票市況不振買賣依然寥落
page 7	四四金市交易停頓
page 7	國幣市況仍屬穩定
page 7	本週足球節目十一月三十日星期六
page 7	星島足球隊今晨征澳澳方預銷門券已達千元以上
