page 1	社評美國外交是怎麽一回事
page 2	熱西全面激戰承德戒嚴鄂北形勢吃緊光化被攻進駐泌陽國軍正圍迫唐河
page 2	立院正副院長改選辦法預備會議昨日決議增列議事規則還有兩點沒有擬妥
page 2	論當前的土地改革
page 2	于右任辭職蔣主席勸他再考慮新監院籌委名單昨公布
page 2	副院長逐鹿至少五人參加
page 2	居正談話今後願盡監委職責
page 2	綏區政研會上蔣主席致辭勗與會者改正官僚習氣昨天會議討論土地改革
page 2	白崇禧謁蔣主席
page 2	宋子文總統就職後返穗
page 2	新政院陣容真理社的推測
page 2	徐怨宇貪污案結果不起訴了之
page 2	大巴山公路限三月完工自四川萬源至陝西石泉政院撥緊工款一千億元
page 2	反對扶持日本總工會電麥克阿瑟抗議
page 2	粵省府首長昨開會商討本月公教人員薪津標準下週省務會議將作最後決定
page 2	可怕的舊調重彈海爾論中日貿易大談農業中國工業日本他說中信局欠日貿易廳錢
page 2	運用美援委員聘定美國專家整裝待發布列特在台參觀新軍訓練
page 2	粵糧經會購米疑案大批湘米變得非濕即霉當局查究不知弊端何來
page 2	抱琵琶將安歸乎梁秋水書諷張君勱并錄卓文君白頭吟以贈
page 2	尖銳的對比日僑返國非常愉快台省當局只畧予檢查還准帶走糖及日鈔
page 2	配售食米老百姓不愛買配售處將延期結束
page 3	英卅年統治結束肯寧漢離開巴力期坦阿猶人軍隊劍拔弩張
page 3	猶人得償夙願成立以色列國
page 3	聯合國要維護聖地終於決定幾項步驟委派易文斯為中立市長組織臨時政權還待討論
page 3	蘇聯的力量上
page 3	猶太移民紛赴聖地
page 3	聖地的危機美聖路易明星報漫畫
page 3	南韓選舉未得好評朝鮮委會主席聲明頗有微詞右派韓人聞訊人為失望不滿
page 3	北韓停供南韓電力理由是美當局不交電費
page 3	助日復興辦法多端史揣克又有新主意日機器都是廢物不必拿作賠償要拿便快拿好讓日工業早復員
page 3	杜魯門重申立場對和平希望並未增加仍歡迎史達林去華府
page 3	日向美借款談判即成功
page 3	美軍費再增加杜魯門又向國會要求再增撥二十四億美元
page 3	追還被日劫掠財產盟總答應我國要求我僑工索取積欠工資
page 3	美國外交聲明蘇報全文登載
page 3	對日和會英力促早日召開
page 3	美援歐兩大亨談片霍夫曼說受援國不得運蘇物資哈裏曼對西歐復興前途感樂觀
page 3	如何建設中國農村續完
