page 1	社評南韓的選舉
page 2	立法院今天選舉院長副院長爭逐達白熱化三百立委宣布支持傳斯年蔣主席對競選事保持緘默
page 2	傅斯年不願競選胡適致函某立委這樣說
page 2	綏區政研會昨天總檢討戴高翔報告兵役
page 2	陳立夫招待立委發言的人都表示支持他
page 2	慶祝總統就職海軍鳴炮舞廳解禁南京街頭搭了牌坊
page 2	北平通信水泥沒有出路上
page 2	南京一批教授成立了聯誼會據說對外不作政治活動
page 2	青島美軍無意撤退
page 2	三個軍事學校年內遷往台灣
page 2	監院籌委會昨舉行經費籌到了五百億舊監委都可做戡建委員
page 2	蘇以護照送致美方准外交人員入大連
page 2	協和醫學院不擬遷福建李宗恩否認外界謠傳
page 2	王纘緒新職調任渝行轅副主任
page 2	緬懷民族英雄平渝追悼張自忠
page 2	金璧輝的確死了冀監署主任秘書談話
page 2	蔣主席遊太湖
page 2	中紡公司美商想買日財閥居然也想染指
page 2	湘省霪雨江湖水漲
page 2	冀熱遼烽煙一片承德外圍激戰遼西冀東都有接觸豫南仍緊確山情況混亂
page 2	蘇聯動向我國一位外交大員的觀察
page 2	粵湘物價交換停滯訂妥湘糧迄未運粵王東原盼以糧食換槍械宋子文雖同意但未實行
page 2	金融波動物價狂漲薪水階級清苦軍隊副食費不夠買柴火士兵又要喝米湯鹽水了
page 2	越華報編輯部待遇問題解決
page 2	華南六省成立機構統籌工業軍事建設宋子文總其成孫立人管軍事傳蔣主席已經批准了這件事
page 2	穗禁舞延期據說有內幕
page 2	穗公共汽車加價電船運費也要加
page 2	閒情逸趣廣州要選玻璃小組用以慶祝總統就職
page 2	十萬大山將有戰事
page 2	教授的呼聲粵穗教授要求月初發薪專上學校行政應民主化
page 2	儀徵一帶有戰事
page 2	梁華盛飛平
page 3	莫斯科表示願望和平邀有關國家進行合作蘇報說準備與美國改善關係
page 3	菲內戰將告終泰魯克與官方商獲協議決下令游擊隊放下武器
page 3	英工黨即開年會將辦論歐洲同盟問題
page 3	巴達維亞通信加里鳥冷會議的一幕
page 3	美援歐洲各國給錢有多有少法荷奧三國數目公布
page 3	西歐同盟互助英比貸款予法
page 3	美軍火運土一批接一批又有飛機十八架送到
page 3	外交的成功猶太國獲多方支持瑞典紐西蘭已予承認蘇及東歐各國亦將表示
