page 1	社評論選舉
page 2	國大主要任務已完成李宗仁昨膺選副總統大會今晨繼續論未了提案
page 2	幾家歡喜幾家愁李宗仁夫人高興得流淚孫科的大本營門前冷落
page 2	平學生九人被捕罪名是深夜開會讀禁書廈大罷課支持川大學生
page 2	上海通信工業資本的南流
page 2	敏感的交易所聽到李得票喊低聽得孫得票喊高
page 2	孫科于右任電賀李宗仁
page 2	國大又一悲劇施昌璧投江自殺他是中央提名當選代表領不到證書因而生短見遺書中說曾受特務毆辱
page 2	西北烽火連天長安聲色犬馬
page 2	總統專車在趕修中
page 2	粵省參會駐委會上黃鎮球報告受質詢參議員問為甚麼要起用漢奸黃氏說政府有不得已的苦衷對徵兵捕人等事也有所說明
page 2	萬裏輪乘客安抵滬旅客談榮成灣情形那裏生活很苦但人人有飯吃鐵百萬的翡翠打碎了十分之四
page 2	迎接五四本報滬館座談會談論科學與民主
page 2	保警隊新兵徵到了六成各區保安司令部將裁撤
page 2	諾斯離京發表談話美對中日商業很感興趣
page 2	貝詒祖抵滬攜來美對貸款運用建議
page 2	日戰犯一批自平解抵滬
page 2	王揖唐判死刑
page 2	潮汕糧荒嚴重配糧六月開始汕頭市長李國俊抵穗商談
page 2	夏令時間明天開始
page 2	短期庫券明天在滬發行
page 2	調查一番之後葉格返穗話廣西他說經濟開發希望不大所以美國最近不想投資
page 2	粵漢路工人待遇分三區指數發給衡陽區最近可能有工潮
page 2	陝境戰局仍緊張王陵基派兵增防川北
page 3	美軍事援歐似不可免馬歇爾證實在考慮中並擬請國會批准與西歐締盟
page 3	西區聯防會議今在倫敦舉行五國軍事大員出席
page 3	法本年軍費三千億設聯合總部指揮三軍作戰徵兵服役期限即可以決定
page 3	法在朝的社會黨拒與在野黨合作
page 3	史塔生其人
page 3	歐洲復興計畫大中已獲協議
page 3	美國鐵路職工工潮仍在醞釀允與路局再開談判
page 3	美國加強反共非美委會通過強硬法案共黨不得作官不得出國
page 3	運土美機又到二百
page 3	美蘇何故不能諒解華萊士質詢國務院
page 3	誰是美總統候選人共和黨史塔生呼聲高民主黨杜魯門佔優勢
page 3	英猶阿三軍混戰巴力斯坦戰火蔓延沿海岸各城鎮爭奪激烈
page 3	貝文重申決心下月退出聖地
page 3	阿拉伯各國家想退出聯合國
page 3	暹離心運動擴大四回教省武裝起事
page 3	阿猶協議停戰計畫聖城庶幾可免劫難
page 3	東京居民穿新衣入皇宮廣島囚犯吃怪藥出監獄
page 3	南韓選舉勢在必行聯合國不允收回成命美禁止軍人眷屬赴南韓
page 3	東京十四韓校卒被強迫停閉
page 3	宇素難逃一死下月八日行刑
page 3	捷克前副總理被判徒刑七年
page 3	英自治領總理將在倫敦會議
page 3	六十萬日工人五一將有集會
page 3	日貿易團出發今日可抵印度
page 3	美託管日島嶼馬歇爾向國會提出計畫
page 3	衛理公會召開世界全會
page 3	年年五月處處戒嚴
page 4	華商值理會昨爭辯激烈審查新會員事保持原議為了值理資格會場秩序混亂
page 4	黃茂林說審查新會員需時兩個月
page 4	同人大會決議值理會須遵守
page 4	舊人辦選舉
page 4	林培生主張和解他呼籲選舉公正
page 4	三家樹膠公司盈利僅十餘萬元
page 4	南洋紗廠工人離職
page 4	青年作品展覽結束梁永泰等四人入選作品將送往倫敦參加展覽
page 4	革新派發表意見認為值理會無權推翻大會決議
page 4	許讓成主張修改會章之選舉法
page 4	關於四學童被害事廣州行轅發表聲明
page 4	接到傳票不到庭法院將通緝歸案被罰時亦將加重七八倍
page 4	本港下期配米決用仰光長黏平價拋米或可減價
page 4	西營盤劫案已捕一疑犯
page 4	失沛堂控港府外部已向英提出要求
page 4	劫巴士案破獲警局捉六疑犯全部贓物亦已起回
page 4	老寡婦運煙土一次逃脫二次被捉
page 4	衛生局徵求圖文名列前茅者可得銀盾
page 4	新界發生劫案匪徒臨去開槍
page 4	醉後刺傷房客老翁不能無罪高庭昨判苦獄三年半
page 4	海廈輪今走南洋線
page 4	中央有獎儲蓄券今天起開始清還由中央信託局港分局代理
page 4	拾着砲彈當手榴彈阻街女郎大批被捉業主收回賭檔房屋
page 5	在國際人士注視下棉紡織業競爭劇烈中日印澳英美關係矛盾複雜
page 5	滬上盛傳香港開放紗布輸入
page 5	黑匯上漲紗價反跌
page 5	紡織家塔迪到滬
page 5	日本調整外匯匯率便利棉花羊毛輸入
page 5	日本貿易代表去印
page 5	英主限制日本紡錘保有三百五十萬錠
page 5	近東銷路各方矚目英國進入伊拉克市場
page 5	黃金市牛皮存底有減無增市態漲易跌難
page 5	世界糖荒之檢討一
page 5	定金困難仍未解決
page 5	四圍膠著外銷稀少
page 5	空多雙方實力伯仲
page 5	美匯金單穩定現鈔期鈔步升股市成交百卅二萬餘元
page 5	十五國代表參加的國際橡膠研究會議天然橡膠的生產國家抨擊美威脅正常銷路
page 5	金管局長聯袂到京
page 5	美合成橡膠生產四億噸
page 5	穗申港匯市價回滬物價漲跌參差汕黃金油米上升
page 5	美國議員提議黃金自由買賣
page 5	上海各行局降低內匯率普降百分之廿至五十
page 5	港九屋荒嚴重炒買地產固獲利畫則師生財有道索取代價自百分之五至十
page 5	五金全面滯寸釘獨暢銷某洋行有英國鐵釘盤口
page 5	短期國庫券定今日發行
page 5	錢可通神包辦出口
page 5	畫則師少等於獨占
page 5	輸英冰蛋收購七批英方盼訂購萬五千噸
page 6	全運單位紛紛報到江灣道上擠滿了兒女英雄大會準備派專機迎接首長京滬接力跑由郝更生主持
page 6	全運籌委會規定各單位報到手續
page 6	出席世運足球隊今日大軍啟行中午齊集思豪酒店坐飛機先到馬尼拉
page 6	最後決定路線
page 6	網球準決賽徐羅兄弟組將有劇鬥今天下午四時半開球 
page 6	東方征澳大勝澳聯
page 6	馬尼拉選手分兩批飛滬
page 6	私立學校按月收費以後的檢討
page 6	昨天學界籃球賽中華勇勝德明皇仁聖士提反均奏捷
page 6	暹華代表隊今日過港定明日飛滬
page 6	今天兩場
page 6	九龍各中學校籌備康樂活動全部活動秩序已擬定
page 6	大華樓頭群英畢集體協分會歡送征人
page 6	馮張退出世運隊容啟兆表示意見
page 6	粵穗參加全運繼續進行募捐局長捐一百元當堂激動公憤
page 6	學生書法比賽明天舉行
page 6	勝利盾三次決戰華聯碰軍聯明天在銅鑼灣會師軍聯陣容昨已排定
page 7	大戶逃亡小民憤慨博羅桔子墟鄉民決議請清剿部令殷富還鄉新近離鄉者部份存糧要充公
page 7	中山一歸僑招贅以港幣五萬陪嫁
page 7	新會縣一場械鬥爭鋪位兩姓交鋒扛大旗架機槍來作戰
page 7	不再強拘壯丁東莞人心安定
page 7	從糧不宜當倉開平糧倉屢被搶劫管倉人員引以為苦
page 7	小小鎮長大大派頭宣誓就職極盡鋪張搭牌樓辦馬色舞龍耍獅每家要為他出幾十萬元
page 7	鄂省新官上任
page 7	中興輪案宣判七犯處死一處無期徒刑
page 7	宜昌捕人
page 7	開平數歸僑投資空運擬辦三埠廣州間民航
page 7	湘西煤礦湘省府準備開發
page 7	湘米三十萬石獲准運濟粵省
page 7	湘米肩挑運粵商人無法利用火車運米衡陽以南各站積米甚多
page 7	馬當沉船拖了快兩年開始清除了
page 7	雲南境內烽煙四起多處出現政治性的武裝教師學生頗多參加活動屏邊失守蘭坪也被攻入
page 7	不怕匪軍擾但怕國軍剿湘省桂東民謠
page 7	興寧創舉報費收米
